# N3LO+N3LL Mhh cross section per bin in unit of fb at 13.6TeV
# Bin width is NOT divided
# PDF: PDF4LHC21_40, MH=125 GeV
# Mhh(min) Mhh(max) scale=(muR/mu0,muF/mu0):
# Mhh(min) Mhh(max)  (1.,1.)    (2.,1.)    (0.5,1.)    (1.,2.)    (2.,2.)    (1.,0.5)    (0.5,0.5)   
250 270 0.016345680441568523 0.01648822268494325 0.015814823921267346 0.016094073417829674 0.01657612024397753 0.016434239939442367 0.016101056687025214
270 290 0.13011412102626635 0.12959740601803138 0.127980454126053 0.12916132210774253 0.13150047778907667 0.12986376425844678 0.12955262192114772
290 310 0.3139917796160955 0.3117287056930941 0.3101608271257134 0.3126860461282984 0.3169930139049203 0.31265284695598133 0.31327978281093377
310 330 0.5062426938444966 0.5018712172459764 0.5014586079453502 0.5049389637384447 0.5108094874296032 0.5034954968035017 0.5056763452717838
330 350 0.6760364723708064 0.66972498332594 0.670999632656673 0.6748874938100005 0.6817891227218397 0.6720633824451934 0.6758565057233329
350 370 0.813047249512931 0.805039383368316 0.8081017058377966 0.8121713756268497 0.8196568297048743 0.8080689550742952 0.8135217532807474
370 390 0.9160045984524797 0.9068355664120473 0.9111167593239755 0.9154979572422305 0.9232984189695789 0.9101302109292421 0.9165357752149509
390 410 0.9884628774117775 0.9785467045421116 0.9837078114281346 0.9882528771796588 0.9962715717117611 0.9819708568054324 0.9890848635715163
410 430 1.035730165301963 1.0252856710507983 1.0313301937384867 1.035825515147625 1.043740682527668 1.0287587561383036 1.0365494256318815
430 450 1.0623179718940357 1.051606636374574 1.0583453959707778 1.0627227960237327 1.070414618435031 1.055162307997211 1.0633907483025598
450 470 1.0718889392577875 1.0612707965271662 1.0680158651980785 1.07258831546869 1.080211076120563 1.0644616983634567 1.0726474165942057
470 490 1.0696910537792075 1.0590082592478551 1.0664446935039529 1.0705829485165241 1.0777549074922468 1.0623020008213124 1.070858215959929
490 510 1.057362638662598 1.0468462068656645 1.0545151006573352 1.0584599921396718 1.0652734358819684 1.0500038903453335 1.058590472011845
510 530 1.0374949356983225 1.0273446039474783 1.0348254726506354 1.0387761256026482 1.0453607453597415 1.030241415017966 1.0385777021993658
530 550 1.0128021063264232 1.0028668461748818 1.0105655754544582 1.0141770346190044 1.0203422377146913 1.0057166128659345 1.0141805324910365
550 570 0.983993303235395 0.9744325190385607 0.9819887066411246 0.9854669809067059 0.9913367292597846 0.9770735473138311 0.9852967315748055
570 590 0.9525953832986334 0.94345945643762 0.9508407533982488 0.9541669315362076 0.9597406485878589 0.9458994633721287 0.9538655347849273
590 610 0.9197345542016592 0.9109453805050807 0.9182109273501434 0.9213163758962203 0.9265662644391127 0.913244152962077 0.920994974214627
610 630 0.8858283971836212 0.877449849321417 0.8845313022996385 0.8875123059705933 0.8924748575189017 0.8795644476525282 0.8870849088377242
630 650 0.8515766151046104 0.8436057693560295 0.8504539773665817 0.8532995099100231 0.8579927542127359 0.8455395316879754 0.8527723558726956
650 670 0.8175403596387708 0.8099301449422732 0.8165678805950312 0.8192810175976986 0.8237035801202478 0.8117394425806199 0.8186896959478535
670 690 0.7836721587307143 0.7764744103147774 0.7828165645480565 0.7854454246622493 0.7896612967891283 0.7780646371380407 0.784708069383604
690 710 0.7508508048744087 0.7439336237961051 0.7502543429922974 0.7525868195121389 0.7564983926585371 0.7455201952897668 0.7520581431145743
710 730 0.7183291975730934 0.7118644769666687 0.7176638975714911 0.7200823005106368 0.7238834694497956 0.7131823804596185 0.719254691786138
730 750 0.6870940035303595 0.6809388891370177 0.6865462774226595 0.6888350084607126 0.692413928358052 0.6821727494979247 0.6880313694602177
750 770 0.6569864204262803 0.6511074137885832 0.6566070615675496 0.658679855566597 0.6620343018462881 0.6522775189972068 0.657973088384037
770 790 0.6277271552499003 0.6221879383476232 0.6273926641845781 0.6294311454509054 0.6326307876016448 0.6232230556408683 0.6286287979938756
790 810 0.5995669110300216 0.5943599392380078 0.5992296619900167 0.6012374150988589 0.6043204005751253 0.5952679723747264 0.6003829282711245
810 830 0.5727058385272921 0.5677440314492609 0.5724561150820786 0.5743581391884789 0.5772578162699686 0.5685626633385622 0.5734773306939812
