# N3LO+N3LL Mhh cross section per bin in unit of fb at 13TeV
# Bin width is NOT divided
# PDF: PDF4LHC21_40, MH=125 GeV
# Mhh(min) Mhh(max) scale=(muR/mu0,muF/mu0):
# Mhh(min) Mhh(max)  (1.,1.)    (2.,1.)    (0.5,1.)    (1.,2.)    (2.,2.)    (1.,0.5)    (0.5,0.5)   
250 270 0.014956617565514363 0.015096285853356465 0.014444718180579711 0.014718235253901011 0.01518335944162906 0.015042523655376637 0.014701664288121797
270 290 0.11886039742253317 0.11844764047531162 0.11686370518163718 0.11804912860915481 0.12015616660926128 0.11862454363268321 0.11830303383075845
290 310 0.286733277133293 0.28462031102047436 0.28358727761222674 0.2855667239073166 0.2894356168626508 0.28551732771840577 0.2862717856198954
310 330 0.4613917496592006 0.4573371658519403 0.45725795984437784 0.46020570691238544 0.46546184780982397 0.45888628918266944 0.46101911328188516
330 350 0.6147838932917827 0.6090119710254777 0.610168395241309 0.613713844566484 0.6200120180393043 0.6111371616337731 0.614589165934502
350 370 0.7379679763075826 0.7307728340496842 0.7333373862694277 0.7371687543569005 0.7440192308889986 0.7333446340366266 0.7382068392296521
370 390 0.8299171627194462 0.8217369788008037 0.8254079126529645 0.8294527612375096 0.83667688466583 0.8245811213941258 0.8302771526079733
390 410 0.8942130077058505 0.885361323067142 0.8899141791108377 0.8941047279627937 0.9014297831224333 0.8883051945849249 0.8946751358405274
410 430 0.935466290797282 0.9261806349390997 0.9314254726872392 0.9356459519256372 0.9428916071924327 0.9291281591078693 0.9360778060252901
430 450 0.9581855222274509 0.9485722155097602 0.9545772387728271 0.9586112467105373 0.9655974132671954 0.951638499695713 0.9591171500684446
450 470 0.9658047267434591 0.9561427309798993 0.9626519974631566 0.9664465080643503 0.9732019576329558 0.959211534102512 0.966976859069315
470 490 0.9616853182714558 0.952216607870473 0.9586985708568546 0.9625508610576234 0.9691325392979437 0.9550059953996838 0.9626407276269024
490 510 0.9492143464359715 0.939884946402068 0.9465525295091617 0.9502351971561251 0.9565036553258293 0.9425646880523593 0.9502777243483852
510 530 0.9302815005662529 0.9212038477913941 0.9279996312810409 0.9314396648775529 0.9373911753362882 0.9237792300265382 0.9314444145143125
530 550 0.9064905204164826 0.8977299762203076 0.9043991662981 0.9077798613863574 0.9134664831626468 0.9000626752159101 0.9074808889250459
550 570 0.8797201933385627 0.8712346934969656 0.8779961595837152 0.881088239050464 0.8863972310139837 0.8735472599151938 0.8809514430489381
570 590 0.850163926268263 0.8421345874963151 0.8485054939803104 0.8516354259755804 0.8567525464838791 0.844111450842036 0.8511290344161544
590 610 0.8198902709420828 0.8121072275856337 0.8185803953740032 0.8213925358134774 0.8261301968080388 0.814056028083531 0.8210349474943813
610 630 0.7884664421871246 0.7811060413380513 0.7872552903620569 0.7900119098712148 0.7945479123793296 0.782863223379817 0.7895219416777767
630 650 0.7571928622797737 0.7500583935505177 0.7564107477945472 0.7587697271975772 0.7629377406031803 0.7517986549506721 0.7584810129356101
650 670 0.725760027147932 0.7190524598331889 0.7249217322080463 0.7273505145474413 0.731360145637333 0.7205547632725539 0.7267969305445631
670 690 0.6951379154052194 0.6886990046152934 0.6945449646182882 0.6966986492836705 0.7004265135893825 0.6902122217964449 0.6963574165226635
690 710 0.6643937933093255 0.6584611801738554 0.6636243825396168 0.6660364525143339 0.6697052759195167 0.6595746449734213 0.6651114763135887
710 730 0.6351593212745076 0.6294919040387041 0.6345638883164612 0.6367410009502897 0.6401825449941781 0.6305983596996022 0.6360225658634012
730 750 0.6065621391226197 0.6012360536189431 0.6059994581606802 0.6081509562740814 0.6114471056591952 0.6021784420506322 0.6072902382504949
750 770 0.5794125471379623 0.5742657242556283 0.5791126302773324 0.5809470514424268 0.5839761332200358 0.5752577707977823 0.5803350141309107
770 790 0.5527088884171468 0.5479129667868158 0.5523465335609323 0.5542388030386258 0.5571913398630859 0.5487108265325651 0.5534384181939268
790 810 0.5275450951943003 0.5229512506212444 0.5273510885292961 0.5290300136476647 0.531768811359747 0.5237655596045906 0.5284196969589865
810 830 0.5029480185611545 0.49870074991702634 0.5026440781825177 0.5044471125932171 0.5071331856604059 0.4993024062210852 0.5035489321547255
830 850 0.47968350702832835 0.4756542415091748 0.4794483552443144 0.48121306163290467 0.4837284443846362 0.4761050485580462 0.48012913137288893
850 900 1.1048508023682146 1.0955177230969377 1.104754787986658 1.1083317319145012 1.1139602551471406 1.0968639081611846 1.1066194861262997
900 950 0.9819396769440883 0.973596240649372 0.9823901433747132 0.985192448399574 0.9899761580794693 0.9748812042972586 0.983966166287222
950 1000 0.8712715151473022 0.8643652336646611 0.8711786187364564 0.8743382537773736 0.8789508392252875 0.8649603606512858 0.8724454450778728
1000 1050 0.7747452541276659 0.7687037182894829 0.7747956979738685 0.7776475620795454 0.7817271664786524 0.7690824890307757 0.775793548171032
1050 1100 0.6899944807982831 0.6845373632983935 0.6904477383097669 0.692665853696398 0.6961474257551123 0.6849849251425241 0.6913127496246986
1100 1150 0.6139825111785099 0.6094397412053265 0.6140438551129304 0.6165717633452675 0.6198882831755075 0.609362124839757 0.6145807552555542
1150 1200 0.5471998717543622 0.54323152783718 0.5473914904374466 0.5496450445831037 0.5526518022302562 0.5430143764376195 0.5477597709125382
1200 1250 0.48929374682192317 0.48570770841361344 0.4895905534834847 0.4914318805035136 0.4940539334417809 0.48570411214385006 0.4900775164736921
1250 1300 0.4371882987232679 0.43410157739874666 0.43742199266889953 0.43925515054188397 0.4416609901614769 0.43385960331925005 0.4377247973475626
1300 1350 0.39115784481705695 0.38850843176949496 0.39130357752023986 0.393081352283031 0.39532094705532617 0.3881479633974002 0.3914711307815817
1350 1400 0.3507098859490946 0.3483104089856074 0.35096502185776857 0.3524642887056098 0.3544399358725797 0.3480527030818388 0.3511579696652895
1400 1450 0.3141696351131974 0.3121681863168351 0.31420689646186195 0.315838880940589 0.31775576748053497 0.3116873187778516 0.31423660676513804
1450 1500 0.28248737890943404 0.28065242003851454 0.28268452012728507 0.2840007603754341 0.28566165164118196 0.28031628331015573 0.2827913507551818
1500 15000 2.709766865859934 2.6971129175447435 2.7094843737558807 2.730783767834527 2.7520574753382383 2.686030285544683 2.707959596650347
