# N3LO Mhh cross section per bin in unit of fb at 13TeV
# Bin width is NOT divided
# PDF: PDF4LHC21_40, MH=125 GeV
# Mhh(min) Mhh(max) scale=(muR/mu0,muF/mu0):
# Mhh(min) Mhh(max)  (1.,1.)    (2.,1.)    (0.5,1.)    (1.,2.)    (2.,2.)    (1.,0.5)    (0.5,0.5)   
250 270 0.015106591765514363 0.015033651924356465 0.014665185050579711 0.01510894635390101 0.01502794192162906 0.015129042015376636 0.014639391862121797
270 290 0.11948685788253317 0.11735168487531161 0.11824828968163717 0.11956625550915481 0.11725045000926128 0.11962757383268321 0.11815923946075844
290 310 0.287753740733293 0.28152932332047437 0.28652444161222673 0.2878472674073166 0.2811938140626508 0.28814000371840576 0.28620511008389543
310 330 0.4626320746592006 0.45203629635194026 0.46161900154437785 0.46273637971238546 0.451299901809824 0.4632246484826694 0.46112186872188515
330 350 0.6160917334917827 0.6016897497254776 0.615642631641309 0.6161095342664841 0.6004626200393043 0.616975164933773 0.6148889699345019
350 370 0.7392343459075826 0.7217801802496842 0.7395922046694277 0.7391795966569006 0.7200180128889986 0.7403729246366266 0.7386976641096521
370 390 0.8310693263194462 0.8114516308008036 0.8321538265529645 0.8309462814375096 0.80924014066583 0.8324763814941257 0.8309369041479733
390 410 0.8952113599958506 0.874132298067142 0.8969185177108377 0.8950224448527937 0.8715019321224333 0.8967858716849249 0.8954736536205273
410 430 0.936288892877282 0.9143032169390998 0.9385136513872392 0.9359811321356372 0.9112724031924327 0.9379603469078692 0.9369873800952901
430 450 0.9588283885174509 0.9362966995097602 0.9616093618728271 0.9583872129705373 0.9329409332671954 0.960640709895713 0.9601121082784445
450 470 0.9662697065434591 0.9436630589798993 0.9695417233631566 0.9657096431643503 0.9400360946329558 0.9682390149025121 0.968034543969315
470 490 0.9619814375214557 0.939688050870473 0.9653767083568546 0.9613479020576234 0.9358708042979438 0.9639485014996838 0.9637422586269024
490 510 0.9493547025259714 0.927427158402068 0.9529794290091617 0.9486229106561251 0.9234604513258292 0.9513413445523593 0.9514052597483852
510 530 0.9302782683908529 0.9089097367913941 0.9341448420810409 0.9294702994775529 0.9048138683362883 0.9323354484265381 0.9325859721143125
530 550 0.9063601914964826 0.8856658852203075 0.9102503235981 0.9055040380863574 0.8815367061626468 0.9083537817159101 0.9086257999250459
550 570 0.8794757662885626 0.8594527774969656 0.8835484217837153 0.878551123850464 0.8552464460139837 0.8815469907151938 0.8820907387489382
570 590 0.849819184038263 0.8306719964963151 0.8537599505803104 0.8488836935755804 0.8264725334838791 0.8518034954420359 0.8522549086161544
590 610 0.8194576350520828 0.8009875275856337 0.8235426507740031 0.8184625481134774 0.7967840878080388 0.821429867283531 0.8221425756943813
610 630 0.7879582881171245 0.7703431833380513 0.7919329865620569 0.7869381395712148 0.7661693793793296 0.789919455079817 0.7906078830777766
