# N3LO Mhh cross section per bin in unit of fb at 14TeV
# Bin width is NOT divided
# PDF: MSHT20xNNPDF40_NNLO_qed, MH=125 GeV
# Mhh(min) Mhh(max) scale=(muR/mu0,muF/mu0):
# Mhh(min) Mhh(max)  (1.,1.)    (2.,1.)    (0.5,1.)    (1.,2.)    (2.,2.)    (1.,0.5)    (0.5,0.5)   
250 270 0.017157314935905846 0.017062967744777096 0.016685025597084794 0.01715267004955371 0.01705167237533389 0.01719628742253525 0.01673321237681342
270 290 0.13573275213712752 0.1332602342383082 0.13437783739162326 0.13577688338219152 0.13318505501477873 0.1359159836240472 0.13428362943966007
290 310 0.3269534678161338 0.3200282431819926 0.325147384478431 0.327047617140134 0.3196684087024186 0.32740092373611224 0.3250795334578829
310 330 0.5271315268282756 0.5150839409377702 0.5258963679579457 0.5271872201569396 0.5143151507298674 0.5278861807695987 0.5255437985456557
330 350 0.7034282712828639 0.6870214562623889 0.702984565263024 0.7034494264166667 0.6857443423310998 0.7045352725966749 0.7023305184696145
350 370 0.8451553820633135 0.8253489204837196 0.8454045443222505 0.8451118310852839 0.823518104116989 0.8465438620666442 0.8444916441237561
370 390 0.9520990054096504 0.9296678495515108 0.9531544668294576 0.9519515704303881 0.9273314917375152 0.9537249543149808 0.9520542291396612
390 410 1.0277481369974677 1.0034780136259465 1.029716653296996 1.027475779306924 1.0006469912074476 1.0296158879299415 1.0284811740404523
410 430 1.0766672214555122 1.0513132000329652 1.0793113639450866 1.0762180920001192 1.0480325658241998 1.0787323177140486 1.0779515430394004
430 450 1.1041117399336744 1.0782010948845127 1.107330227643564 1.103532417467021 1.0745569111614501 1.1063119388129186 1.1058563406616189
450 470 1.113862689788129 1.0880553125541779 1.117173965819662 1.113223461402048 1.0841253364089527 1.1160856966608639 1.1155072324140551
470 490 1.1113453752379223 1.0856260663257145 1.1152347252884733 1.1105725072675028 1.0814162383487762 1.1137478474415579 1.11363983801138
490 510 1.0984535768250283 1.0731510568181466 1.1026247353566558 1.0975600138005046 1.0687577606207586 1.100911478674211 1.1010821327269498
510 530 1.078050701606519 1.053321125908303 1.0824335288368478 1.0770624922982883 1.0487843279640114 1.080512596644593 1.0809077638865239
530 550 1.052212095286977 1.0281850804454429 1.0568250943036437 1.051137313217728 1.0235334407978036 1.054711553017919 1.0553657938111813
550 570 1.021967457794089 0.9988521632664523 1.0264640385093076 1.0208889781138475 0.994175969367638 1.0243907602408835 1.0249819179898971
570 590 0.9894012774576936 0.9671185359425192 0.9939462556025966 0.9882502232781488 0.9624008243941967 0.9918256420123234 0.99253248785751
590 610 0.9552608620280776 0.9338043262591192 0.9599047572695321 0.9540505322208125 0.9290909289529002 0.9576713203523995 0.9585881882471637
610 630 0.9201456667500655 0.8995585436669443 0.9248290690941409 0.9189119820792738 0.8948524617928486 0.922532032468238 0.9235548738628276
630 650 0.8842309002121446 0.8646505157466187 0.8886984789900613 0.8830013820515582 0.8600089826660018 0.8865426222737968 0.8874244330923803
650 670 0.8489764547933527 0.8301932202828594 0.8534809855383535 0.8477057362015323 0.8255931221477433 0.8512620870724714 0.8523058763450754
670 690 0.8138863732045046 0.7959756310861253 0.8182817421781473 0.8126132148117838 0.7914532788250371 0.8161090336030101 0.8171630519953311
690 710 0.7795793208437793 0.7624779099226144 0.783983707555996 0.7783003734928943 0.7580286138430575 0.7817443423903201 0.7828815581149353
710 730 0.7458900489358776 0.7296528111507142 0.7500827636022649 0.744635241906956 0.7253051945306451 0.7479796816946586 0.7490307189327018
730 750 0.7136433043787757 0.69808159588757 0.717875221450156 0.7123304569320074 0.6937930544842965 0.7157369684159243 0.7169908099608141
750 770 0.6819466556210452 0.667206887341567 0.6859504817885483 0.6806989402175744 0.6630529260875785 0.6839160985716728 0.6849986873322121
770 790 0.6517271623411706 0.6376784695284586 0.6556419935824909 0.6504525704635183 0.6336049425014513 0.6536713154348214 0.6548064520418726
790 810 0.6223708684288202 0.6090652726469642 0.6260770450912738 0.6211442474831091 0.6051219004541843 0.624228276603182 0.6252348170991691
810 830 0.5941016215286672 0.5815431976825126 0.5975150915705708 0.5929354648357648 0.5777346190630455 0.5958360469116789 0.596628005307242
830 850 0.5679530163622183 0.5557914536694957 0.571634251621512 0.5667359518277877 0.5520442294669253 0.5697319282049748 0.5709421843780892
850 900 1.3092886069723473 1.2816782572466752 1.317465740576084 1.3064055582551553 1.27283289064587 1.3133985952999634 1.3157712993122883
900 950 1.1662377788516476 1.141827178198372 1.1737553345604341 1.1634946400491877 1.1336505878326166 1.1700016469052315 1.1723008533013033
950 1000 1.0393224857855934 1.0176968270198308 1.0462750393305607 1.0366984955598193 1.0101281684935044 1.0427951501172703 1.0450725618385401
1000 1050 0.9268910898043478 0.9076934157840155 0.9333039119730108 0.9244059792808117 0.9007183296031916 0.930098802500177 0.9322810624425013
1050 1100 0.8267692505428971 0.8098661012829828 0.8324389966679555 0.8244893176192867 0.8034906873857822 0.8296517572657045 0.8314977830733955
1100 1150 0.7384249872196493 0.7234486095849579 0.7435277428190137 0.736312462107137 0.7176213823999603 0.7410295246688482 0.7426731147906348
1150 1200 0.661060953873748 0.6475327028901514 0.6660558528669046 0.6590004163144277 0.6421240264079773 0.6635859083254695 0.6655087832407787
1200 1250 0.5914655484376192 0.5795184123816357 0.5958890162765275 0.5896199737124194 0.5746040144331417 0.5937069242593767 0.5953116839951774
1250 1300 0.5302701641217551 0.5195918755097735 0.5342637794958045 0.5285317098885629 0.5150748480122594 0.5323180430782691 0.5338321979544602
1300 1350 0.4752541982773557 0.46586989678234186 0.47866004578651533 0.47370769680346536 0.46178602870290064 0.47706205052133865 0.47814887581438326
1350 1400 0.4270113449891537 0.4186117808646628 0.4301560275579666 0.4255597710679955 0.41484218897464137 0.42867654167917313 0.4297516925987582
1400 1450 0.38436929279691956 0.3767353132887315 0.3873736050598428 0.3829788988688134 0.37324603647036414 0.38594422774090337 0.3871259248753047
1450 1500 0.34593977854683283 0.33913005455996376 0.34859894009847103 0.344644652278144 0.33595049985801845 0.3473801346021621 0.34834670559166575
1500 15000 3.404130813988352 3.3386320672626146 3.4331052870401386 3.3877608639826247 3.301810394058086 3.4205791071485576 3.432371245970554
