# N3LO Mhh cross section per bin in unit of fb at 14TeV
# Bin width is NOT divided
# PDF: MSHT20xNNPDF40_aN3LO_qed, MH=125 GeV
# Mhh(min) Mhh(max) scale=(muR/mu0,muF/mu0):
# Mhh(min) Mhh(max)  (1.,1.)    (2.,1.)    (0.5,1.)    (1.,2.)    (2.,2.)    (1.,0.5)    (0.5,0.5)   
250 270 0.016529969218826806 0.01642714606952301 0.016128581363450287 0.016525542614063842 0.016428983788747895 0.01655383375287796 0.016122569872600922
270 290 0.1306586366812636 0.12831490940177778 0.12940704572632603 0.13075711396893128 0.1282898843113543 0.13083485797694624 0.12942505187848646
290 310 0.31510931625474903 0.30834601367274816 0.31355983367757756 0.3152654449859443 0.308154941631084 0.315438765804523 0.3133477001758274
310 330 0.5080325023300614 0.496504460765592 0.5068928894782294 0.508236490012662 0.49604123598473 0.5086209413427855 0.5064374161515256
330 350 0.6789461257251836 0.6630812116166964 0.6786274600386961 0.6791451411252326 0.6622284824222143 0.679857830462883 0.6779815838433374
350 370 0.816356832474934 0.7972140089294587 0.8165107212671354 0.8165359303780998 0.7959396792464567 0.817408675317575 0.8156245818258587
370 390 0.9202107151107203 0.898665846634061 0.9210562646570308 0.9203569748850777 0.8969283244959663 0.9214487610898064 0.9198058550597481
390 410 0.9940598043871973 0.970788058382485 0.9956338640549212 0.9940444779198032 0.9685786359868331 0.9955823498765628 0.9943316178272166
410 430 1.0425154249945259 1.0181349982866539 1.0447276303976611 1.042377064812078 1.0155303115905527 1.044108535973007 1.0433033686497404
430 450 1.0698676684773198 1.0449992847038148 1.0725357563283973 1.0696544039502018 1.0420607319792898 1.0715806160493806 1.0709380416730803
450 470 1.0811051928303812 1.0560368635902164 1.084364094549532 1.0807445145818437 1.0527714559887984 1.0829704935570617 1.0827604764317331
470 490 1.0798370287627892 1.0547528899546357 1.0837675385390741 1.0792950380311153 1.0511845841766498 1.0818769853913062 1.0823397623899138
490 510 1.0676106356202306 1.0431295677224894 1.0714375247220431 1.06705305603022 1.0394147602616122 1.0696444397039906 1.06985067212305
510 530 1.0489034158269994 1.0248941488705312 1.0530993106349114 1.0482248277984645 1.0209982484300688 1.050985262531052 1.0515610577619356
530 550 1.024087082167319 1.0008841873873258 1.0281971452341208 1.0233234707011112 0.9968900889476786 1.0261467564531117 1.0266843658173557
550 570 0.9962105664661618 0.9736118615947982 1.000718157499707 0.9953731240005946 0.9695222963607747 0.9983280614418399 0.9993504863885322
570 590 0.9646478937856806 0.9430395352589999 0.968921896529291 0.9638193791903027 0.9389418204015907 0.9666914190432546 0.967426216517611
590 610 0.9322580495155025 0.9113925011009025 0.9367336508180433 0.9313479957841319 0.9072307451368398 0.9343608735590436 0.9353958174149941
610 630 0.8982952070218776 0.878353489376305 0.9026461301731441 0.8972772500134155 0.8741656804254632 0.90043840154037 0.9014438566904031
630 650 0.8642217080258214 0.8451175388363267 0.8685608149759376 0.8632331203613763 0.8409753059513443 0.8662470133077724 0.8672843683094039
650 670 0.8298332117726387 0.811673408976741 0.8339301482363851 0.8288453125230254 0.8075792662453083 0.8318084671237672 0.8326899629305112
670 690 0.7962064628692767 0.7788237890350465 0.8003256259601752 0.7951864471797186 0.7747743391570675 0.7981543770769579 0.7991403984258209
690 710 0.7632663447829848 0.7466092929642315 0.7674387170852907 0.7622277625041932 0.7426060786692046 0.7651746476245087 0.7663043005923258
710 730 0.7309667034928781 0.7150711101136163 0.7350802307202638 0.729887861280912 0.7111177486798267 0.732877542249223 0.7340637880947397
730 750 0.6993176157638136 0.6842359939201711 0.703230452986546 0.6982717533184261 0.6803733819894451 0.7011295616140466 0.7021896500481438
750 770 0.6689312678187875 0.6545452613591578 0.67276638377768 0.6678723616894893 0.6507662821587333 0.6707033891136801 0.6718002214504121
770 790 0.6396316625717875 0.6259078495541097 0.6433997501911645 0.6385613540504668 0.6222023884722976 0.641366130203216 0.6425101843250272
790 810 0.6115629974271034 0.5984265625670003 0.6153390790095359 0.6104717481299766 0.594786332508122 0.6132840230865926 0.6145348971297406
810 830 0.5842228475608028 0.5717702899580827 0.5878100113435484 0.5831626857594502 0.5682319112120086 0.5858717897843849 0.5870163094551742
830 850 0.5580459055334913 0.5462374136178578 0.5614345815329821 0.5569926312460679 0.5427916255221371 0.5596521981457652 0.5607031817982427
850 900 1.2882050227329067 1.2611136924408903 1.2962129828831521 1.2857238763488061 1.252968065463248 1.2919132277340364 1.2943929083314942
900 950 1.148788245124465 1.12480403547418 1.1561557960965234 1.146348288334091 1.117203173091007 1.1522576646089107 1.1546578856436958
