# N3LO+N3LL Mhh cross section per bin in unit of fb at 13.6TeV
# Bin width is NOT divided
# PDF: PDF4LHC21_40, MH=125.09 GeV
# Mhh(min) Mhh(max) scale=(muR/mu0,muF/mu0):
# Mhh(min) Mhh(max)  (1.,1.)    (2.,1.)    (0.5,1.)    (1.,2.)    (2.,2.)    (1.,0.5)    (0.5,0.5)   
250 270 0.015873459595982655 0.015993172303170388 0.015373263091835359 0.01560547245039434 0.01607841927009681 0.01595802057371805 0.015697224661796585
270 290 0.12827058733252114 0.12781877913685397 0.1260235031421358 0.12733349776099595 0.12967246388753562 0.12800046781780813 0.12754526537030905
290 310 0.31178526556925595 0.30950388513653215 0.3083026129238786 0.3104927920226163 0.3147055206998729 0.31050134858769146 0.3113671170359671
310 330 0.5037924020024512 0.4993853055879607 0.499242915824308 0.5024597940793206 0.5082239797734368 0.5011475445993234 0.5034034222729488
330 350 0.6737930402551277 0.6673498163430517 0.668937892992572 0.6726286201311861 0.679430663794295 0.6698507144338365 0.6738717403362229
350 370 0.8106416086357667 0.8026141339431863 0.8056240402850215 0.8097272993486518 0.8171662637370024 0.8056171187474137 0.8109033275251673
370 390 0.9136381672787535 0.9045343142230979 0.9087049585510452 0.9131255098886493 0.9209647806565991 0.9077441367379302 0.9140471727012043
390 410 0.9865527581526785 0.9766381322706315 0.9818073800169186 0.9863567472257134 0.9943093595007714 0.980070640652296 0.987252282573756
410 430 1.033788549122208 1.0234183480375658 1.0293185056461778 1.0339244170337054 1.04187470033621 1.0268335606552805 1.0345267399936033
430 450 1.0607373644861444 1.0500077345063992 1.0567384944191864 1.0611424836929173 1.0688181305831996 1.0535267930319785 1.0617834959106591
450 470 1.0708742110999272 1.0601601111875127 1.0671921337308639 1.0715769657382865 1.0790370565310377 1.063527199596869 1.0719279610420365
470 490 1.0682882834415015 1.0576766768718135 1.0649082282337277 1.0691890321807531 1.076403420606718 1.0609164885291014 1.0693967620052616
490 510 1.056182077435461 1.0457282510182913 1.053251236456965 1.0572844300241586 1.0641433540724479 1.048850481634307 1.0574026024059904
510 530 1.0367837128393387 1.026542999857024 1.0342249042536362 1.0380322401439581 1.0445187896762842 1.0295292723340936 1.0380505948753906
530 550 1.0119128220037699 1.0020226539135244 1.009633654041606 1.013293396005254 1.0194842587374786 1.0048248260024295 1.013163590044038
550 570 0.9834575610250914 0.9738400275339647 0.9816246241213069 0.9849215781655773 0.9907150956839753 0.9765866411097042 0.9849037985807508
570 590 0.9517630176734406 0.9426721835979884 0.949883655395295 0.9533607116843068 0.9589785881889267 0.9450227842498946 0.9528503582390526
590 610 0.9191980050986338 0.9103961799414524 0.9177536337299074 0.920784707469373 0.9260157619565089 0.9127185329709882 0.9205333960236083
610 630 0.8854005023808653 0.8769928220850891 0.8841480080159171 0.8870629491864336 0.891996175448355 0.8791424015370688 0.8866995694281541
630 650 0.8510274315074393 0.8430861592750576 0.8498399171166382 0.8527485982318885 0.8574785803115123 0.8449744139401899 0.8521403399629188
650 670 0.8170040116047168 0.8094313160185712 0.8159815717886513 0.8187481860505935 0.8232019775609508 0.8111964786313153 0.8181043452596425
670 690 0.7833907107421849 0.7761665047378506 0.7825205818867139 0.7851430186068465 0.7893180588365201 0.7778122108380084 0.7845053328236024
690 710 0.7499679907932105 0.7432490596184625 0.7490435293666581 0.7517570993879781 0.7558519007309584 0.7445678428485313 0.750722103341503
710 730 0.7182115863291904 0.7116821314890518 0.7176412814031753 0.719954094345817 0.7236874169492914 0.7130782291557166 0.7192622738578247
730 750 0.686962158576478 0.6807650018885053 0.6865095684781181 0.6886839764313334 0.6922206660370381 0.6820627161756291 0.6880136427515066
750 770 0.6566352550185095 0.650790912443275 0.6562086671506379 0.6583493722184914 0.6617265060627169 0.6519262099524448 0.6575660850486006
770 790 0.627368140747168 0.6218795816062785 0.6269346545507996 0.6290759724730207 0.6323280521481964 0.6228443977686482 0.6281400111567894
790 810 0.5995524660631443 0.5942805593574085 0.5993223973246959 0.6012263658356586 0.6042362873522739 0.5952546998025091 0.6004619649325262
810 830 0.5725604172884993 0.5675929228574245 0.5723461345215317 0.5741973192611859 0.5770932416407004 0.5684513715836197 0.5734029766651896
830 850 0.5466695738570305 0.5420026490075975 0.5464322106084397 0.5483038014962062 0.551081013331786 0.5427092067071282 0.5473592389236036
850 900 1.2614242607405655 1.2507234261755316 1.2611951876256158 1.2653351450997627 1.2716297235667136 1.2523036582541411 1.2632195491452474
900 950 1.1238134959116852 1.1144851750924476 1.1237544307724954 1.1275075814358773 1.1330945072815242 1.1156722185972023 1.1254069343043016
950 1000 1.0014173752069195 0.9933140148156683 1.001442417175486 1.0049305026405877 1.009934667175582 0.9941085420343104 1.0027145179385033
1000 1050 0.893209507438607 0.8860918635887981 0.8933848218149318 0.8964716239510544 0.9009329539920151 0.886708042186539 0.8944562284193011
1050 1100 0.7972583136618077 0.7910400995971668 0.797506672230663 0.800344082275715 0.8043223475850181 0.7914199982433471 0.7983512270480319
1100 1150 0.7118883804957626 0.7065838697386213 0.7119050037768242 0.7147959622989966 0.7185291024675495 0.7065706748801052 0.7124815786274277
1150 1200 0.637157248355735 0.632388972224385 0.6374001742185581 0.6398313248765051 0.6431050962752006 0.6324369314995313 0.6379246964203324
1200 1250 0.5705152526918646 0.566345313515729 0.570764092372173 0.573019350439441 0.5759883337562103 0.5662495215017963 0.5711494416547287
1250 1300 0.5116896009848912 0.5079674860513952 0.5120087886655543 0.5139923121003285 0.5166434089456335 0.5078725604673492 0.5123807645847137
1300 1350 0.4591947374301095 0.4559441975686028 0.459505211846906 0.46133929175854105 0.46377797465311404 0.4557641253263247 0.4597995119191938
