# N3LO+N3LL Mhh cross section per bin in unit of fb at 14TeV
# Bin width is NOT divided
# PDF: MSHT20xNNPDF40_aN3LO_qed, MH=125 GeV
# Mhh(min) Mhh(max) scale=(muR/mu0,muF/mu0):
# Mhh(min) Mhh(max)  (1.,1.)    (2.,1.)    (0.5,1.)    (1.,2.)    (2.,2.)    (1.,0.5)    (0.5,0.5)   
250 270 0.016368258318826805 0.01649402788052301 0.015891220253450286 0.016100793514063842 0.016594243708747895 0.01646088554587796 0.01618852842460092
270 290 0.1299802657312636 0.1294919765017778 0.127913251826326 0.12909351786893128 0.1314175898113543 0.12975782247694626 0.12957499166848646
290 310 0.313998098454749 0.3116744627727482 0.31038147807757754 0.31274086548594426 0.31705786573108397 0.312614617204523 0.3134101989318274
310 330 0.5066732804300613 0.502228233265592 0.5021629441782294 0.505397379412662 0.51137433998473 0.5039356786427854 0.5063128558015256
330 350 0.6775039606251837 0.6710013648166964 0.6726755650386961 0.6764191525252327 0.6834447594222143 0.673533950162883 0.6776400732933374
350 370 0.814949872174934 0.8069610171294587 0.8096908598671354 0.8141956762780997 0.8220445132464567 0.809777627817575 0.8150730008358588
370 390 0.9189171784107203 0.909840856634061 0.9136807629570308 0.9185560870850777 0.9268262574959663 0.9128501100898064 0.9190696518197481
390 410 0.9929271234871974 0.983016904382485 0.9879578978549212 0.9928520822198033 1.001267369986833 0.9863182745765628 0.9934398344472166
410 430 1.041566394724526 1.0310931202866538 1.036947070197661 1.041806431822078 1.0501451385905527 1.0344268620730068 1.0422875307497403
430 450 1.0691110234673198 1.0584219147038147 1.0647943301283973 1.069687517451202 1.0778845129792898 1.0616890940493806 1.0698271587730803
450 470 1.0805397711403812 1.0697094795902164 1.076764778649532 1.0813403297518438 1.0892256129887985 1.0730235012570617 1.081579541431733
470 490 1.0794523722027891 1.0685043709546356 1.0763827617390742 1.0804033251311154 1.08782288617665 1.0719986296913062 1.0811093707899138
490 510 1.0673967322702307 1.0568328907224895 1.0643175933220432 1.06861711163022 1.0758844462616122 1.0599240433039905 1.06858843732305
510 530 1.0488459693959995 1.038442513870531 1.0462731970349113 1.0501876171984645 1.057020335430069 1.041485557731052 1.0502812108619357
530 550 1.024170911004319 1.0142015553873258 1.0216835051341207 1.0256352589011113 1.0322730659476786 1.0169192951531116 1.0254006188173557
550 570 0.9964205335761618 0.9866409155947982 0.994527635499707 0.9979808828005946 1.0041148203607746 0.9893992431418399 0.9980708766885322
570 590 0.9649706883856806 0.9557385722589998 0.9630501013292909 0.9666785073903027 0.9726296804015907 0.9580879828432546 0.966159560117611
590 610 0.9326794613555025 0.9237337911009025 0.9311774481180433 0.9344169469841318 0.9399462931368398 0.9260896456590436 0.9341472662149941
610 630 0.8988029000318776 0.890319913376305 0.8973952432731441 0.9005160185134156 0.9058533104254631 0.8925046474403701 0.9002177621904031
630 650 0.8648041480258214 0.8567013368363267 0.8636031203759377 0.8666100066613763 0.8716103389513443 0.8586515029077725 0.8660846535094039
650 670 0.8304804532426386 0.822863671976741 0.8292557027363852 0.8323303366230254 0.8371576572453083 0.8245496435237673 0.8315198418305112
670 690 0.7969085789892767 0.7896219770350464 0.7959224420601752 0.7987536220797187 0.8032947961570676 0.7912237740769579 0.7980013324258208
690 710 0.7640143790229849 0.7570173749642315 0.7632932639852906 0.7658549279041932 0.7700757776692045 0.7585615343245087 0.7651971659923258
710 730 0.7317537977828781 0.7250961431136164 0.7311771841202639 0.733555780780912 0.7375539476798267 0.7265731643492229 0.7329900443947397
730 750 0.7001367128238136 0.6938838180201711 0.699558169986546 0.7019618517184261 0.705795962989445 0.6951222790140466 0.7011498676481438
750 770 0.6697758896287875 0.6638257831591579 0.6693100837776801 0.6715708053894893 0.6751993591587333 0.6649811669136801 0.6707944629504121
770 790 0.6404966377317874 0.6348335623541097 0.6401475320911645 0.6422540742504668 0.6456786574722976 0.635919733603216 0.6415377822350271
790 810 0.6124435122371034 0.6070062988670003 0.6122783912095359 0.6141483653299766 0.617335929508122 0.6081007978865925 0.6135961218597407
