# N3LO+N3LL Mhh cross section per bin in unit of fb at 14TeV
# Bin width is NOT divided
# PDF: PDF4LHC21_40, MH=125 GeV
# Mhh(min) Mhh(max) scale=(muR/mu0,muF/mu0):
# Mhh(min) Mhh(max)  (1.,1.)    (2.,1.)    (0.5,1.)    (1.,2.)    (2.,2.)    (1.,0.5)    (0.5,0.5)   
250 270 0.017288985810691153 0.01742806367836127 0.016717842331250104 0.017008732452398666 0.01754101579130522 0.017386141361533974 0.017100855987256594
270 290 0.13783341923740705 0.13728875453767345 0.13553480478347787 0.1368477620929558 0.13926880549659332 0.13756974433166272 0.13732202239177646
290 310 0.3332177564582533 0.3306677352975872 0.3294773873440421 0.33180516626254464 0.3362337344342638 0.33176773745992005 0.3327032482314327
310 330 0.5374634096281828 0.5327158460947099 0.5325689627707283 0.535990607324032 0.5420918306164967 0.534655649748246 0.5370855925863978
330 350 0.7182938651657845 0.7115416285722288 0.7129238124579643 0.7170432710571756 0.724351301079505 0.7142014549370632 0.7181534586094698
350 370 0.8642628772134086 0.8558395679754509 0.858632045156866 0.863335391402968 0.8713882060595043 0.858865086817857 0.8642641344259067
370 390 0.9750305583190367 0.9652628609117301 0.9696959647474704 0.9744178034916694 0.9827697583435601 0.9687834373567377 0.9755004114023902
390 410 1.053680368185621 1.0429803172167633 1.048700370585383 1.0534414473609182 1.061831298797479 1.046747117601537 1.0544830504916387
410 430 1.1046563892513368 1.0935481620216376 1.0998230628419023 1.1047533676901633 1.1132162375563075 1.0972647154356505 1.1054521538173234
430 450 1.1341644505898725 1.122733620143235 1.1297022479123224 1.1345973402676421 1.142843504326449 1.1264519733810716 1.1350585590058766
450 470 1.1462204434275356 1.1346171984631064 1.1423301711213372 1.1469139555561454 1.1548385993107964 1.1383469234401598 1.14740882594025
470 490 1.1449123097522471 1.1332371453102037 1.1417336411383368 1.1458075350652979 1.1532718545228997 1.137075642184122 1.1465342132838312
490 510 1.1328234877978285 1.121316144203374 1.130051035155793 1.1338843835997294 1.1409779024450555 1.1250721908656098 1.1346381906645595
510 530 1.1118925249503695 1.1009978817241108 1.1089408706131276 1.1132190978021617 1.120283738329231 1.1040965875599318 1.113003693876942
530 550 1.086650485308578 1.0759011563661447 1.084247320884302 1.0880653793562394 1.094640588022248 1.0790919760470679 1.0881515280094787
550 570 1.0561973758238192 1.0460290154135286 1.0538026654159902 1.0578289590914876 1.0641663969966337 1.048707426070237 1.0572406403055463
570 590 1.0237256928124974 1.0138678120223699 1.0217729696266045 1.025384127699501 1.031353743352919 1.0165033800821377 1.0250317349869869
590 610 0.989474487044461 0.9799356803582994 0.987974424594513 0.991179240280135 0.9967218488191751 0.9825351802826596 0.9909361989363307
610 630 0.9539224804769627 0.9447776431794933 0.9526291182528887 0.9556862937559475 0.9608993700470254 0.9472270046187246 0.95542288410739
630 650 0.9174593314796686 0.9088676592746264 0.9161594194932584 0.9192824176067759 0.9243232983768881 0.910965644169443 0.9186066001017184
650 670 0.8815241828193047 0.873328726305338 0.8804445778867475 0.8833873583851825 0.8881387196068964 0.8752708510017156 0.8827120474962544
670 690 0.846378191301897 0.8384082471935144 0.845664748979088 0.8481894923766042 0.852540884576771 0.8404531475342658 0.8479186951369544
690 710 0.8105627428188824 0.8032407102194272 0.8095458018030501 0.8124960360954536 0.8168454590999943 0.8047141885276295 0.8113367005105446
710 730 0.7768614152937975 0.7697586972898323 0.7762590765114864 0.7787054548073454 0.7826874670765562 0.7713642672344002 0.778059133029764
730 750 0.7434028482236499 0.7367329692675861 0.7427693361312261 0.7452669615897614 0.7490952510730259 0.7380819560712587 0.7443690084867478
750 770 0.7111911659151361 0.7048880324728437 0.7106221216272643 0.7130603563523277 0.7167046145067381 0.7060728213111171 0.7120313874294333
770 790 0.6801369484842505 0.6741657197322601 0.6796405220729773 0.6819720559335604 0.6854596856618799 0.6752353720449468 0.6809181272511539
790 810 0.6505965959575516 0.6448336386190867 0.6503585035132827 0.6523653297567347 0.6555647586476051 0.6459602188834979 0.651620169386539
810 830 0.621626422011204 0.6162423380952916 0.6213149968918253 0.6234016782467873 0.6265172252947172 0.6171467539751231 0.6224118307120201
830 850 0.5939635935964027 0.5888993982197926 0.5936273651948324 0.5957277647261886 0.598730677088381 0.5896524387997983 0.5946052224708187
850 900 1.3738462944400773 1.3617593789452815 1.3742084046014407 1.3778801465856187 1.3842820142036703 1.3641596888799643 1.3766962924232478
900 950 1.225466979735153 1.2151591692855506 1.2255081012919087 1.2294140020243367 1.2353225880907595 1.2166295568822352 1.2272968796112558
950 1000 1.0943293232561109 1.0852828472446265 1.0945592115607774 1.0980819738131862 1.1033066816110904 1.0864251204967421 1.096009854980362
1000 1050 0.9777916911399152 0.9698715536934017 0.9781016335152519 0.9812755699176674 0.9859939455733242 0.9707232501649141 0.9792868942511204
1050 1100 0.8743277464896578 0.8673930677622524 0.8746484057232725 0.8776331745346532 0.8818510150203556 0.8679392019292056 0.8755502763286507
1100 1150 0.782606094437509 0.7765528712506289 0.7829281438105375 0.7856907614213364 0.7895231891015505 0.7768675889323373 0.7836602986955703
1150 1200 0.700944081863731 0.6957419990024676 0.7011265801567458 0.7038738607681374 0.7074477154281774 0.6957357102727046 0.7016079599714918
1200 1250 0.6293807361305948 0.6245932230570692 0.6299130147535478 0.6320105212045318 0.6350736936999639 0.6247884950209744 0.6305254059789139
1250 1300 0.5647037813491104 0.5606888298123137 0.5648119118636005 0.5672560430376414 0.5702341215432367 0.5604115992779877 0.5650615484866612
1300 1350 0.50785902705411 0.5043267700139092 0.5080306639977056 0.510239871382377 0.5129219679557614 0.5040222365041797 0.5082403989503734
1350 1400 0.4571996911989427 0.45401012153315 0.45749046727779324 0.45940580728696595 0.4618209640572805 0.45370105906561387 0.4576391768602685
1400 1450 0.4118881037755579 0.4091918647020784 0.4119964338561355 0.4139756158112367 0.41627194274462526 0.4087284541066265 0.41205362374029275
1450 1500 0.37199576522568367 0.36947183353668067 0.3722582279356403 0.37387855375275536 0.3758924127017337 0.3691703971088359 0.3723858844017117
1500 15000 3.7714242229217785 3.751208356296897 3.774222005243808 3.7984023730991026 3.824225754910755 3.7402772984213195 3.773388102030627
