# N3LO Mhh cross section per bin in unit of fb at 13.6TeV
# Bin width is NOT divided
# PDF: MSHT20xNNPDF40_NNLO_qed, MH=125 GeV
# Mhh(min) Mhh(max) scale=(muR/mu0,muF/mu0):
# Mhh(min) Mhh(max)  (1.,1.)    (2.,1.)    (0.5,1.)    (1.,2.)    (2.,2.)    (1.,0.5)    (0.5,0.5)   
250 270 0.016255051974617313 0.016151034880195085 0.015871166339757943 0.016261005154684545 0.01614409407935916 0.016298440613907724 0.015900426984018712
270 290 0.12822021737079942 0.12587064472843873 0.1269751572010031 0.12825514144961014 0.1257716417264367 0.1284122021288308 0.12697832933857223
290 310 0.30858036187982796 0.30192620854797003 0.3070830122260053 0.3086695042137244 0.30158309740230965 0.3089920133657975 0.3068242490132828
310 330 0.4960556782323466 0.484885767169662 0.49471812596368564 0.49613565647388225 0.48412497491572604 0.4967708658069387 0.49425529431257004
330 350 0.6619003117819474 0.6463925137961712 0.6615084679360292 0.6618578596679021 0.6450784615042641 0.6629349790397716 0.6608530491641945
350 370 0.794561209269844 0.7758053103346831 0.7950235913723934 0.7944498037662586 0.7739781386896655 0.7958844713439688 0.7941122949556825
370 390 0.8942510566013321 0.8730354839435175 0.8955628693655128 0.8940565868673543 0.8706820431631076 0.8958433526903483 0.8945126605416942
390 410 0.9635595509839439 0.9408872215689857 0.9652952194321804 0.9632626748949713 0.9380835540553053 0.9653322694051331 0.9639812703489434
410 430 1.0086801508232286 0.9849117971899131 1.0112383995021663 1.0082482627890677 0.9816864162134471 1.0106901469279141 1.0099115832412024
430 450 1.0336772849700413 1.0092942441249355 1.0368623843455904 1.0330435160001366 1.0057067174996384 1.035815822181835 1.0354881875750521
450 470 1.0420216100678361 1.0176769714653648 1.0454773498265075 1.041312378075791 1.0137969813903058 1.0442480936125846 1.0440365070981914
470 490 1.0386277600070488 1.0143833896577603 1.04255392725405 1.03780575561588 1.010283470964965 1.0409293632583658 1.0411266951866824
490 510 1.0254669501070557 1.001698535386012 1.0296316600583342 1.0245435982712876 0.9974116282371027 1.0278551332566515 1.0281915278552427
510 530 1.0052839687054542 0.9821640409953608 1.0095009436764 1.0043259013300239 0.9777601628150409 1.0076623978814943 1.0081268467534676
530 550 0.9796740194491842 0.9573794723409755 0.9837339687644171 0.9786928513533711 0.9529499291359791 0.9819362595931359 0.9822109315730649
550 570 0.9509110733417417 0.9294107760060859 0.9550406253465252 0.9498637863478766 0.9249067628614763 0.9532048965667825 0.9535975513270492
570 590 0.9196795712975785 0.8990041262539321 0.9237973680688094 0.9185812911417631 0.8944995070507265 0.9219429312395573 0.922408148226728
590 610 0.8870578335784729 0.8672107115648438 0.8912322160197516 0.8859360593114647 0.8627185844718196 0.8892895506920101 0.8898539985842592
610 630 0.8538184429052005 0.834744883540623 0.8580941087671164 0.8525918093287658 0.8302263012668558 0.8561017053853625 0.8569613093826234
630 650 0.8199496852454965 0.8017534340225801 0.8241218588770276 0.818764490520112 0.7973277988822657 0.8221082555258534 0.8228733797963373
650 670 0.786454703567332 0.7690614082708425 0.790623262167757 0.7852465122671163 0.7646805570338414 0.7886070289547317 0.7895039189216692
670 690 0.7532962478282829 0.7367180081743614 0.7573947438808033 0.7520634536936014 0.7323957508168647 0.7554057458711604 0.7563319566674059
690 710 0.7210664273885365 0.7052038623149035 0.7251930014844606 0.7198195131159263 0.7009571661956698 0.7231369296099786 0.7242052385210479
