# N3LO Mhh cross section per bin in unit of fb at 13.6TeV
# Bin width is NOT divided
# PDF: PDF4LHC21_40, MH=125.09 GeV
# Mhh(min) Mhh(max) scale=(muR/mu0,muF/mu0):
# Mhh(min) Mhh(max)  (1.,1.)    (2.,1.)    (0.5,1.)    (1.,2.)    (2.,2.)    (1.,0.5)    (0.5,0.5)   
250 270 0.016032100445982654 0.01592933758817039 0.015605040121835358 0.01602057152039434 0.015921375780096808 0.01604814732771805 0.015631652595796585
270 290 0.12894648026252115 0.12665298673685396 0.1275076967421358 0.12898178696099594 0.12658410718753563 0.12907293471780815 0.12739212906030906
290 310 0.31289571886925593 0.30618381853653215 0.3114735688238786 0.31299801522261633 0.3058501662998729 0.3133307133876915 0.3112992452729671
310 330 0.5051496793024512 0.49366318668796066 0.503969438924308 0.5052681315793206 0.4929423877734368 0.5058480402993234 0.5035214050129487
330 350 0.6752325581551276 0.6594254234430517 0.6748865422925721 0.6753160548311861 0.658267598794295 0.6761980362338365 0.6742070660162229
350 370 0.8120426181357667 0.7928597708431863 0.8124385253850216 0.8120201851486518 0.7911306027370024 0.8132751593474137 0.8114490153451672
370 390 0.9149219674787534 0.8933529392230979 0.9160709501510451 0.9148711821886493 0.8911407326565991 0.9163694132379302 0.9147786314712043
390 410 0.9876732991526785 0.9644063872706314 0.9894705851169185 0.9874853864257134 0.9617159395007714 0.989357219852296 0.988137800303756
410 430 1.0347223060922082 1.0104611420375658 1.0370833955461778 1.0344250722537054 1.00736868533621 1.0365250287552805 1.0355363874936034
430 450 1.0614760806161445 1.036592467506399 1.0644603581191865 1.0610377088929173 1.0331388395831997 1.0634206361319785 1.062888397310659
450 470 1.0714202489699272 1.0465008311875128 1.0747659266308638 1.0709092731682865 1.0427499925310377 1.073466960896869 1.0731024664420366
470 490 1.0686513969915015 1.0439469188718136 1.0722607422337276 1.0680112726807531 1.0399632056067178 1.0707785655291013 1.0706205570052616
490 510 1.0563741595254612 1.0320626120182912 1.060334986356965 1.0556527877241586 1.0278985420724478 1.058545527134307 1.0586570854059905
510 530 1.0368198314303387 1.013036205857024 1.0410090276536361 1.0360036120439582 1.0087318136762842 1.0389915449340936 1.0393215017753907
530 550 1.01180795465377 0.9887570029135243 1.016101346741606 1.0109228390052538 0.9843610477374786 1.0140120163024295 1.014439117044038
550 570 0.9832264706850914 0.9608710995339647 0.9877709312213069 0.9822600371655773 0.9563991016839754 0.9854641559097042 0.9861742700807509
570 590 0.9514203399434407 0.9300369865979884 0.9557065741952949 0.9504541719843068 0.9255812201889266 0.9535703116498946 0.9541077168390526
590 610 0.9187574948986338 0.8981244969414524 0.9232592881299073 0.917674768869373 0.8936108099565089 0.9209313247709882 0.9217719769236082
610 630 0.8848745717708654 0.8651034650850891 0.8893453772159171 0.8837865523864336 0.8606277384483549 0.8870115703370688 0.887915008128154
630 650 0.8504282223374393 0.8315871362750575 0.8547413552166382 0.8493416953318885 0.8271707463115122 0.85250138564019 0.8533293653629188
650 670 0.8163417936647168 0.7983281260185712 0.8206007418886513 0.8152384268505936 0.7939648265609508 0.8183837330313153 0.8192635540596425
670 690 0.7826750946921849 0.7654619197378506 0.7868693155867139 0.7815566085068465 0.76115057883652 0.7846707754380084 0.7856335619236023
690 710 0.7492074375732105 0.7329375196184625 0.7531342763666581 0.748117215387978 0.7287372467309584 0.7511033448485313 0.751817119541503
710 730 0.7174138867791904 0.7017582817890518 0.7214896470031753 0.716279195045817 0.6976137569492914 0.7193023626557166 0.7203241023578247
730 750 0.686134171586478 0.6712200707885053 0.690129154278118 0.6849915240313333 0.6671591950370381 0.6879881915756291 0.6890416098515065
750 770 0.6557828108485095 0.6416142951432751 0.6596119529506379 0.6546549611184914 0.6376571290627169 0.6575634983524448 0.6585600655486006
770 790 0.6264969721171679 0.6130616873062785 0.6301346657507996 0.6253912030730208 0.6092169641481965 0.6282083506686482 0.6291000844167894
790 810 0.5986672627631443 0.5858104439574086 0.6023314102246959 0.5975628528356586 0.5820492793522739 0.6003561765025092 0.6013887862425262
810 830 0.5716650401584993 0.5594566966574245 0.5751757600215317 0.5705633443611859 0.5558029446407005 0.5733029912836197 0.5742966356151896
830 850 0.5457678511670305 0.5341890097075975 0.5490936188084398 0.5447079960962061 0.530650752331786 0.5473229352071282 0.5482208030736037
850 900 1.2591629843405654 1.2325256521755317 1.2671789692256157 1.2565506559997628 1.2241070055667136 1.2628691782541412 1.2652374297452473
