# NNLO Mhh cross section per bin in unit of fb at 13.6TeV
# Bin width is NOT divided
# PDF: MSHT20xNNPDF40_NNLO_qed, MH=125 GeV
# Mhh(min) Mhh(max) scale=(muR/mu0,muF/mu0):
# Mhh(min) Mhh(max)  (1.,1.)    (2.,1.)    (0.5,1.)    (1.,2.)    (2.,2.)    (1.,0.5)    (0.5,0.5)   
250 270 0.016522850980634104 0.015535461702403313 0.017086687574732307 0.016529746552567254 0.015508389424440544 0.01657945955118487 0.017082987810153192
270 290 0.12716951879382069 0.11836357941143441 0.13358774925855285 0.1270370363492028 0.11795661117429763 0.12777514288013941 0.13375608004566125
290 310 0.3035834040845181 0.28204384750409517 0.3200698188648357 0.3029717186429374 0.28070220088424586 0.3053309993581343 0.32062562315509235
310 330 0.48658422669905516 0.452050326460719 0.5135093123168346 0.48522321003712915 0.44937743695701204 0.4897870428045698 0.5145334266165815
330 350 0.647199509229938 0.601586984986666 0.6830845547931036 0.644934843901421 0.597398718494963 0.6519371482686213 0.6845830037633993
350 370 0.7758408058537676 0.7216719677643095 0.818693814494226 0.7726398747984784 0.7159570290718232 0.7820286756480151 0.8206141697716155
370 390 0.8721105086251452 0.8118434958884587 0.9199369303372151 0.8679910262234412 0.8046951645438793 0.8795780638797761 0.9222254264176102
390 410 0.9394660914313145 0.8752324179899732 0.9905593951577201 0.9345217327044837 0.866812240811409 0.9480148290894658 0.9931390869878347
410 430 0.9825397971384846 0.9160761399338541 1.0354812756650913 0.9768753334581032 0.9065727446934138 0.9919646721542484 1.038295521347474
430 450 1.0060677776987743 0.9387066874596526 1.0597972106165126 0.9997846929223463 0.9283017651079284 1.0161848528196171 1.0628006470613016
450 470 1.014068537120537 0.9468569537100647 1.0677220449100855 1.0072841482968227 0.9357317046335335 1.0246946598009732 1.0708543977885485
470 490 1.010111485344999 0.9438140861837946 1.0630645739219378 1.0029330326779031 0.932137160255855 1.021092392517954 1.0662820871976841
490 510 0.9970968552298614 0.9322652995055919 1.0489073142879528 0.9896204721099672 0.9201851870264247 1.0083017893828452 1.0521828259911221
510 530 0.9773326773004128 0.9143495788552031 1.0276949454187496 0.9696414782900245 0.9020015756724626 0.9886480473574869 1.030985890841623
530 550 0.9525737230549963 0.8917285370189661 1.0012321514763587 0.9447371332983853 0.879217699658462 0.9639035789377847 1.0045077375261053
550 570 0.9244535221646965 0.8658880700788795 0.9713209396882171 0.9165303741285269 0.8533051039500493 0.9357343878525627 0.9745890240698769
570 590 0.8939545874817099 0.8377770388065029 0.9389160788500263 0.8860013025117661 0.8252013724422803 0.9051233771131041 0.9421531280616111
590 610 0.8620446507890237 0.8082877901431327 0.9050920224647222 0.8541047598021653 0.7957869116316976 0.87305025801268 0.9082748897301256
610 630 0.8293837166322516 0.7780421858183728 0.8705090518837733 0.8214909351586634 0.7656665953858401 0.8401877846222164 0.8736431721698131
630 650 0.7964592514433533 0.7475094924801495 0.8356724804655346 0.7886465108382266 0.7353077554308346 0.807037582676379 0.8387466268096327
650 670 0.7637212961695847 0.7171022879854199 0.8010744039094257 0.7560121304586154 0.7051081073873887 0.7740449695984339 0.804082547095546
670 690 0.7314109621180614 0.6870698525366828 0.7669493175934259 0.7238351442118715 0.6753139942996118 0.7414572366333682 0.7698754360682128
690 710 0.6998166282031986 0.6576654925219819 0.7336188179133423 0.6923872623709452 0.6461668588791047 0.7095843396757551 0.736462519584245
710 730 0.6690638453434895 0.6290120000467955 0.7011788774238862 0.6617940013651579 0.6177926872562546 0.678537644339415 0.7039540879729514
730 750 0.6392665524469103 0.6012292009709725 0.6697826776904339 0.632171162389363 0.5902999600690912 0.6484398113889603 0.6724619849457912
750 770 0.6105212097577926 0.5743987254654828 0.6395069860641578 0.6035970182046371 0.5637633741849065 0.6193985602006833 0.6421057242387875
770 790 0.5828121540854297 0.5485242680376015 0.6103296727140954 0.5760660468836143 0.5381914187061178 0.5913899628243153 0.6128499934972182
790 810 0.5562188088485696 0.5236759891651087 0.5823554103475553 0.5496607007768248 0.5136457331296665 0.5645063647348623 0.5847915146234896
810 830 0.530720698864943 0.49982891237772487 0.5555263645548347 0.5243470281619458 0.4901067029881281 0.5387159310738427 0.5578839534008372
830 850 0.5063281073994215 0.477008044732145 0.5298844450770609 0.500140841070505 0.4675878635927568 0.5140386222938443 0.5321654059355231
850 900 1.1660939245954207 1.0991302399548784 1.2199102239236361 1.1514381326903538 1.0768942022066024 1.1841816480720049 1.225292097858059
900 950 1.0363426076948317 0.9775218529855041 1.0836550653192443 1.022815793733344 0.9570863228351518 1.052810842983012 1.0885996315820752
950 1000 0.9213524914611432 0.869622464206112 0.9629772872651701 0.9088995190651165 0.8508932323835844 0.9363028648408646 0.9674906863505508
1000 1050 0.8197709914695187 0.7742027488385208 0.8564741812608235 0.8083379090199432 0.757070141167567 0.8333445267989994 0.8606099578208745
1050 1100 0.729957673868506 0.6897621248241983 0.7623587208340996 0.7194774000332007 0.674110587417894 0.7422603673598988 0.7661206149666528
1100 1150 0.6506808985460656 0.615168831405571 0.6793251335579285 0.6410868844360412 0.6008858401843409 0.6618433586742274 0.6827773460638319
1150 1200 0.580649114445773 0.5492254502914606 0.6060222399862694 0.5718788239661792 0.5361980772826438 0.5907747792826333 0.6091709047473728
1200 1250 0.5187756245216479 0.4909122838198339 0.5412878708242036 0.5107486853595389 0.4790288418178169 0.5279594521158338 0.5441766771581428
1250 1300 0.4640331346204152 0.4392895170504613 0.4840429185852707 0.4566848093110041 0.4284488590521352 0.4723646420640275 0.4866838432116583
1300 1350 0.41551215792992846 0.3935140818658657 0.4333192096663969 0.4087915216973425 0.3836256288215718 0.4230742399652427 0.4357289960108299
1350 1400 0.3725355994302177 0.3529355007120164 0.3884218396708682 0.36637761199665464 0.34390584856746736 0.3794065952332826 0.3906310661002036
1400 1450 0.33431241149317925 0.316839766460495 0.34847366475760216 0.32868219533886917 0.3086006326577563 0.3405482371026947 0.35049457903703424
1450 1500 0.3002729918378241 0.2846932956331423 0.3129012915850099 0.2951313036591912 0.2771804424982634 0.30592865151194615 0.31472725096143606
1500 15000 2.8882984631614437 2.744568853980152 3.0060052222062197 2.8300320250119593 2.6614349200175 2.948866459464762 3.0271108811873555
