# NNLO Mhh cross section per bin in unit of fb at 13.6TeV
# Bin width is NOT divided
# PDF: MSHT20xNNPDF40_aN3LO_qed, MH=125 GeV
# Mhh(min) Mhh(max) scale=(muR/mu0,muF/mu0):
# Mhh(min) Mhh(max)  (1.,1.)    (2.,1.)    (0.5,1.)    (1.,2.)    (2.,2.)    (1.,0.5)    (0.5,0.5)   
250 270 0.01589192769644387 0.01494174014178389 0.01643624135296174 0.015909289819843703 0.01493193803631271 0.015934406441914146 0.01643121588973245
270 290 0.12239925276915843 0.11391633901826698 0.1285741417931306 0.12236543197065075 0.11365987346979108 0.1228617280303593 0.12870126775641524
290 310 0.2923814234415062 0.27164343463415314 0.30821622710680147 0.29203395720917513 0.27068403274545794 0.2937680743681931 0.3086456992955502
310 330 0.4692536110929746 0.43592665882855186 0.49521768623118034 0.4683322713333456 0.4338863854273941 0.47186651960036186 0.49602920539642575
330 350 0.6247926952575752 0.5807338214087641 0.6594389139671197 0.6231400424933641 0.5774048421352674 0.6287392095505271 0.6606443267334381
350 370 0.749715402017528 0.6973487910727968 0.7911104165942682 0.747254778613215 0.6926760320780951 0.7549480950795324 0.7926618277184893
370 390 0.8435114060769581 0.7852209047143883 0.889717906607664 0.8402461978734597 0.7792623393896403 0.8499036730028104 0.8915875348604207
390 410 0.9095347342716615 0.8473593546239778 0.958921382907442 0.9055197207193323 0.8402271209529034 0.9169295477830054 0.9610544627922234
410 430 0.9521904639634771 0.8877921163207011 1.0034307230350885 0.9475065711167775 0.8796391508126579 0.9604221727271506 1.0057797399825175
430 450 0.9759015025766735 0.9105828952745274 1.0279399178439463 0.9706295931184554 0.9015629750898256 0.984802965842839 1.0304609526449633
450 470 0.9846138226550002 0.9193705843225176 1.0366327068437085 0.9788438659292795 0.909635728625385 0.994026824818761 1.0392855010337172
470 490 0.9815997799291275 0.9172137636981801 1.0329638841841136 0.9754397298234645 0.9069178432577089 0.9913899866250984 1.035703132411135
490 510 0.9698322068087503 0.9068061984018397 1.0201311501490207 0.9633506816455886 0.8960824363058484 0.9798709455180682 1.0229387043206537
510 530 0.951374541317518 0.890113638004807 1.0002825815711096 0.9446576616042199 0.8790846860530436 0.9615568033151372 1.0031106776230412
530 550 0.9280585718258948 0.8688277106525322 0.9753584680750813 0.9211713662335267 0.8575960073041377 0.9383052751002426 0.9781963107043908
550 570 0.9014278329780985 0.8443642001507702 0.9470400599886961 0.8944178547492586 0.8330078650720716 0.9116775165503849 0.9498896230711215
570 590 0.8723552713063946 0.817580051947194 0.9161351397941091 0.86527653925448 0.8061823383238298 0.8825383672566893 0.9189686075444768
590 610 0.8418186708550978 0.7893775819790437 0.8837444851201821 0.8347197842577926 0.778001055731207 0.8518844921400307 0.8865408429169835
610 630 0.8105146406144413 0.7603981378711032 0.8505982564258094 0.803426433583325 0.7490951042937694 0.8204326722235014 0.8533630805565793
630 650 0.7788763465490166 0.731066706249137 0.8171137289367894 0.7718267992076965 0.7198809005966662 0.7886115307914122 0.8198371211507886
650 670 0.7473757261843554 0.7018147600658485 0.7838290419584625 0.7403930971208329 0.6907811226255065 0.7569070310180309 0.786499964242817
670 690 0.7162816005264151 0.6729037813284867 0.7509994408507411 0.7093917171589239 0.662056361202475 0.7255894599529624 0.7536170803325507
690 710 0.6857021207084567 0.6444623049663518 0.7187067565989699 0.6789257217515512 0.6338275376762211 0.6947582582955719 0.7212480335116139
710 730 0.6560412998903071 0.616817317270715 0.6874540373095605 0.6493844842383363 0.6064069460351307 0.6648607903436717 0.6899524063725659
730 750 0.6271838117289196 0.589913781904588 0.6570311321945272 0.6206661636305029 0.5797488898792389 0.6357356135390195 0.6594529381013502
750 770 0.5992695580759403 0.563874645940069 0.6276232606671578 0.5928993059920961 0.5539633773985603 0.6075608314100361 0.6299625031668571
