# NNLO Mhh cross section per bin in unit of fb at 13.6TeV
# Bin width is NOT divided
# PDF: PDF4LHC21_40, MH=125.38 GeV
# Mhh(min) Mhh(max) scale=(muR/mu0,muF/mu0):
# Mhh(min) Mhh(max)  (1.,1.)    (2.,1.)    (0.5,1.)    (1.,2.)    (2.,2.)    (1.,0.5)    (0.5,0.5)   
250 270 0.014669822545669769 0.013803521874847072 0.015149726231549684 0.014678268349170784 0.013783147633748589 0.014714974653795102 0.015143877588658459
270 290 0.12258981246083102 0.1141320355502913 0.12872651022746986 0.12249050247725324 0.11377603897828692 0.12314467962528565 0.1288714781999198
290 310 0.30024724294736915 0.27897390157051427 0.3164884170841805 0.29971423911503636 0.2777389757208586 0.3018945883148308 0.3169907457358182
310 330 0.4869026042989614 0.452368328194298 0.5137918952139936 0.4856563828241281 0.44983892691456 0.48997822193667595 0.5147451064998763
330 350 0.6520586287082165 0.6061141839125159 0.6881762526008857 0.6499348080737166 0.6020923493614373 0.6566532912554477 0.6895727362401515
350 370 0.7851956334754235 0.7303920572391918 0.8284990098439201 0.7821455020184649 0.7248493295745534 0.7912393285030361 0.8303084594963843
370 390 0.8856309213641328 0.8244507448810091 0.934149660568002 0.8816722060774912 0.8174669885088093 0.8929726788575874 0.9363169454384527
390 410 0.9566120436935829 0.891219749293133 1.0085839092757063 0.9518225851200411 0.8829472216192631 0.9650520362793557 1.011038618741825
410 430 1.0027503844605872 0.9349249761248053 1.0567546925611446 0.9972246094866752 0.9255363488337396 1.0120900776661055 1.0594368456437824
430 450 1.0286286895591559 0.959785555974319 1.0834824737526714 1.0224793266457064 0.9494736391228754 1.0386790414008855 1.0863522025534473
450 470 1.0386520155439773 0.9698188457339851 1.093560579869037 1.03197386303752 0.9587496547258628 1.0492416448081938 1.0965600998311391
470 490 1.036167079908708 0.9681772391467702 1.0904341928930905 1.0290835893747872 0.9565297527428279 1.047137907593727 1.0935287046652926
490 510 1.0242101139790971 0.9576449123466725 1.0773673716254457 1.0168092531798045 0.945564585486757 1.0354278804017945 1.0805089839078656
510 530 1.0052759014741517 0.9405113272951366 1.0570209444620349 0.9976327608972002 0.9281277091229594 1.0166300807814996 1.0602020079325045
530 550 0.9810157615558609 0.9183766496794638 1.0310713361977837 0.9732176765638894 0.905806789357096 0.9924066671455282 1.034245807908105
550 570 0.9531822000420788 0.8928162110070118 1.001454287015144 0.9452713301226071 0.8801447506637047 0.9645410107648268 1.0046125935512857
570 590 0.9227549196362177 0.8647892859846963 0.9691089822384172 0.914800234926344 0.8521049887160131 0.9340111798017834 0.9722432250098529
590 610 0.890809233209116 0.8352726650115838 0.9352478985496656 0.8828500777698953 0.8226392949911404 0.9019273479796913 0.9383443496995354
610 630 0.8578604323676764 0.8047949130639648 0.9003263111821026 0.8499469456961495 0.7922775195502187 0.8687831823227551 0.903355787484224
630 650 0.8247434519933206 0.7740658834662207 0.8653169907041814 0.8168850507230986 0.7616957226885085 0.8354530105674544 0.8683125938523794
