# NNLO Mhh cross section per bin in unit of fb at 13TeV
# Bin width is NOT divided
# PDF: MSHT20xNNPDF40_aN3LO_qed, MH=125 GeV
# Mhh(min) Mhh(max) scale=(muR/mu0,muF/mu0):
# Mhh(min) Mhh(max)  (1.,1.)    (2.,1.)    (0.5,1.)    (1.,2.)    (2.,2.)    (1.,0.5)    (0.5,0.5)   
250 270 0.014545629081463996 0.013675345836209054 0.015044470131509936 0.014557851008101164 0.013658677879497297 0.014589104009113807 0.015037863067404584
270 290 0.11184393090777592 0.10409568958203877 0.11749255458631097 0.11177212943376581 0.10379463677974161 0.11231698415190841 0.11760836927020482
290 310 0.2667488457071454 0.24782703042650622 0.2812318604467204 0.2663265021477126 0.2467850959803108 0.2681387402446348 0.281629216318339
310 330 0.4272049227939352 0.3968965788790125 0.45082914290989745 0.42619741331129324 0.39477041710196575 0.4297913975417042 0.4515843067227745
330 350 0.5678180691931791 0.5278187783229891 0.5992774680424587 0.5660884260759994 0.5244388286256773 0.5716714653730968 0.6003988013096989
350 370 0.6802539680351325 0.6327718097236464 0.7178130985119392 0.6777403322708246 0.6281045188421945 0.6853241982999104 0.7192641623933391
370 390 0.7641523134121665 0.711364958306422 0.8060388315678403 0.7608748469579459 0.7054818697404851 0.7703044796669962 0.8077832512528885
390 410 0.8226501888341587 0.7664226641286779 0.867363776672603 0.8186708490293286 0.7594510947224167 0.8297264196786994 0.8693573160431508
410 430 0.8598035970139394 0.8016716591260434 0.9061073632336044 0.8552062283786396 0.793761188018656 0.8676432741546043 0.9082940247934456
430 450 0.8797998547654075 0.8209313086630731 0.9267397107432557 0.8746662247117326 0.8122365456814554 0.8882394469673116 0.9290918364434737
450 470 0.886262977879253 0.8275574923345795 0.9331199809665051 0.8806879503225109 0.8182283588260791 0.8951582381021036 0.9355882006546499
470 490 0.8822446766062052 0.8243760098234669 0.9284550520675529 0.876322983608822 0.8145589780329149 0.8914483291238102 0.9309945467254226
490 510 0.8703212287875303 0.8137671008906379 0.9155047876871615 0.8641252897994155 0.8035892959136969 0.8797297552617784 0.9180979280712993
510 530 0.8524852955815279 0.7975916559306273 0.8963529381276484 0.8460930709349525 0.7871642162648669 0.8620008052866018 0.8989695321676935
530 550 0.8303945896968884 0.7773900106784857 0.8727813367075641 0.8238607035466518 0.7668037543648693 0.8399477088832311 0.8754026767024046
550 570 0.8052993307597743 0.7543261012840814 0.8460709505587535 0.7986762830218065 0.743663715183174 0.8148197584004568 0.8486909610988156
570 590 0.7782782880381173 0.7294002534903691 0.8173992378040211 0.7716159282745858 0.7187274987513381 0.787719732325138 0.8200055889366332
590 610 0.7499527603096722 0.703220448605813 0.7873607355278762 0.7432874865316982 0.6925989429575101 0.7592620052605396 0.7899317037093861
610 630 0.7210088729241438 0.6764200696017767 0.7567148888310097 0.7143701352617207 0.665893460143038 0.7301623995251321 0.7592535106242471
630 650 0.6919237298256956 0.6494316528005601 0.7259533967191216 0.6853389681879564 0.6390420974238901 0.7008883406167482 0.728447849818724
650 670 0.6629971343267564 0.6225624828901297 0.6953860061037505 0.6564971778510221 0.6123418526914335 0.6717535300276604 0.6978325862199423
670 690 0.634506382525384 0.5960702234032398 0.6653094190831734 0.6281071721660457 0.586045868359972 0.6430384058047275 0.6676985359497961
690 710 0.6066630419086231 0.5701474061872422 0.6359415302722232 0.6003912939100564 0.5603425388787808 0.6149557343254178 0.6382659985653978
710 730 0.5795835430573811 0.5449077630070163 0.6073868215192553 0.5734359919157599 0.5353338266700002 0.5876295034221114 0.6096577907810522
730 750 0.5533350368631523 0.5204330018839457 0.5797284643998926 0.5473244019866056 0.5110990157770077 0.5611335852486335 0.5819227348523743
750 770 0.5280281550432985 0.49680939139367397 0.5530807234719733 0.5221596046188572 0.48772570322929304 0.5355757136287351 0.5552120762405259
770 790 0.5036630328779736 0.4740554387430931 0.5274243170579686 0.4979478114882039 0.4652287072352309 0.5109531271315568 0.5294886721142291
790 810 0.48032432854040646 0.45223487631588394 0.5028829809259922 0.4747569619215823 0.4436632120726399 0.4873715208784447 0.5048907552548225
810 830 0.4579266627411094 0.43128821532041783 0.47931935116580626 0.45251845936495144 0.4229783256790664 0.4647299120853763 0.4812664416315664
830 850 0.43651420027884447 0.41125117978323794 0.45680896649747826 0.43125877014958364 0.40319903484342656 0.44307656149087193 0.45869169096140744
850 900 1.0038410317301794 0.9462272252993463 1.0501473893163478 0.9913822787836795 0.9272148183198766 1.0192288655813286 1.0545960884255139
900 950 0.8902468734238785 0.8397380859587906 0.9308839376746806 0.8787413619035557 0.8222683177300897 0.9042583391430303 0.9349885580535262
