# NNLO Mhh cross section per bin in unit of fb at 13TeV
# Bin width is NOT divided
# PDF: PDF4LHC21_40, MH=125 GeV
# Mhh(min) Mhh(max) scale=(muR/mu0,muF/mu0):
# Mhh(min) Mhh(max)  (1.,1.)    (2.,1.)    (0.5,1.)    (1.,2.)    (2.,2.)    (1.,0.5)    (0.5,0.5)   
250 270 0.015432523830346502 0.01450937561140406 0.01595725397078978 0.015437501661828106 0.01447863383495024 0.015487558916163558 0.015953503261740856
270 290 0.1186598930482256 0.11044688818208055 0.12464540374841931 0.11851395267127922 0.11002961773484132 0.1192487657576083 0.1247858279991698
290 310 0.283057430553477 0.2629873805550039 0.2984250324618894 0.28244378314753904 0.2616411677167148 0.28474861787348565 0.29891465426624997
310 330 0.4533689691637604 0.42120464054786894 0.47846627505280453 0.4520191569454361 0.4185570513589569 0.4564571533845935 0.4793727422482456
330 350 0.6025514168586701 0.560099652350521 0.6359600050909702 0.600332671451886 0.5559988510615861 0.6070857572845662 0.6372890349177516
350 370 0.7218010484114493 0.671420658244498 0.7616673592565462 0.7186869539881865 0.6658624631501856 0.7277037539744047 0.7633815203858114
370 390 0.8107557069475412 0.7547539459696756 0.8552150166785167 0.8067887716890053 0.7478421200166897 0.8178611686659113 0.8572547153340957
390 410 0.8727613523180286 0.8131157509177139 0.9202158945665816 0.8680158183772333 0.8050111092672823 0.8808742500737777 0.9225212689212903
410 430 0.9122056801837287 0.850518434056814 0.9613789428222319 0.9067874949085476 0.841395631088861 0.921142447756441 0.9638931304172532
430 450 0.9334403272563825 0.8709579187744932 0.9832992563254599 0.9274542373035092 0.8609990985384843 0.9430028588081739 0.9859872619452015
450 470 0.9402379324407492 0.8779407092654182 0.9899854549106484 0.9337871001009774 0.8673206316092008 0.9502584734331709 0.992784716392635
470 490 0.9359991167492645 0.8745762046220049 0.9850796001324 0.9291866650631304 0.8634568040238609 0.9463393362666438 0.9879533102733533
490 510 0.9233428502529167 0.8633201454560953 0.9713359566890134 0.9162661766934594 0.8518422679214656 0.9338739874111849 0.9742450481018733
510 530 0.9044836166419165 0.8462124066265366 0.951095481302446 0.8972104118310213 0.8344901247471547 0.9151062548410974 0.9540340610496647
530 550 0.881098226635621 0.8248215729928768 0.92612836397955 0.8736953647418119 0.8129639391896174 0.8917296311542466 0.9290650563094166
550 570 0.8545808348946272 0.800440406547703 0.8979229234202349 0.847104895464156 0.7885334265409751 0.8651480430968057 0.9008435637429271
570 590 0.8258995123047196 0.7739981583796035 0.8674677923929965 0.8184052007449387 0.7621161593419638 0.8363528737570455 0.8703486875003084
590 610 0.7959468860279258 0.7463154418618414 0.8357102252807028 0.788480379945271 0.7345166730443448 0.8062354070590915 0.8385534742177891
610 630 0.765363884297982 0.7179872420952035 0.8033331663802461 0.7579520043766531 0.7063226695682099 0.7754588523103813 0.8061302354300103
630 650 0.734404145739902 0.6893074992762739 0.770522448318795 0.7271023518013192 0.6778367109183131 0.7442386917311223 0.773211195179821
650 670 0.7039876129410686 0.6610157059883477 0.7384419561927007 0.6967655591190135 0.6497359709598541 0.7136015010050589 0.741115858413122
670 690 0.6739025200584332 0.6330301970415193 0.7066891485040465 0.6668041637697483 0.6219826359975872 0.6832605355647314 0.709296681665237
690 710 0.6444346989373203 0.605600602281065 0.6755886699139156 0.6374840660535459 0.5948098565330573 0.6535216838870128 0.6781300630065987
710 730 0.6157767401054847 0.5789071191651662 0.6453773314439117 0.6089834191826617 0.5683819316714378 0.6245849272052805 0.6478372847234162
730 750 0.5880454772465598 0.5530410867604653 0.6161481562374618 0.5814119062218929 0.5427969923321934 0.5965713959914326 0.6185390869784041
750 770 0.5612881073347563 0.5280708755431232 0.5879588126215556 0.5548211415101423 0.5181134763101254 0.5695301550450165 0.590280364081543
770 790 0.5355194703303924 0.5040091867595673 0.5608252469475878 0.5292325781080485 0.4943445752435752 0.5434782940827529 0.5630617194945738
790 810 0.5108595299094496 0.4809561611708831 0.5348865202974787 0.5047417027128548 0.4715789425258865 0.5185416664705903 0.5370599172898027
810 830 0.4872077326662745 0.45883762432067393 0.5100144871297803 0.48127311276488377 0.44975332311994987 0.49462249829918764 0.5121167915100656
830 850 0.4645503200466254 0.43764139219832343 0.4861818251702618 0.45879180801167124 0.42884794458855124 0.47169253727920685 0.4882130791721028
850 900 1.0690624473563795 1.0076407933067064 1.1184827089167917 1.0554306607724766 0.9868975143372444 1.0857879479352612 1.1232702584159304
900 950 0.9490141170539055 0.8951067471053952 0.9924255194907929 0.9364520717886782 0.8760814472232195 0.9642192799261693 0.9968166582840038
950 1000 0.8427295324705559 0.795374506437719 0.8808783050274248 0.8311955359807903 0.777973750656899 0.8565081539045991 0.8848820601057756
1000 1050 0.748952055158728 0.7072826350073689 0.7825432707137794 0.7383806572291163 0.6913953844034556 0.7614443016877622 0.7862112179996934
