# N3LO PTh1 cross section per bin in unit of fb at 14TeV
# Bin width is NOT divided
# PDF: PDF4LHC21_40, MH=125 GeV
# PTh1(min) PTh1(max) scale=(muR/mu0,muF/mu0):
# PTh1(min) PTh1(max)  (1.,1.)    (2.,1.)    (0.5,1.)    (1.,2.)    (2.,2.)    (1.,0.5)    (0.5,0.5)   
0. 10. -0.040603410000000006 -0.03677314 -0.04623279 -0.022259929999999997 -0.01965567 -0.08041552 -0.09107537
10. 20. -0.025322690000000002 -0.021022940000000004 -0.03043332 -0.0040170169999999995 -0.0006425898999999999 -0.06473773000000001 -0.07445305
20. 30. -0.003592546 -0.002694865 -0.0106838 0.02102599 0.0225822 -0.05467202 -0.06771781
30. 40. 0.06649659 0.07044494999999999 0.06301587 0.08174727999999999 0.08428677000000001 0.028899860000000003 0.01559988
40. 50. 0.07152565 0.07720727999999999 0.06038349 0.10863619999999999 0.1099814 -0.002506436 -0.020505850000000003
50. 60. 0.1811438 0.1821483 0.1710929 0.198474 0.20105250000000002 0.13813789999999998 0.11989720000000001
60. 70. 0.2414135 0.24622519999999998 0.21660669999999999 0.26301250000000004 0.266958 0.1745056 0.1518525
70. 80. 0.3038188 0.31435280000000004 0.2938968 0.3378325 0.3403807 0.2999919 0.29669290000000004
80. 90. 0.3804214 0.39022830000000003 0.371271 0.4133211 0.413057 0.3026599 0.2860511
90. 100. 0.5002759 0.5101519 0.4892456 0.5107416 0.5218579 0.4523944 0.43082200000000004
100. 110. 0.5849257 0.5901373 0.571511 0.5999021999999999 0.6030985 0.5374965 0.5422929
110. 120. 0.6191255999999999 0.6257522 0.603004 0.6443029 0.6498868 0.5431208 0.5195603
120. 130. 0.7310778 0.7417596999999999 0.7219833 0.7363625 0.7418241999999999 0.7041647 0.6807383
130. 140. 0.8030725 0.8126846 0.7979559 0.804165 0.8045884999999999 0.7849054 0.7596266
140. 150. 0.843038 0.8518188 0.8308796 0.8469749999999999 0.8493327 0.8169948 0.8150246
150. 160. 0.9522458 0.9537713999999999 0.9511681 0.9251718 0.9218005 0.9704219999999999 0.9606178
160. 170. 0.9063343 0.9224528 0.8990532 0.9106027 0.9130275 0.8806286000000001 0.8666756
170. 180. 0.961886 0.9727972 0.960457 0.9445956 0.9507973999999999 0.9591105 0.9338148000000001
180. 190. 0.9680233 0.9740055999999999 0.9604747 0.9486192 0.9594637 0.9548494000000001 0.9966801999999999
190. 200. 0.9982981000000001 1.000771 0.9977186 0.9709046 0.9691116 1.02085 1.020533
200. 210. 1.0013429999999999 0.9973761999999999 0.9898145999999999 0.9716252000000001 0.9667372000000001 1.017401 0.9971757000000001
210. 220. 0.9555298 0.9559721999999999 0.9493828999999999 0.9396918999999999 0.9388807 0.9545201000000001 0.941471
220. 230. 0.9612801999999999 0.9723446 0.9537274 0.9351971000000001 0.9392147000000001 0.9696720999999999 0.9596566
230. 240. 0.9811755 0.9790154 0.9825411000000001 0.9423197 0.9408437000000001 1.018273 1.01312
240. 250. 0.9549891 0.9554253 0.9534481 0.9144760000000001 0.9127816 0.9903685 0.9858939
250. 260. 0.8788216 0.8724772000000001 0.8646904 0.8600692 0.8546235000000001 0.8638793 0.8455928
260. 270. 0.9164048 0.9197392 0.9228749999999999 0.8771664 0.8728503 0.9577815000000001 0.9560035
270. 280. 0.8709115000000001 0.8745691999999999 0.8727487 0.8383102 0.8392265999999999 0.915079 0.9193829
280. 290. 0.8301835000000001 0.8308169 0.8219176 0.8008899 0.8004628 0.8369785000000001 0.8338015999999999
290. 300. 0.794341 0.7968219 0.7965445 0.7743886 0.7703301 0.8143501 0.8058434999999999
300. 310. 0.762819 0.7597463999999999 0.7852077000000001 0.7440312 0.7491192000000001 0.7809509000000001 0.7722104000000001
310. 320. 0.7626428000000001 0.7582626000000001 0.7650488 0.7316415 0.7279339 0.7915216999999999 0.7926709
320. 330. 0.7343166 0.7345373 0.7389679 0.7037678 0.6998652 0.7572787999999999 0.7610068000000001
330. 340. 0.6874539000000001 0.6898155 0.6898875 0.6672192 0.6648968 0.7088412 0.7080044000000001
340. 350. 0.6731503 0.6699153 0.67114 0.6455379 0.6415779 0.7106899999999999 0.7089072000000001
350. 360. 0.6598381 0.6577040000000001 0.6645266 0.6304719999999999 0.6243792 0.6950714 0.6957157999999999
360. 370. 0.5970529 0.6001122 0.6041215 0.5807306999999999 0.5809834 0.6138005 0.6138496
370. 380. 0.5845145 0.5823471 0.5853725 0.5646188 0.5595547 0.5935128 0.5921729
380. 390. 0.5858469000000001 0.5790417 0.5902431 0.5583146 0.5508097 0.6157440000000001 0.6215215000000001
390. 400. 0.5340157 0.5360397 0.5383605 0.5194497 0.5134666 0.5496453 0.5465942
400. 410. 0.5083807 0.5102566 0.509713 0.4935059 0.4922429 0.5240768 0.5246474
410. 420. 0.5045322 0.5080316 0.5110822 0.4836802 0.483829 0.5340582 0.5331815
420. 430. 0.46110989999999996 0.4581832 0.45907929999999997 0.4455382 0.4430053 0.4671686 0.4632419
430. 440. 0.4742088 0.4729381 0.4786862 0.4488362 0.4459653 0.5009247 0.5083295
440. 450. 0.42038640000000005 0.42444509999999996 0.4226489 0.4133694 0.4091231 0.43742410000000004 0.4339551
450. 460. 0.4212614 0.4177942 0.42599659999999995 0.4034446 0.3982833 0.44469549999999997 0.451219
460. 470. 0.3958697 0.3913322 0.39549290000000004 0.3793915 0.3751129 0.4044175 0.4093712
470. 480. 0.38918389999999997 0.382671 0.3916944 0.3734569 0.36593149999999997 0.40149949999999995 0.4123039
480. 490. 0.3644538 0.36302809999999996 0.36835569999999995 0.3501056 0.348493 0.3710148 0.37299560000000004
490. 500. 0.3463366 0.3478926 0.348696 0.33393480000000003 0.33188 0.3560019 0.3595864
500. 510. 0.3307113 0.32949449999999997 0.3307405 0.319481 0.3168344 0.3386912 0.33605280000000004
510. 520. 0.3176092 0.31577689999999997 0.318772 0.3030893 0.29987030000000003 0.3305633 0.32489480000000004
520. 530. 0.30441229999999997 0.3038784 0.3040218 0.2930929 0.2907048 0.3101572 0.3092314
530. 540. 0.2931146 0.2902134 0.29549410000000004 0.2827476 0.280055 0.3010913 0.3027521
540. 550. 0.27801960000000003 0.2756709 0.2767562 0.2672235 0.2641731 0.28708049999999996 0.2871375
550. 560. 0.27086099999999996 0.2653881 0.27197889999999997 0.2594423 0.2560789 0.27681870000000003 0.2790413
560. 570. 0.2531365 0.2473968 0.2502502 0.24139750000000001 0.2391499 0.2594697 0.2548634
570. 580. 0.2536878 0.2518678 0.2594922 0.24303760000000002 0.24026530000000001 0.2571786 0.2718071
