# NNLO PTh2 cross section per bin in unit of fb at 14TeV
# Bin width is NOT divided
# PDF: PDF4LHC21_40, MH=125 GeV
# PTh2(min) PTh2(max) scale=(muR/mu0,muF/mu0):
# PTh2(min) PTh2(max)  (1.,1.)    (2.,1.)    (0.5,1.)    (1.,2.)    (2.,2.)    (1.,0.5)    (0.5,0.5)   
0. 10. 0.05676621 0.05833489 0.054241109999999995 0.05913268 0.05975161 0.0454114 0.04061464
10. 20. 0.1853678 0.1862065 0.18489519999999998 0.1773041 0.1760805 0.18368099999999998 0.1785086
20. 30. 0.29622699999999996 0.2958259 0.2973457 0.2769285 0.27345359999999996 0.30269480000000004 0.29810349999999997
30. 40. 0.4070082 0.4070324 0.41007530000000003 0.37781299999999995 0.3737461 0.4237498 0.4229216
40. 50. 0.4955239 0.49513630000000003 0.5001584 0.4652908 0.4558425 0.5200910999999999 0.5169821
50. 60. 0.6007925000000001 0.5965489 0.6059507 0.556061 0.5538874 0.6305997000000001 0.6249682
60. 70. 0.7015952000000001 0.7013102999999999 0.7101124000000001 0.656109 0.6465777 0.7370115 0.7336148
70. 80. 0.8053855 0.8026038000000001 0.8048303 0.7484219000000001 0.7405267 0.8417224 0.8398976
80. 90. 0.878563 0.8704262 0.8842802 0.8171932 0.8112152 0.9154326 0.9123384
90. 100. 0.9591803999999999 0.9592389 0.9640416 0.8936481000000001 0.8854887 1.018445 1.00534
100. 110. 1.01492 1.002137 1.0238129999999999 0.9461938999999999 0.9290115999999999 1.0527309999999999 1.052028
110. 120. 1.060242 1.053482 1.072965 0.9919901 0.9808274 1.109433 1.116163
120. 130. 1.0846989999999999 1.0783289999999999 1.097213 1.0147249999999999 1.0023790000000001 1.1257730000000001 1.1213520000000001
130. 140. 1.108177 1.104114 1.1212039999999999 1.039175 1.024387 1.163793 1.166794
140. 150. 1.117782 1.111934 1.128526 1.044962 1.032302 1.17351 1.1780490000000001
150. 160. 1.107805 1.101324 1.117858 1.034238 1.020478 1.1602709999999998 1.162368
160. 170. 1.087039 1.080014 1.096943 1.017217 1.006565 1.141222 1.1394600000000001
170. 180. 1.071387 1.060977 1.085076 1.00786 0.9892988 1.121909 1.126346
180. 190. 1.0363740000000001 1.035134 1.046452 0.9776731 0.9632969 1.0957409999999999 1.088627
190. 200. 1.011083 1.002122 1.022448 0.9510244 0.9376429 1.064834 1.065128
200. 210. 0.9897902999999999 0.9807291 1.00083 0.9266966 0.9100560000000001 1.032864 1.041741
210. 220. 0.9332593 0.9240866000000001 0.948122 0.8768869 0.8665897 0.9747488999999999 0.9775315
220. 230. 0.9029969999999999 0.8956174 0.9087038000000001 0.849049 0.8366123000000001 0.9460489 0.9518127999999999
230. 240. 0.8716872 0.8633403000000001 0.8825481000000001 0.8182193 0.8080493 0.9155484 0.9188523
240. 250. 0.8257905 0.8171643000000001 0.8343185 0.7769242 0.7645069 0.8640757 0.8633362
250. 260. 0.7962692 0.7879904999999999 0.8112885000000001 0.7510822 0.7356206 0.8373279 0.8481118999999999
260. 270. 0.7621967000000001 0.7477692 0.7618735999999999 0.7134640000000001 0.7035159000000001 0.7978227 0.7977299
270. 280. 0.7221982 0.7119696 0.7298938 0.6800778000000001 0.6672043 0.75697 0.757431
280. 290. 0.6888635 0.6823035 0.6937143 0.6431286999999999 0.6372381 0.7274743 0.7268046
290. 300. 0.6495740999999999 0.6475037 0.6585238 0.6143678 0.6033921 0.6807335000000001 0.6826589
300. 310. 0.6247674999999999 0.6166175 0.6365281 0.5890161 0.5789786 0.6531064 0.6723369
310. 320. 0.5884279 0.5790569 0.5954944 0.5532619 0.543215 0.6158409 0.6154828
320. 330. 0.5657993 0.5640052 0.5824760999999999 0.5388269 0.5276584 0.6002332 0.5954327
330. 340. 0.5288698000000001 0.5198018 0.5393528999999999 0.5009454 0.4898011 0.556356 0.5590939
340. 350. 0.5081019 0.4997064 0.5236732000000001 0.4818131 0.4687562 0.5325496 0.5432782
350. 360. 0.4809554 0.4792495 0.4884854 0.4540132 0.4480186 0.5069201 0.5093291
360. 370. 0.45923270000000005 0.454783 0.4669098 0.43377449999999995 0.4265496 0.4820706 0.4855145
370. 380. 0.42672839999999995 0.4222302 0.4337065 0.4048503 0.3973044 0.4455728 0.4490426
380. 390. 0.41020300000000004 0.4043016 0.417592 0.3883974 0.3799354 0.429531 0.4337202
390. 400. 0.4008547 0.387188 0.39779420000000004 0.37236539999999996 0.3692575 0.4244187 0.4152977
400. 410. 0.37027350000000003 0.363085 0.37623490000000004 0.3489892 0.34209480000000003 0.3853967 0.39103920000000003
410. 420. 0.3513599 0.3468419 0.3574923 0.33260369999999995 0.3258802 0.36893170000000003 0.37323229999999996
420. 430. 0.3313266 0.3269336 0.3366984 0.31532659999999996 0.30782170000000003 0.34583379999999997 0.3478924
430. 440. 0.3178527 0.31356439999999997 0.3215536 0.301232 0.2949683 0.3324908 0.3329556
440. 450. 0.3021803 0.2970066 0.306724 0.2865955 0.2793968 0.3162413 0.3202984
450. 460. 0.2893646 0.2839036 0.29461339999999997 0.2737163 0.2663717 0.301556 0.3073305
460. 470. 0.2709026 0.2671511 0.27443249999999997 0.2562743 0.2515163 0.2818583 0.2833411
470. 480. 0.2611214 0.2593814 0.2654692 0.24775370000000002 0.2432322 0.2765262 0.2776739
480. 490. 0.2418421 0.2410426 0.24560559999999998 0.23011 0.227306 0.2520623 0.2547915
490. 500. 0.2363242 0.2324519 0.24075989999999997 0.2237128 0.2185205 0.2473657 0.2497197
500. 510. 0.2261664 0.2207226 0.22505529999999999 0.21342280000000002 0.20733870000000001 0.2384532 0.2363885
510. 520. 0.2100278 0.2071797 0.2129452 0.1998754 0.1956134 0.2184278 0.2199882
520. 530. 0.20078120000000002 0.1975201 0.2044492 0.19042050000000002 0.1861127 0.21009570000000002 0.2122637
530. 540. 0.19166679999999997 0.18892679999999998 0.19612149999999998 0.1828033 0.1784961 0.2013954 0.20324370000000003
540. 550. 0.18446279999999998 0.1810797 0.1867502 0.17433110000000002 0.1705539 0.1921366 0.1945848
550. 560. 0.1757981 0.17328320000000003 0.17913769999999998 0.1663659 0.16254020000000002 0.1841231 0.1860137
560. 570. 0.1630861 0.1602092 0.1656275 0.1555645 0.15221089999999998 0.1693119 0.1702801
