#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
         250         270        0.0015195207    1.50768e-06     0.0012453704    1.23531e-06     0.0018725716    1.85761e-06       -18.04%     23.23%
         270         290        0.0070258621    5.10043e-06     0.0057366427    4.16408e-06     0.0086916043    6.31126e-06       -18.35%     23.71%
         290         310         0.015250266    8.17670e-06      0.012405341    6.65214e-06      0.018952044    1.01612e-05       -18.65%     24.27%
         310         330         0.025768292    9.66804e-06      0.020887202    7.83899e-06      0.032159715    1.20633e-05       -18.94%     24.80%
         330         350         0.041953772    9.83313e-06      0.033893831    7.94573e-06      0.052568179    1.23193e-05       -19.21%     25.30%
         350         370         0.070306739    1.76264e-05      0.056630041    1.41981e-05      0.088408798    2.21663e-05       -19.45%     25.75%
         370         390         0.084917708    2.05755e-05      0.068209158    1.65314e-05       0.10713394    2.59534e-05       -19.68%     26.16%
         390         410         0.086447972    1.98018e-05      0.069256591    1.58682e-05       0.10940335    2.50550e-05       -19.89%     26.55%
         410         430         0.081282004    1.84093e-05      0.064957827    1.47161e-05       0.10316516    2.33606e-05       -20.08%     26.92%
         430         450         0.073044150    1.69763e-05      0.058239749    1.35396e-05      0.092962767    2.16004e-05       -20.27%     27.27%
         450         470         0.063948299    1.55813e-05      0.050875337    1.23998e-05      0.081596911    1.98767e-05       -20.44%     27.60%
         470         490         0.054970889    1.40504e-05      0.043641897    1.11583e-05      0.070312512    1.79671e-05       -20.61%     27.91%
         490         510         0.046831041    1.27030e-05      0.037105797    1.00684e-05      0.060038870    1.62811e-05       -20.77%     28.20%
         510         530         0.039611340    1.16634e-05      0.031326268    9.22705e-06      0.050893707    1.49813e-05       -20.92%     28.48%
         530         550         0.033378675    1.06114e-05      0.026349855    8.37972e-06      0.042974722    1.36582e-05       -21.06%     28.75%
         550         570         0.028074996    9.44932e-06      0.022125097    7.44937e-06      0.036217583    1.21862e-05       -21.19%     29.00%
         570         590         0.023579156    8.54696e-06      0.018551682    6.72702e-06      0.030475022    1.10432e-05       -21.32%     29.25%
         590         610         0.019801085    7.69860e-06      0.015554944    6.04999e-06      0.025637774    9.96465e-06       -21.44%     29.48%
         610         630         0.016678323    6.95862e-06      0.013082258    5.46035e-06      0.021631780    9.02233e-06       -21.56%     29.70%
         630         650         0.014054538    6.27085e-06      0.011008419    4.91364e-06      0.018259008    8.14404e-06       -21.67%     29.92%
         650         670         0.011850283    5.66951e-06     0.0092690270    4.43632e-06      0.015420035    7.37485e-06       -21.78%     30.12%
         670         690         0.010029891    5.11787e-06     0.0078347067    3.99933e-06      0.013071247    6.66745e-06       -21.89%     30.32%
         690         710        0.0084933349    4.67036e-06     0.0066258687    3.64496e-06      0.011085093    6.09333e-06       -21.99%     30.52%
         710         730        0.0072277740    4.21029e-06     0.0056313800    3.28176e-06     0.0094469691    5.50095e-06       -22.09%     30.70%
         730         750        0.0061640023    3.72299e-06     0.0047967635    2.89843e-06     0.0080675444    4.87089e-06       -22.18%     30.88%
         750         770        0.0052635115    3.43285e-06     0.0040911525    2.66941e-06     0.0068981669    4.49724e-06       -22.27%     31.06%
         770         790        0.0045015790    3.09656e-06     0.0034949164    2.40517e-06     0.0059072044    4.06187e-06       -22.36%     31.23%
         790         810        0.0038631115    2.82244e-06     0.0029958912    2.18982e-06     0.0050756888    3.70689e-06       -22.45%     31.39%
         810         830        0.0033278509    2.54437e-06     0.0025780414    1.97200e-06     0.0043776292    3.34565e-06       -22.53%     31.55%
         830         850        0.0028719678    2.32482e-06     0.0022225246    1.79996e-06     0.0037824011    3.06053e-06       -22.61%     31.70%
         850         900        0.0022458287    1.25489e-06     0.0017350635    9.69978e-07     0.0029633169    1.65504e-06       -22.74%     31.95%
         900         950        0.0015883852    1.00366e-06     0.0012242524    7.73971e-07     0.0021014068    1.32721e-06       -22.92%     32.30%
         950        1000        0.0011402241    8.14009e-07    0.00087687172    6.26337e-07     0.0015123320    1.07914e-06       -23.10%     32.63%
        1000        1050       0.00082939047    6.69585e-07    0.00063647748    5.14125e-07     0.0011026952    8.89791e-07       -23.26%     32.95%
        1050        1100       0.00060933566    5.48427e-07    0.00046665994    4.20254e-07    0.00081195909    7.30420e-07       -23.41%     33.25%
        1100        1150       0.00045386000    4.59240e-07    0.00034692586    3.51244e-07    0.00060605150    6.12914e-07       -23.56%     33.53%
        1150        1200       0.00034190530    3.83860e-07    0.00026085594    2.93046e-07    0.00045749545    5.13350e-07       -23.71%     33.81%
        1200        1250       0.00025878598    3.24708e-07    0.00019709150    2.47453e-07    0.00034693936    4.35075e-07       -23.84%     34.06%
        1250        1300       0.00019914498    2.76349e-07    0.00015141108    2.10244e-07    0.00026747251    3.70953e-07       -23.97%     34.31%
        1300        1350       0.00015426009    2.36923e-07    0.00011709130    1.79958e-07    0.00020756094    3.18595e-07       -24.09%     34.55%
        1350        1400       0.00012029910    2.03679e-07    9.1171774e-05    1.54468e-07    0.00016214068    2.74355e-07       -24.21%     34.78%
        1400        1450       9.3926718e-05    1.77425e-07    7.1074897e-05    1.34351e-07    0.00012681297    2.39399e-07       -24.33%     35.01%
        1450        1500       7.4322734e-05    1.55832e-07    5.6159937e-05    1.17834e-07    0.00010050601    2.10597e-07       -24.44%     35.23%
        1500       13600       1.3130013e-06    1.23588e-09    9.8454559e-07    9.28268e-10    1.7905273e-06    1.68264e-09       -25.02%     36.37%
