#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
         250         270        0.0033641043    1.43577e-05     0.0028516742    1.07283e-05     0.0040267933    1.80682e-05       -15.23%     19.70%
         270         290         0.013153800    2.75123e-05      0.011403014    2.05317e-05      0.015277037    3.86986e-05       -13.31%     16.14%
         290         310         0.028358786    5.67848e-05      0.024574711    3.74547e-05      0.032909813    8.05744e-05       -13.34%     16.05%
         310         330         0.047875463    5.54998e-05      0.041426852    4.12554e-05      0.055578719    7.80024e-05       -13.47%     16.09%
         330         350         0.078055795    0.000132139      0.067450702    9.49744e-05      0.090661737    0.000189276       -13.59%     16.15%
         350         370          0.12979047    0.000117322       0.11213198    8.64495e-05       0.15063111    0.000165843       -13.61%     16.06%
         370         390          0.15048287    0.000101416       0.13069866    7.57967e-05       0.17326840    0.000142746       -13.15%     15.14%
         390         410          0.14865347    0.000108109       0.12956583    7.89005e-05       0.17014548    0.000155519       -12.84%     14.46%
         410         430          0.13644756    0.000100979       0.11927108    7.77029e-05       0.15539670    0.000141735       -12.59%     13.89%
         430         450          0.12023903    0.000111777       0.10534009    8.10299e-05       0.13637056    0.000160729       -12.39%     13.42%
         450         470          0.10382462    9.61144e-05      0.091082847    6.96761e-05       0.11741566    0.000138618       -12.27%     13.09%
         470         490         0.088052772    8.33384e-05      0.077383716    5.99307e-05      0.099229249    0.000122261       -12.12%     12.69%
         490         510         0.074115866    8.35490e-05      0.065203518    6.46629e-05      0.083320325    0.000114559       -12.02%     12.42%
         510         530         0.061916476    8.20976e-05      0.054549879    5.89199e-05      0.069394751    0.000119335       -11.90%     12.08%
         530         550         0.051708286    5.88200e-05      0.045593020    4.25212e-05      0.057835319    8.59007e-05       -11.83%     11.85%
         550         570         0.043053119    6.87788e-05      0.038014135    4.94010e-05      0.048012673    0.000100083       -11.70%     11.52%
         570         590         0.035939190    6.38492e-05      0.031753312    4.60537e-05      0.040008036    9.21431e-05       -11.65%     11.32%
         590         610         0.029843064    4.44484e-05      0.026399439    3.20215e-05      0.033130050    6.20451e-05       -11.54%     11.01%
         610         630         0.025033689    5.51035e-05      0.022143551    3.97929e-05      0.027775117    7.51792e-05       -11.54%     10.95%
         630         650         0.020855333    4.78704e-05      0.018486970    3.42206e-05      0.023046056    6.95981e-05       -11.36%     10.50%
         650         670         0.017507740    4.21537e-05      0.015512970    3.01785e-05      0.019345514    6.13116e-05       -11.39%     10.50%
         670         690         0.014724937    3.39544e-05      0.013055236    2.43102e-05      0.016243371    4.98999e-05       -11.34%     10.31%
         690         710         0.012387063    2.57062e-05      0.010997546    1.85556e-05      0.013625997    3.81965e-05       -11.22%     10.00%
         710         730         0.010509708    2.33950e-05     0.0093335462    1.67688e-05      0.011547067    3.48895e-05       -11.19%      9.87%
         730         750        0.0088901451    2.46380e-05     0.0079019932    1.77031e-05     0.0097471683    3.63512e-05       -11.12%      9.64%
         750         770        0.0075520531    2.00630e-05     0.0067148556    1.43761e-05     0.0082702917    3.03145e-05       -11.09%      9.51%
         770         790        0.0064357862    1.56707e-05     0.0057263133    1.12364e-05     0.0070352683    2.36881e-05       -11.02%      9.31%
         790         810        0.0055099400    1.44426e-05     0.0049029388    1.03780e-05     0.0060184984    2.17843e-05       -11.02%      9.23%
         810         830        0.0047446085    1.42630e-05     0.0042190177    1.01840e-05     0.0051855044    2.14386e-05       -11.08%      9.29%
         830         850        0.0040664291    1.17425e-05     0.0036203557    8.45147e-06     0.0044323969    1.77190e-05       -10.97%      9.00%
         850         900        0.0031716783    6.90280e-06     0.0028236931    4.93160e-06     0.0034536556    1.04180e-05       -10.97%      8.89%
         900         950        0.0022263991    7.06220e-06     0.0019836067    4.37030e-06     0.0024178735    1.05010e-05       -10.91%      8.60%
         950        1000        0.0015751006    4.83758e-06     0.0014069119    3.45394e-06     0.0017010452    7.36597e-06       -10.68%      8.00%
        1000        1050        0.0011453899    3.23634e-06     0.0010215602    2.32742e-06     0.0012385341    5.09078e-06       -10.81%      8.13%
        1050        1100       0.00083303993    3.19013e-06    0.00074539669    2.27632e-06    0.00089471126    4.91515e-06       -10.52%      7.40%
        1100        1150       0.00061840819    2.07194e-06    0.00055267091    1.49483e-06    0.00066467118    3.33875e-06       -10.63%      7.48%
        1150        1200       0.00046807754    1.95738e-06    0.00041788915    1.40224e-06    0.00050340324    3.09855e-06       -10.72%      7.55%
        1200        1250       0.00035274637    1.54324e-06    0.00031496375    1.11135e-06    0.00037884031    2.49500e-06       -10.71%      7.40%
        1250        1300       0.00027227663    1.40491e-06    0.00024238446    1.01572e-06    0.00029350070    2.26940e-06       -10.98%      7.80%
        1300        1350       0.00020950578    1.09453e-06    0.00018680670    7.89048e-07    0.00022498585    1.78376e-06       -10.83%      7.39%
        1350        1400       0.00016327055    1.32066e-06    0.00014556014    9.43682e-07    0.00017520801    2.09433e-06       -10.85%      7.31%
        1400        1450       0.00012797602    1.06682e-06    0.00011427865    7.63118e-07    0.00013683149    1.70259e-06       -10.70%      6.92%
        1450        1500       0.00010037749    8.68086e-07    8.9345798e-05    6.20297e-07    0.00010778876    1.38177e-06       -10.99%      7.38%
        1500       13600       1.7719579e-06    8.84457e-09    1.5757968e-06    6.29431e-09    1.8955720e-06    1.42530e-08       -11.07%      6.98%
