#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
         250         270        0.0033590031    4.08513e-06     0.0028491236    3.15753e-06     0.0040193510    5.59048e-06       -15.18%     19.66%
         270         290         0.013197581    1.03533e-05      0.011433931    8.30745e-06      0.015340699    1.37572e-05       -13.36%     16.24%
         290         310         0.028419134    1.53966e-05      0.024618154    1.26112e-05      0.032987965    1.99689e-05       -13.37%     16.08%
         310         330         0.047881248    1.86231e-05      0.041430854    1.52730e-05      0.055588027    2.40408e-05       -13.47%     16.10%
         330         350         0.078260525    2.03469e-05      0.067591573    1.65046e-05      0.090967591    2.64791e-05       -13.63%     16.24%
         350         370          0.12991502    3.23729e-05       0.11223912    2.69408e-05       0.15078259    4.08104e-05       -13.61%     16.06%
         370         390          0.15045385    3.50929e-05       0.13065314    2.92904e-05       0.17324688    4.41881e-05       -13.16%     15.15%
         390         410          0.14858036    3.35280e-05       0.12950840    2.77602e-05       0.17004952    4.27574e-05       -12.84%     14.45%
         410         430          0.13653453    3.12565e-05       0.11932277    2.56880e-05       0.15554014    4.02856e-05       -12.61%     13.92%
         430         450          0.12046469    2.88709e-05       0.10550557    2.35964e-05       0.13668754    3.74848e-05       -12.42%     13.47%
         450         470          0.10382280    2.65829e-05      0.091089294    2.16168e-05       0.11739905    3.47312e-05       -12.26%     13.08%
         470         490         0.088064072    2.42102e-05      0.077372010    1.95813e-05      0.099284467    3.18305e-05       -12.14%     12.74%
         490         510         0.074139807    2.19335e-05      0.065218729    1.76800e-05      0.083359148    2.89539e-05       -12.03%     12.44%
         510         530         0.062033861    1.99156e-05      0.054640194    1.60401e-05      0.069552371    2.63226e-05       -11.92%     12.12%
         530         550         0.051687844    1.79781e-05      0.045580170    1.44596e-05      0.057801549    2.38085e-05       -11.82%     11.83%
         550         570         0.043068348    1.60721e-05      0.038017147    1.29014e-05      0.048050408    2.13327e-05       -11.73%     11.57%
         570         590         0.035872911    1.44538e-05      0.031695078    1.15981e-05      0.039932924    1.91979e-05       -11.65%     11.32%
         590         610         0.029901572    1.29690e-05      0.026443359    1.04026e-05      0.033213238    1.72385e-05       -11.57%     11.08%
         610         630         0.024980516    1.16499e-05      0.022109798    9.34883e-06      0.027690321    1.54808e-05       -11.49%     10.85%
         630         650         0.020908822    1.04390e-05      0.018518623    8.38294e-06      0.023135676    1.38645e-05       -11.43%     10.65%
         650         670         0.017515224    9.36103e-06      0.015526334    7.52667e-06      0.019340697    1.24185e-05       -11.36%     10.42%
         670         690         0.014703845    8.41633e-06      0.013047217    6.77482e-06      0.016199414    1.11525e-05       -11.27%     10.17%
         690         710         0.012389780    7.60596e-06      0.010999117    6.12890e-06      0.013629944    1.00690e-05       -11.22%     10.01%
         710         730         0.010482446    6.84601e-06     0.0093122986    5.52318e-06      0.011511160    9.05063e-06       -11.16%      9.81%
         730         750        0.0088862422    6.13208e-06     0.0078980686    4.94909e-06     0.0097440286    8.09979e-06       -11.12%      9.65%
         750         770        0.0075652581    5.59851e-06     0.0067260290    4.52724e-06     0.0082857315    7.37972e-06       -11.09%      9.52%
         770         790        0.0064442575    5.06162e-06     0.0057317743    4.09497e-06     0.0070486109    6.66719e-06       -11.06%      9.38%
         790         810        0.0055055598    4.61784e-06     0.0048989345    3.74150e-06     0.0060139507    6.07133e-06       -11.02%      9.23%
         810         830        0.0047261244    4.18462e-06     0.0042065275    3.39321e-06     0.0051569405    5.49575e-06       -10.99%      9.12%
         830         850        0.0040558420    3.82051e-06     0.0036116699    3.09974e-06     0.0044193016    5.01312e-06       -10.95%      8.96%
         850         900        0.0031604428    2.07948e-06     0.0028160347    1.69163e-06     0.0034367367    2.71903e-06       -10.90%      8.74%
         900         950        0.0022172848    1.68419e-06     0.0019763641    1.37345e-06     0.0024062449    2.19390e-06       -10.87%      8.52%
         950        1000        0.0015826741    1.37150e-06     0.0014114657    1.12149e-06     0.0017137843    1.77995e-06       -10.82%      8.28%
        1000        1050        0.0011441518    1.13887e-06     0.0010207509    9.33926e-07     0.0012365559    1.47231e-06       -10.79%      8.08%
        1050        1100       0.00083723521    9.47703e-07    0.00074725565    7.79463e-07    0.00090307952    1.21974e-06       -10.75%      7.86%
        1100        1150       0.00062070375    8.04440e-07    0.00055404920    6.63433e-07    0.00066855203    1.03079e-06       -10.74%      7.71%
        1150        1200       0.00046715966    6.81346e-07    0.00041686649    5.63468e-07    0.00050280575    8.69357e-07       -10.77%      7.63%
        1200        1250       0.00035230524    5.81178e-07    0.00031437566    4.82012e-07    0.00037872411    7.38389e-07       -10.77%      7.50%
        1250        1300       0.00027162056    4.97390e-07    0.00024221486    4.13239e-07    0.00029198624    6.30031e-07       -10.83%      7.50%
        1300        1350       0.00021029396    4.46883e-07    0.00018739986    3.73423e-07    0.00022608912    5.60848e-07       -10.89%      7.51%
        1350        1400       0.00016422861    3.70524e-07    0.00014624878    3.08772e-07    0.00017657923    4.66848e-07       -10.95%      7.52%
        1400        1450       0.00012809695    3.57738e-07    0.00011410215    3.01162e-07    0.00013753963    4.43261e-07       -10.93%      7.37%
        1450        1500       0.00010092447    3.16964e-07    8.9853528e-05    2.67154e-07    0.00010835137    3.92198e-07       -10.97%      7.36%
        1500       13600       1.7852612e-06    2.60293e-09    1.5861612e-06    2.20804e-09    1.9134627e-06    3.18630e-09       -11.15%      7.18%
