#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
         250         270        0.0036769594     0.00122025     0.0034422362    0.000829885     0.0038064804     0.00184856        -6.38%      3.52%
         270         290         0.015700239    0.000612286      0.014571147    0.000411624      0.016635694    0.000941984        -7.19%      5.96%
         290         310         0.032052401    0.000638796      0.030127171    0.000420847      0.033232744     0.00101318        -6.01%      3.68%
         310         330         0.054568500    0.000411879      0.050962466    0.000279358      0.057181533    0.000630626        -6.61%      4.79%
         330         350         0.087826208    0.000590089      0.081920551    0.000390816      0.092232151    0.000934182        -6.72%      5.02%
         350         370          0.14334410    0.000773343       0.13410788    0.000508768       0.14987119     0.00113519        -6.44%      4.55%
         370         390          0.16726259    0.000632881       0.15741561    0.000429595       0.17336964    0.000941156        -5.89%      3.65%
         390         410          0.16608113    0.000731931       0.15699276    0.000482514       0.17103240     0.00108018        -5.47%      2.98%
         410         430          0.15196534    0.000788579       0.14448189    0.000514319       0.15517564     0.00116577        -4.92%      2.11%
         430         450          0.13522533    0.000794913       0.12875437    0.000517987       0.13787226     0.00116140        -4.79%      1.96%
         450         470          0.11696055    0.000447210       0.11162765    0.000300534       0.11881628    0.000644767        -4.56%      1.59%
         470         490         0.099377210    0.000666646      0.095028814    0.000444708       0.10063323    0.000965050        -4.38%      1.26%
         490         510         0.084057487    0.000520627      0.080338428    0.000272654      0.085011318    0.000752317        -4.42%      1.13%
         510         530         0.070645265    0.000431604      0.067685947    0.000286994      0.071428614    0.000629679        -4.19%      1.11%
         530         550         0.058079136    0.000443706      0.055991685    0.000295346      0.058199836    0.000410820        -3.59%      0.21%
         550         570         0.048834707    0.000290237      0.047094033    0.000192873      0.048951258    0.000305422        -3.56%      0.24%
         570         590         0.040813312    0.000254576      0.039354498    0.000170008      0.040900485    0.000234182        -3.57%      0.21%
         590         610         0.033841081    0.000310957      0.032721947    0.000203379      0.033951714    0.000283683        -3.31%      0.33%
         610         630         0.028579264    0.000204264      0.027603860    0.000137743      0.028664684    0.000187640        -3.41%      0.30%
         630         650         0.023221671    0.000324130      0.022479868    0.000713277      0.023358185    0.000292061        -3.19%      0.59%
         650         670         0.019949770    0.000166629      0.019358572    0.000110578      0.020036260    0.000152065        -2.96%      0.43%
         670         690         0.016681509    0.000131398      0.016226404    8.56971e-05      0.016756324    0.000117026        -2.73%      0.45%
         690         710         0.014143384    0.000156061      0.013743163    0.000104073      0.014208381    0.000142930        -2.83%      0.46%
         710         730         0.011779901    0.000142034      0.011308397    0.000226230      0.011861806    0.000128451        -4.00%      0.70%
         730         750         0.010038180    0.000139526     0.0096916897    0.000215247      0.010101829    0.000127692        -3.45%      0.63%
         750         770        0.0085824274    8.87807e-05     0.0082757185    0.000141113     0.0086378783    8.00862e-05        -3.57%      0.65%
         770         790        0.0074602915    0.000108854     0.0072526192    0.000171208     0.0075011429    8.91515e-05        -2.78%      0.55%
         790         810        0.0063784802    7.81182e-05     0.0061936555    0.000125799     0.0064084991    7.21203e-05        -2.90%      0.47%
         810         830        0.0054925400    7.79202e-05     0.0053383827    0.000122037     0.0055181756    7.14630e-05        -2.81%      0.47%
         830         850        0.0046561832    5.35214e-05     0.0044979419    7.95410e-05     0.0046843867    5.07633e-05        -3.40%      0.61%
         850         900        0.0035931441    3.35967e-05     0.0034303775    5.32730e-05     0.0036186366    3.06129e-05        -4.53%      0.71%
         900         950        0.0025516490    2.40670e-05     0.0024519906    3.73239e-05     0.0025668204    2.22112e-05        -3.91%      0.59%
         950        1000        0.0018144107    2.27379e-05     0.0017321846    3.61755e-05     0.0018283333    2.07554e-05        -4.53%      0.77%
        1000        1050        0.0013161859    1.05299e-05     0.0012554625    1.63257e-05     0.0013259569    9.79820e-06        -4.61%      0.74%
        1050        1100       0.00096159481    1.15315e-05    0.00091661738    1.82081e-05    0.00096930059    1.06149e-05        -4.68%      0.80%
        1100        1150       0.00072006960    1.47057e-05    0.00068886207    2.33229e-05    0.00072430393    1.19368e-05        -4.33%      0.59%
        1150        1200       0.00053843113    8.46536e-06    0.00051262837    1.35218e-05    0.00054322688    7.67350e-06        -4.79%      0.89%
        1200        1250       0.00040348002    5.12275e-06    0.00038143775    7.49085e-06    0.00040706209    4.92414e-06        -5.46%      0.89%
        1250        1300       0.00031508306    5.26722e-06    0.00029904843    8.37583e-06    0.00031818290    5.04499e-06        -5.09%      0.98%
        1300        1350       0.00024120038    2.99606e-06    0.00022888974    4.36734e-06    0.00024341882    3.14318e-06        -5.10%      0.92%
        1350        1400       0.00018598362    2.45501e-06    0.00017668963    3.70607e-06    0.00018722515    2.47094e-06        -5.00%      0.67%
        1400        1450       0.00014818653    3.19850e-06    0.00013930600    4.15046e-06    0.00015008261    3.12188e-06        -5.99%      1.28%
        1450        1500       0.00011578248    2.37106e-06    0.00010857823    3.84603e-06    0.00011755525    2.23318e-06        -6.22%      1.53%
        1500       13600       2.0306554e-06    2.05903e-08    1.9165943e-06    3.07852e-08    2.0470531e-06    1.99897e-08        -5.62%      0.81%
