#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10        0.0035936144    5.31045e-06     0.0028843261    4.26335e-06     0.0045381511    6.70570e-06       -19.74%     26.28%
          10          20         0.010878472    9.22148e-06     0.0087320223    7.40363e-06      0.013736489    1.16436e-05       -19.73%     26.27%
          20          30         0.018412783    1.19686e-05      0.014781395    9.61011e-06      0.023247139    1.51105e-05       -19.72%     26.26%
          30          40         0.026339071    1.42934e-05      0.021148257    1.14791e-05      0.033247422    1.80416e-05       -19.71%     26.23%
          40          50         0.034744217    1.64316e-05      0.027901036    1.31998e-05      0.043849478    2.07339e-05       -19.70%     26.21%
          50          60         0.043796968    1.85196e-05      0.035173582    1.48816e-05      0.055269322    2.33604e-05       -19.69%     26.19%
          60          70         0.053357478    2.05434e-05      0.042849607    1.65111e-05      0.067337894    2.59071e-05       -19.69%     26.20%
          70          80         0.063348340    2.23742e-05      0.050862267    1.79793e-05      0.079966114    2.82214e-05       -19.71%     26.23%
          80          90         0.073701701    2.40281e-05      0.059153910    1.92997e-05      0.093074240    3.03233e-05       -19.74%     26.29%
          90         100         0.084375895    2.54462e-05      0.067688618    2.04245e-05       0.10661411    3.21387e-05       -19.78%     26.36%
         100         110         0.095490392    2.67166e-05      0.076560733    2.14262e-05       0.12073970    3.37763e-05       -19.82%     26.44%
         110         120          0.10727957    2.85655e-05      0.085958635    2.28979e-05       0.13574652    3.61337e-05       -19.87%     26.54%
         120         130          0.11829288    3.16873e-05      0.094710131    2.53996e-05       0.14981770    4.00834e-05       -19.94%     26.65%
         130         140          0.12182002    3.31929e-05      0.097416280    2.65849e-05       0.15450418    4.20276e-05       -20.03%     26.83%
         140         150          0.11842327    3.19334e-05      0.094561414    2.55347e-05       0.15045496    4.05102e-05       -20.15%     27.05%
         150         160          0.11086928    3.02567e-05      0.088388122    2.41528e-05       0.14112225    3.84600e-05       -20.28%     27.29%
         160         170          0.10091445    2.82679e-05      0.080319178    2.25259e-05       0.12869982    3.60055e-05       -20.41%     27.53%
         170         180         0.090002270    2.62394e-05      0.071515421    2.08737e-05       0.11500591    3.34886e-05       -20.54%     27.78%
         180         190         0.078984429    2.41240e-05      0.062656491    1.91579e-05       0.10112286    3.08505e-05       -20.67%     28.03%
         190         200         0.068567080    2.21729e-05      0.054303198    1.75792e-05      0.087953338    2.84101e-05       -20.80%     28.27%
         200         210         0.059040191    2.02369e-05      0.046682360    1.60178e-05      0.075874951    2.59790e-05       -20.93%     28.51%
         210         220         0.050485141    1.84479e-05      0.039854932    1.45786e-05      0.064998835    2.37259e-05       -21.06%     28.75%
         220         230         0.043047219    1.68744e-05      0.033931166    1.33150e-05      0.055520360    2.17399e-05       -21.18%     28.98%
         230         240         0.036557144    1.53920e-05      0.028772066    1.21274e-05      0.047231582    1.98638e-05       -21.30%     29.20%
         240         250         0.031027813    1.39097e-05      0.024384390    1.09434e-05      0.040155402    1.79814e-05       -21.41%     29.42%
         250         260         0.026254947    1.25992e-05      0.020604201    9.89829e-06      0.034033830    1.63138e-05       -21.52%     29.63%
         260         270         0.022243914    1.14449e-05      0.017432444    8.97921e-06      0.028879926    1.48421e-05       -21.63%     29.83%
         270         280         0.018852730    1.03492e-05      0.014755081    8.10874e-06      0.024514565    1.34417e-05       -21.74%     30.03%
         280         290         0.015995455    9.39208e-06      0.012502639    7.34946e-06      0.020830136    1.22166e-05       -21.84%     30.23%
         290         300         0.013589882    8.51753e-06      0.010608878    6.65672e-06      0.017723261    1.10951e-05       -21.94%     30.42%
         300         310         0.011573378    7.74803e-06     0.0090235100    6.04799e-06      0.015114793    1.01068e-05       -22.03%     30.60%
         310         320        0.0098475140    7.03483e-06     0.0076687254    5.48481e-06      0.012878272    9.18873e-06       -22.13%     30.78%
         320         330        0.0084071688    6.39973e-06     0.0065392586    4.98387e-06      0.011009467    8.37018e-06       -22.22%     30.95%
         330         340        0.0071943043    5.79794e-06     0.0055895431    4.51008e-06     0.0094331740    7.59284e-06       -22.31%     31.12%
         340         350        0.0061773744    5.23603e-06     0.0047939525    4.06821e-06     0.0081102109    6.86601e-06       -22.39%     31.29%
         350         360        0.0053155718    4.79478e-06     0.0041207528    3.72149e-06     0.0069871212    6.29477e-06       -22.48%     31.45%
         360         370        0.0045767201    4.37399e-06     0.0035441687    3.39130e-06     0.0060231692    5.74918e-06       -22.56%     31.60%
         370         380        0.0039435679    3.98658e-06     0.0030507554    3.08777e-06     0.0051958178    5.24594e-06       -22.64%     31.75%
         380         390        0.0034156767    3.64458e-06     0.0026397145    2.82005e-06     0.0045053826    4.80130e-06       -22.72%     31.90%
         390         400        0.0029660554    3.33603e-06     0.0022899841    2.57876e-06     0.0039166203    4.39968e-06       -22.79%     32.05%
         400         410        0.0025795426    3.05968e-06     0.0019896331    2.36287e-06     0.0034099625    4.03957e-06       -22.87%     32.19%
         410         420        0.0022486299    2.81354e-06     0.0017328077    2.17081e-06     0.0029755678    3.71839e-06       -22.94%     32.33%
         420         430        0.0019665636    2.58042e-06     0.0015140474    1.98909e-06     0.0026050128    3.41389e-06       -23.01%     32.47%
         430         440        0.0017232681    2.38261e-06     0.0013256025    1.83505e-06     0.0022849304    3.15521e-06       -23.08%     32.59%
         440         450        0.0015119953    2.19587e-06     0.0011620579    1.68974e-06     0.0020067944    2.91082e-06       -23.14%     32.72%
         450         460        0.0013289330    2.02732e-06     0.0010204513    1.55866e-06     0.0017656035    2.69008e-06       -23.21%     32.86%
         460         470        0.0011686250    1.87736e-06    0.00089660800    1.44217e-06     0.0015540740    2.49342e-06       -23.28%     32.98%
         470         480        0.0010318856    1.73890e-06    0.00079103687    1.33470e-06     0.0013735177    2.31168e-06       -23.34%     33.11%
         480         490       0.00091548289    1.61789e-06    0.00070126053    1.24085e-06     0.0012196263    2.15269e-06       -23.40%     33.22%
         490         500       0.00080984077    1.50406e-06    0.00061984965    1.15267e-06     0.0010798335    2.00294e-06       -23.46%     33.34%
         500         510       0.00071955945    1.39758e-06    0.00055030832    1.07020e-06    0.00096030302    1.86281e-06       -23.52%     33.46%
         510         520       0.00063936049    1.29723e-06    0.00048859706    9.92581e-07    0.00085399388    1.73055e-06       -23.58%     33.57%
         520         530       0.00056860583    1.21180e-06    0.00043420638    9.26538e-07    0.00076010211    1.61789e-06       -23.64%     33.68%
         530         540       0.00050934137    1.13506e-06    0.00038863752    8.67183e-07    0.00068147836    1.51673e-06       -23.70%     33.80%
         540         550       0.00045225114    1.05791e-06    0.00034481192    8.07630e-07    0.00060560161    1.41482e-06       -23.76%     33.91%
         550         560       0.00040517297    9.87837e-07    0.00030871382    7.53613e-07    0.00054294673    1.32208e-06       -23.81%     34.00%
         560         570       0.00036442876    9.27383e-07    0.00027746758    7.06992e-07    0.00048873784    1.24214e-06       -23.86%     34.11%
         570         580       0.00032661851    8.65946e-07    0.00024849696    6.59660e-07    0.00043838028    1.16080e-06       -23.92%     34.22%
         580         590       0.00029426574    8.16411e-07    0.00022373538    6.21527e-07    0.00039523952    1.09516e-06       -23.97%     34.31%
         590         600       0.00026463190    7.66826e-07    0.00020107010    5.83379e-07    0.00035569170    1.02940e-06       -24.02%     34.41%
         600         610       0.00023797318    7.20177e-07    0.00018068622    5.47510e-07    0.00032010858    9.67517e-07       -24.07%     34.51%
         610         620       0.00021568189    6.79949e-07    0.00016365013    5.16577e-07    0.00029033738    9.14146e-07       -24.12%     34.61%
         620         630       0.00019437514    6.38900e-07    0.00014740213    4.85113e-07    0.00026181226    8.59491e-07       -24.17%     34.69%
         630         640       0.00017631871    6.02747e-07    0.00013361486    4.57348e-07    0.00023767489    8.11469e-07       -24.22%     34.80%
         640         650       0.00015998293    5.70515e-07    0.00012115866    4.32615e-07    0.00021580546    7.68619e-07       -24.27%     34.89%
         650         660       0.00014410306    5.37803e-07    0.00010905369    4.07521e-07    0.00019453936    7.25118e-07       -24.32%     35.00%
         660         670       0.00013066781    5.08389e-07    9.8839219e-05    3.85037e-07    0.00017649264    6.85836e-07       -24.36%     35.07%
         670         680       0.00011852425    4.80371e-07    8.9592656e-05    3.63577e-07    0.00016021117    6.48515e-07       -24.41%     35.17%
         680         690       0.00010838963    4.56859e-07    8.1890718e-05    3.45601e-07    0.00014659342    6.17127e-07       -24.45%     35.25%
         690         700       9.7757301e-05    4.31610e-07    7.3806113e-05    3.26281e-07    0.00013231674    5.83464e-07       -24.50%     35.35%
         700         710       8.8600715e-05    4.11766e-07    6.6856407e-05    3.11120e-07    0.00011999592    5.56958e-07       -24.54%     35.43%
         710         720       8.0987042e-05    3.89576e-07    6.1072318e-05    2.94166e-07    0.00010976153    5.27316e-07       -24.59%     35.53%
         720         730       7.3821672e-05    3.72059e-07    5.5639802e-05    2.80809e-07    0.00010010903    5.03868e-07       -24.63%     35.61%
         730         740       6.7651377e-05    3.51547e-07    5.0957493e-05    2.65155e-07    9.1804270e-05    4.76432e-07       -24.68%     35.70%
         740         750       6.2114367e-05    3.36874e-07    4.6764746e-05    2.53964e-07    8.4333317e-05    4.56787e-07       -24.71%     35.77%
         750         760       5.6582890e-05    3.18173e-07    4.2576664e-05    2.39735e-07    7.6870624e-05    4.31696e-07       -24.75%     35.85%
         760         770       5.1975236e-05    3.04066e-07    3.9091492e-05    2.28992e-07    7.0645109e-05    4.12768e-07       -24.79%     35.92%
         770         780       4.6930846e-05    2.89446e-07    3.5277331e-05    2.17870e-07    6.3828686e-05    3.93146e-07       -24.83%     36.01%
         780         790       4.3750092e-05    2.75478e-07    3.2864640e-05    2.07212e-07    5.9545897e-05    3.74460e-07       -24.88%     36.10%
         790         800       4.0214764e-05    2.63077e-07    3.0189894e-05    1.97762e-07    5.4771105e-05    3.57841e-07       -24.93%     36.20%
         800         810       3.6888430e-05    2.55013e-07    2.7684035e-05    1.91647e-07    5.0257442e-05    3.46972e-07       -24.95%     36.24%
         810         820       3.3083676e-05    2.37258e-07    2.4811649e-05    1.78192e-07    4.5107669e-05    3.23037e-07       -25.00%     36.34%
         820         830       3.0710186e-05    2.25680e-07    2.3017975e-05    1.69392e-07    4.1898212e-05    3.07480e-07       -25.05%     36.43%
         830         840       2.8473866e-05    2.16644e-07    2.1329549e-05    1.62510e-07    3.8871139e-05    2.95361e-07       -25.09%     36.52%
         840         850       2.6259597e-05    2.11666e-07    1.9661553e-05    1.58713e-07    3.5866074e-05    2.88696e-07       -25.13%     36.58%
         850         860       2.4031118e-05    2.00370e-07    1.7983824e-05    1.50168e-07    3.2840555e-05    2.73437e-07       -25.16%     36.66%
         860         870       2.2118584e-05    1.89602e-07    1.6546969e-05    1.42037e-07    3.0237192e-05    2.58855e-07       -25.19%     36.70%
         870         880       2.0537262e-05    1.80348e-07    1.5352797e-05    1.35008e-07    2.8097168e-05    2.46407e-07       -25.24%     36.81%
         880         890       1.8727371e-05    1.71716e-07    1.3992666e-05    1.28477e-07    2.5634976e-05    2.34750e-07       -25.28%     36.89%
         890         900       1.7352869e-05    1.67363e-07    1.2957791e-05    1.25158e-07    2.3768807e-05    2.28921e-07       -25.33%     36.97%
