#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10       -0.0037537643    0.000256745    -0.0069943810    0.000360920    -0.0018064832    0.000187092        86.33%    -51.88%
          10          20        0.0018575969    0.000458437    -0.0025589172    0.000643259     0.0041550578    0.000334611      -237.75%    123.68%
          20          30         0.010746185    0.000666035     0.0064206393    0.000933712      0.012546843    0.000486531       -40.25%     16.76%
          30          40         0.022230804    0.000805533      0.018904171     0.00113059      0.023082965    0.000767270       -14.96%      3.83%
          40          50         0.034896301    0.000903085      0.032890137     0.00126671      0.035695993    0.000860788        -5.75%      2.29%
          50          60         0.049327747     0.00104925      0.046827584    0.000803586      0.050293115     0.00140816        -5.07%      1.96%
          60          70         0.063361068     0.00121964      0.059544409    0.000933860      0.065667014     0.00163730        -6.02%      3.64%
          70          80         0.078101705     0.00135086      0.072888383     0.00103446      0.081847409     0.00181319        -6.68%      4.80%
          80          90         0.097026827     0.00137390      0.089267006     0.00100219       0.10353754     0.00184304        -8.00%      6.71%
          90         100          0.11684284     0.00137978       0.10638095     0.00100772       0.12627091     0.00185055        -8.95%      8.07%
         100         110          0.13305203     0.00143514       0.12090265     0.00104796       0.14399154     0.00192476        -9.13%      8.22%
         110         120          0.15186193     0.00148921       0.13750512     0.00108749       0.16493787     0.00199687        -9.45%      8.61%
         120         130          0.17254590     0.00155986       0.15530164     0.00113917       0.18874789     0.00209137        -9.99%      9.39%
         130         140          0.18951042     0.00168521       0.16834212     0.00123142       0.21072398     0.00236167       -11.17%     11.19%
         140         150          0.19364174     0.00169915       0.17033671     0.00124068       0.21830362     0.00238318       -12.04%     12.74%
         150         160          0.19134195     0.00161257       0.16657720     0.00117531       0.21883750     0.00226648       -12.94%     14.37%
         160         170          0.18205076     0.00151746       0.15717233     0.00110448       0.21056103     0.00213611       -13.67%     15.66%
         170         180          0.16815039     0.00134670       0.14419308    0.000978329       0.19623419     0.00190001       -14.25%     16.70%
         180         190          0.15080979     0.00121073       0.12872721    0.000878324       0.17704435     0.00171094       -14.64%     17.40%
         190         200          0.13680845     0.00109993       0.11589314    0.000797169       0.16219249     0.00155611       -15.29%     18.55%
         200         210          0.12073480    0.000964247       0.10179434    0.000697943       0.14399770     0.00136618       -15.69%     19.27%
         210         220          0.10549766    0.000829657      0.088587467    0.000599534       0.12645759     0.00117768       -16.03%     19.87%
         220         230         0.090874203    0.000720773      0.076127753    0.000520032       0.10922792     0.00102495       -16.23%     20.20%
         230         240         0.080119345    0.000637717      0.066704021    0.000459535      0.097056904    0.000908165       -16.74%     21.14%
         240         250         0.066763643    0.000547334      0.055668165    0.000394039      0.080691481    0.000780297       -16.62%     20.86%
         250         260         0.058465609    0.000471903      0.048494901    0.000339243      0.071121987    0.000673882       -17.05%     21.65%
         260         270         0.050222559    0.000400603      0.041538246    0.000287478      0.061306414    0.000573243       -17.29%     22.07%
         270         280         0.042177425    0.000356780      0.034890178    0.000255927      0.051463141    0.000510757       -17.28%     22.02%
         280         290         0.036735286    0.000314380      0.030264269    0.000225379      0.045045639    0.000450358       -17.62%     22.62%
         290         300         0.031299742    0.000290634      0.025758548    0.000208030      0.038422699    0.000417057       -17.70%     22.76%
         300         310         0.026877526    0.000272322      0.022082726    0.000194874      0.033053014    0.000390880       -17.84%     22.98%
         310         320         0.023246216    0.000220618      0.019043152    0.000157727      0.028692057    0.000317038       -18.08%     23.43%
         320         330         0.019465800    0.000180855      0.015975178    0.000129062      0.023962750    0.000260453       -17.93%     23.10%
         330         340         0.017050394    0.000159495      0.013943051    0.000113762      0.021081302    0.000229818       -18.22%     23.64%
         340         350         0.014516307    0.000142640      0.011876824    0.000101530      0.017930228    0.000206056       -18.18%     23.52%
         350         360         0.012639214    0.000127461      0.010318926    9.06188e-05      0.015651227    0.000184386       -18.36%     23.83%
         360         370         0.010921672    0.000111111     0.0089063849    7.90495e-05      0.013541893    0.000160562       -18.45%     23.99%
         370         380        0.0094790863    9.78857e-05     0.0077188659    6.95744e-05      0.011772206    0.000141600       -18.57%     24.19%
         380         390        0.0081962560    8.58105e-05     0.0066722882    6.09588e-05      0.010180468    0.000124209       -18.59%     24.21%
         390         400        0.0070728821    7.63767e-05     0.0057603148    5.42433e-05     0.0087776148    0.000110577       -18.56%     24.10%
         400         410        0.0059820393    7.10071e-05     0.0048870360    5.03920e-05     0.0073916903    0.000102886       -18.30%     23.56%
         410         420        0.0053996633    6.37044e-05     0.0043893447    4.51823e-05     0.0067140624    9.23705e-05       -18.71%     24.34%
         420         430        0.0046744920    5.60811e-05     0.0038035870    3.97349e-05     0.0058034765    8.14167e-05       -18.63%     24.15%
         430         440        0.0041702412    5.11598e-05     0.0033824485    3.62268e-05     0.0051982048    7.43220e-05       -18.89%     24.65%
         440         450        0.0035660239    4.68600e-05     0.0029020506    3.31786e-05     0.0044243870    6.80816e-05       -18.62%     24.07%
         450         460        0.0031922018    4.20354e-05     0.0025906981    2.97377e-05     0.0039737838    6.11353e-05       -18.84%     24.48%
         460         470        0.0027867921    3.75519e-05     0.0022618362    2.65490e-05     0.0034683729    5.46575e-05       -18.84%     24.46%
         470         480        0.0024420111    3.89380e-05     0.0019832267    2.75578e-05     0.0030362041    5.65980e-05       -18.79%     24.33%
         480         490        0.0022309701    3.57017e-05     0.0018045849    2.52609e-05     0.0027875519    5.19085e-05       -19.11%     24.95%
         490         500        0.0018916076    2.80317e-05     0.0015380703    1.97911e-05     0.0023470038    4.08676e-05       -18.69%     24.07%
         500         510        0.0016961456    2.65583e-05     0.0013778213    1.87368e-05     0.0021066268    3.87512e-05       -18.77%     24.20%
         510         520        0.0015309628    2.40456e-05     0.0012394521    1.69449e-05     0.0019096454    3.51300e-05       -19.04%     24.73%
         520         530        0.0013733380    2.19137e-05     0.0011102920    1.54445e-05     0.0017159041    3.20111e-05       -19.15%     24.94%
         530         540        0.0011520000    2.05349e-05    0.00093969648    1.44643e-05     0.0014219309    3.00143e-05       -18.43%     23.43%
         540         550        0.0010698695    1.91589e-05    0.00086714298    1.34791e-05     0.0013316009    2.80405e-05       -18.95%     24.46%
         550         560       0.00098980772    1.78511e-05    0.00079810447    1.25708e-05     0.0012401825    2.60963e-05       -19.37%     25.30%
         560         570       0.00082175593    1.70690e-05    0.00067014828    1.20163e-05     0.0010139451    2.49589e-05       -18.45%     23.39%
         570         580       0.00078773815    1.52968e-05    0.00063669690    1.07540e-05    0.00098339739    2.24054e-05       -19.17%     24.84%
         580         590       0.00071043734    1.34447e-05    0.00057323820    9.45266e-06    0.00088877165    1.96962e-05       -19.31%     25.10%
         590         600       0.00060839614    1.24511e-05    0.00049433304    8.75616e-06    0.00075393745    1.82351e-05       -18.75%     23.92%
         600         610       0.00055140655    1.27545e-05    0.00044751391    8.78276e-06    0.00068400257    1.92256e-05       -18.84%     24.05%
         610         620       0.00050958668    1.21524e-05    0.00041131989    8.34819e-06    0.00063715988    1.83728e-05       -19.28%     25.03%
         620         630       0.00048073816    9.59596e-06    0.00038650359    6.73823e-06    0.00060368831    1.40779e-05       -19.60%     25.58%
         630         640       0.00039489076    8.95279e-06    0.00032164687    6.28578e-06    0.00048735962    1.31379e-05       -18.55%     23.42%
         640         650       0.00039420519    8.53654e-06    0.00031690766    5.99300e-06    0.00049490170    1.25279e-05       -19.61%     25.54%
         650         660       0.00032757433    7.75143e-06    0.00026638219    5.43816e-06    0.00040498576    1.13867e-05       -18.68%     23.63%
         660         670       0.00030775280    8.42581e-06    0.00024890585    5.88714e-06    0.00038318901    1.24286e-05       -19.12%     24.51%
         670         680       0.00028918474    8.02516e-06    0.00023245365    5.59947e-06    0.00036296521    1.18556e-05       -19.62%     25.51%
         680         690       0.00024886996    6.36623e-06    0.00020169189    4.45559e-06    0.00030892888    9.38056e-06       -18.96%     24.13%
         690         700       0.00023231149    6.18286e-06    0.00018726201    4.33433e-06    0.00029040889    9.09351e-06       -19.39%     25.01%
         700         710       0.00020427358    5.89377e-06    0.00016527254    4.13075e-06    0.00025404717    8.66986e-06       -19.09%     24.37%
         710         720       0.00019753455    5.65035e-06    0.00015873691    3.95941e-06    0.00024787795    8.31317e-06       -19.64%     25.49%
         720         730       0.00017574963    5.20322e-06    0.00014152421    3.64770e-06    0.00021987126    7.65152e-06       -19.47%     25.10%
         730         740       0.00016345884    4.44259e-06    0.00013156578    3.11115e-06    0.00020459933    6.54429e-06       -19.51%     25.17%
         740         750       0.00014073298    4.13311e-06    0.00011388319    2.89198e-06    0.00017484645    6.09437e-06       -19.08%     24.24%
         750         760       0.00013193236    3.94701e-06    0.00010642292    2.76148e-06    0.00016462701    5.82056e-06       -19.34%     24.78%
         760         770       0.00011671439    3.85665e-06    9.4575106e-05    2.69668e-06    0.00014469479    5.69066e-06       -18.97%     23.97%
         770         780       0.00011503493    3.73574e-06    9.2293986e-05    2.61247e-06    0.00014453475    5.51151e-06       -19.77%     25.64%
         780         790       0.00010266996    3.46861e-06    8.2861338e-05    2.42694e-06    0.00012795786    5.11483e-06       -19.29%     24.63%
         790         800       9.7199440e-05    3.23073e-06    7.8183656e-05    2.25955e-06    0.00012164063    4.76707e-06       -19.56%     25.15%
         800         810       8.6040310e-05    3.19390e-06    6.9378658e-05    2.23123e-06    0.00010729812    4.71757e-06       -19.36%     24.71%
         810         820       8.2095896e-05    3.06129e-06    6.5575848e-05    2.13778e-06    0.00010369503    4.52405e-06       -20.12%     26.31%
         820         830       7.0848672e-05    2.64236e-06    5.7219908e-05    1.85047e-06    8.8138074e-05    3.89808e-06       -19.24%     24.40%
