#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10         0.014757841    0.000608298      0.011603448    0.000442405      0.019227686    0.000849429       -21.37%     30.29%
          10          20         0.034970410    0.000396036      0.028075754    0.000419750      0.044504139    0.000552613       -19.72%     27.26%
          20          30         0.051589255    0.000774421      0.041997653    0.000563601      0.064590616     0.00107798       -18.59%     25.20%
          30          40         0.067731002    0.000655409      0.055698118    0.000476992      0.083775943    0.000633241       -17.77%     23.69%
          40          50         0.084064834    0.000464861      0.069650856    0.000338133       0.10302297    0.000647755       -17.15%     22.55%
          50          60          0.10104014    0.000990643      0.084231620    0.000718004       0.12287450     0.00138349       -16.64%     21.61%
          60          70          0.11886456    0.000275406      0.099587374    0.000201082       0.14362200    0.000383826       -16.22%     20.83%
          70          80          0.13676642    0.000860446       0.11504989    0.000625318       0.16438413     0.00119812       -15.88%     20.19%
          80          90          0.15481989    0.000871112       0.13074941    0.000633998       0.18510866     0.00121085       -15.55%     19.56%
          90         100          0.17331870    0.000655518       0.14689094    0.000476565       0.20622235    0.000913316       -15.25%     18.98%
         100         110          0.19123543     0.00101649       0.16265503    0.000738703       0.22641321     0.00141420       -14.95%     18.40%
         110         120          0.20703414     0.00115895       0.17707963    0.000839777       0.24322093     0.00161910       -14.47%     17.48%
         120         130          0.21141564    0.000747753       0.18300199    0.000541291       0.24426257     0.00104543       -13.44%     15.54%
         130         140          0.20111767    0.000206426       0.17632045    0.000148701       0.22812558    0.000296651       -12.33%     13.43%
         140         150          0.18382812    0.000418608       0.16286156    0.000308579       0.20523036    0.000576446       -11.41%     11.64%
         150         160          0.16306900    0.000854876       0.14586821    0.000622369       0.17930563     0.00118952       -10.55%      9.96%
         160         170          0.14239750    0.000942055       0.12830584    0.000688040       0.15470522     0.00130480        -9.90%      8.64%
         170         180          0.12244879     0.00108545       0.11104541    0.000790398       0.13157303     0.00150515        -9.31%      7.45%
         180         190          0.10424895     0.00114217      0.095087252    0.000829744       0.11087433     0.00158737        -8.79%      6.36%
         190         200         0.087954937    0.000885046      0.080704448    0.000639498      0.092650719     0.00119197        -8.24%      5.34%
         200         210         0.074267398    0.000770989      0.068378416    0.000556512      0.077839873     0.00103667        -7.93%      4.81%
         210         220         0.062099533    0.000780200      0.057409471    0.000561892      0.064686861     0.00104599        -7.55%      4.17%
         220         230         0.052014571    0.000644896      0.048243388    0.000463966      0.053923355    0.000863598        -7.25%      3.67%
         230         240         0.043422752    0.000599690      0.040424012    0.000432120      0.044782404    0.000801636        -6.91%      3.13%
         240         250         0.036381614    0.000513722      0.033951557    0.000368725      0.037388142    0.000685363        -6.68%      2.77%
         250         260         0.030478357    0.000576309      0.028474555    0.000413709      0.031237664    0.000768002        -6.57%      2.49%
         260         270         0.025608880    0.000245248      0.023979119    0.000176229      0.026168338    0.000326467        -6.36%      2.18%
         270         280         0.021425690    0.000313053      0.020110626    0.000224832      0.021815559    0.000416052        -6.14%      1.82%
         280         290         0.018007407    0.000380392      0.016933802    0.000272287      0.018287750    0.000504802        -5.96%      1.56%
         290         300         0.015207039    0.000241069      0.014310615    0.000172383      0.015416730    0.000319556        -5.89%      1.38%
         300         310         0.012764414    0.000240606      0.012042873    0.000171700      0.012895350    0.000318181        -5.65%      1.03%
         310         320         0.010908987    0.000118853      0.010281183    8.47352e-05      0.011029684    0.000157034        -5.75%      1.11%
         320         330        0.0092386227    0.000113061     0.0087174582    8.09291e-05     0.0093186653    0.000149022        -5.64%      0.87%
         330         340        0.0078596588    0.000164288     0.0074308344    0.000116880     0.0079087479    0.000216830        -5.46%      0.62%
         340         350        0.0066733124    0.000176271     0.0063211729    0.000125171     0.0066990611    0.000188226        -5.28%      0.39%
         350         360        0.0058000337    6.30899e-05     0.0054750172    4.50235e-05     0.0058408256    8.29447e-05        -5.60%      0.70%
         360         370        0.0049504869    5.71941e-05     0.0046869240    4.08375e-05     0.0049708889    7.50457e-05        -5.32%      0.41%
         370         380        0.0042605746    9.87638e-05     0.0040343403    7.01338e-05     0.0042751228    0.000129691        -5.31%      0.34%
         380         390        0.0036849154    8.71475e-05     0.0034863158    6.16609e-05     0.0037013091    9.34327e-05        -5.39%      0.44%
         390         400        0.0032121456    6.10573e-05     0.0030352328    4.31888e-05     0.0032277693    6.53480e-05        -5.51%      0.49%
         400         410        0.0027889269    3.11267e-05     0.0026360193    2.20252e-05     0.0028039161    3.41703e-05        -5.48%      0.54%
         410         420        0.0023963245    6.02476e-05     0.0022751507    4.23800e-05     0.0024005170    6.52299e-05        -5.06%      0.17%
         420         430        0.0021094600    2.28579e-05     0.0019950372    1.62566e-05     0.0021184219    2.52335e-05        -5.42%      0.42%
         430         440        0.0018478129    4.26975e-05     0.0017484149    3.00489e-05     0.0018535655    4.62093e-05        -5.38%      0.31%
         440         450        0.0016187990    2.11658e-05     0.0015325693    1.49100e-05     0.0016234284    2.34201e-05        -5.33%      0.29%
         450         460        0.0014109447    2.73528e-05     0.0013377856    1.93489e-05     0.0014139734    2.96375e-05        -5.19%      0.21%
         460         470        0.0012224992    3.24553e-05     0.0011663859    2.27726e-05     0.0012224992    3.24553e-05        -4.59%   0.00000%
         470         480        0.0010786750    2.94651e-05     0.0010282298    2.06121e-05     0.0010788339    2.66378e-05        -4.68%      0.01%
         480         490       0.00096336106    1.16108e-05    0.00091460792    8.23508e-06    0.00096476890    1.32207e-05        -5.06%      0.15%
         490         500       0.00084877857    2.36830e-05    0.00080839814    1.65909e-05    0.00084892897    2.13594e-05        -4.76%      0.02%
         500         510       0.00076555898    8.85450e-06    0.00072562618    6.32072e-06    0.00076683636    1.02940e-05        -5.22%      0.17%
         510         520       0.00065660827    2.15953e-05    0.00061872669    3.05261e-05    0.00065811355    1.93699e-05        -5.77%      0.23%
         520         530       0.00059395224    9.66383e-06    0.00056492344    6.82595e-06    0.00059439740    1.09561e-05        -4.89%      0.07%
         530         540       0.00055013624    7.78723e-06    0.00051711134    5.58622e-06    0.00055444881    1.00729e-05        -6.00%      0.78%
         540         550       0.00046228372    1.44498e-05    0.00043282004    2.03806e-05    0.00046368702    1.30126e-05        -6.37%      0.30%
         550         560       0.00042557112    1.14223e-05    0.00040436950    8.00715e-06    0.00042557112    1.14223e-05        -4.98%   0.00000%
         560         570       0.00038169867    5.67035e-06    0.00036297876    4.03975e-06    0.00038169867    5.67035e-06        -4.90%   0.00000%
         570         580       0.00034743578    8.17993e-06    0.00032795292    5.77682e-06    0.00034902209    9.16774e-06        -5.61%      0.46%
         580         590       0.00031122681    6.78436e-06    0.00029527831    4.77779e-06    0.00031122681    6.78436e-06        -5.12%   0.00000%
         590         600       0.00027785483    8.85311e-06    0.00026389198    1.26279e-05    0.00027785483    8.85311e-06        -5.03%   0.00000%
         600         610       0.00025217111    6.82155e-06    0.00023814464    4.80184e-06    0.00025462110    6.51585e-06        -5.56%      0.97%
         610         620       0.00022073962    9.68552e-06    0.00020749204    1.37876e-05    0.00022073962    9.68552e-06        -6.00%   0.00000%
         620         630       0.00021088531    3.75575e-06    0.00019866781    2.68148e-06    0.00021264922    4.83317e-06        -5.79%      0.84%
         630         640       0.00018342341    5.26044e-06    0.00017323774    3.69442e-06    0.00018469283    5.98687e-06        -5.55%      0.69%
         640         650       0.00016934683    3.33912e-06    0.00016085093    2.39710e-06    0.00016934683    3.33912e-06        -5.02%   0.00000%
         650         660       0.00015053366    5.40840e-06    0.00014104691    7.97344e-06    0.00015084124    4.76966e-06        -6.30%      0.20%
         660         670       0.00013746212    4.48452e-06    0.00012974699    3.17158e-06    0.00013802941    5.11980e-06        -5.61%      0.41%
         670         680       0.00012450628    3.86728e-06    0.00011741071    2.73554e-06    0.00012517107    4.51787e-06        -5.70%      0.53%
         680         690       0.00011458990    3.98143e-06    0.00010841426    5.95226e-06    0.00011473793    3.50334e-06        -5.39%      0.13%
         690         700       0.00010060654    2.66851e-06    9.3337046e-05    4.23829e-06    0.00010060654    2.66851e-06        -7.23%   0.00000%
         700         710       9.2858737e-05    2.71648e-06    8.7281508e-05    1.93448e-06    9.3393274e-05    3.24817e-06        -6.01%      0.58%
         710         720       8.5131859e-05    3.14385e-06    8.0142637e-05    2.20321e-06    8.5327611e-05    3.69649e-06        -5.86%      0.23%
         720         730       8.1059606e-05    2.40618e-06    7.4996961e-05    1.71840e-06    8.2834180e-05    2.86810e-06        -7.48%      2.19%
         730         740       7.2028516e-05    2.48893e-06    6.7786567e-05    1.76201e-06    7.2446628e-05    3.18601e-06        -5.89%      0.58%
         740         750       6.1134305e-05    3.54829e-06    5.7747259e-05    5.17257e-06    6.1542766e-05    4.04877e-06        -5.54%      0.67%
         750         760       5.9794024e-05    2.43586e-06    5.4479405e-05    3.80732e-06    6.0274596e-05    2.12333e-06        -8.89%      0.80%
         760         770       5.2578551e-05    2.45265e-06    4.9614451e-05    3.78444e-06    5.2578551e-05    2.45265e-06        -5.64%   0.00000%
         770         780       4.8372868e-05    2.58508e-06    4.5630119e-05    1.82595e-06    4.8481294e-05    3.09524e-06        -5.67%      0.22%
         780         790       4.7751192e-05    2.22197e-06    4.4814383e-05    1.59912e-06    4.8008840e-05    2.85113e-06        -6.15%      0.54%
         790         800       4.1494869e-05    2.15201e-06    3.8124819e-05    3.59707e-06    4.2007708e-05    1.86077e-06        -8.12%      1.24%
         800         810       4.0776740e-05    2.05209e-06    3.7930008e-05    1.46968e-06    4.1735890e-05    2.63744e-06        -6.98%      2.35%
         810         820       3.5211877e-05    2.06582e-06    3.2211872e-05    1.55413e-06    3.6545420e-05    2.62150e-06        -8.52%      3.79%
         820         830       3.3878845e-05    1.42957e-06    3.1622139e-05    1.04051e-06    3.4549573e-05    1.84852e-06        -6.66%      1.98%
         830         840       3.1079248e-05    1.59213e-06    2.8850243e-05    1.14879e-06    3.1587003e-05    2.04319e-06        -7.17%      1.63%
         840         850       2.5782035e-05    1.90535e-06    2.3082930e-05    2.95832e-06    2.5951685e-05    1.66159e-06       -10.47%      0.66%
         850         860       2.5312308e-05    1.58378e-06    2.3855396e-05    1.13387e-06    2.5312308e-05    1.58378e-06        -5.76%   0.00000%
         860         870       2.0762444e-05    1.53493e-06    1.7532211e-05    2.55864e-06    2.1027036e-05    1.44133e-06       -15.56%      1.27%
         870         880       2.1669681e-05    1.23202e-06    2.0458129e-05    8.80311e-07    2.1739567e-05    1.58400e-06        -5.59%      0.32%
         880         890       1.8270124e-05    1.30159e-06    1.6595340e-05    2.06746e-06    1.8312402e-05    1.12433e-06        -9.17%      0.23%
         890         900       1.8053972e-05    1.06566e-06    1.6784576e-05    7.62282e-07    1.8262417e-05    1.36445e-06        -7.03%      1.15%
         900         910       1.6783867e-05    9.29624e-07    1.5634006e-05    6.72828e-07    1.7024026e-05    1.17368e-06        -6.85%      1.43%
         910         920       1.7398709e-05    8.63038e-07    1.5870146e-05    6.19689e-07    1.8056095e-05    1.11073e-06        -8.79%      3.78%
         920         930       1.4575598e-05    7.89338e-07    1.3582801e-05    1.36686e-06    1.4621675e-05    6.75978e-07        -6.81%      0.32%
         930         940       1.3007357e-05    7.44941e-07    1.2258479e-05    1.25427e-06    1.3007357e-05    7.44941e-07        -5.76%   0.00000%
         940         950       1.1215564e-05    1.04126e-06    9.9621301e-06    1.59353e-06    1.1284710e-05    9.00066e-07       -11.18%      0.62%
         950         960       1.2201529e-05    5.56915e-07    1.1016748e-05    4.09016e-07    1.2633212e-05    7.21902e-07        -9.71%      3.54%
         960         970       8.9564823e-06    9.01406e-07    6.4473250e-06    1.44075e-06    9.5754286e-06    7.75824e-07       -28.01%      6.91%
         970         980       9.6269807e-06    5.68765e-07    8.9347120e-06    9.76598e-07    9.6279571e-06    4.88680e-07        -7.19%      0.01%
         980         990       8.8774627e-06    6.83870e-07    8.2430577e-06    1.09570e-06    8.8774627e-06    6.83870e-07        -7.15%   0.00000%
         990        1000       8.3748475e-06    5.81214e-07    7.7148966e-06    4.14659e-07    8.5496109e-06    7.17310e-07        -7.88%      2.09%
