#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10         0.017046914     0.00244245      0.015875637     0.00161114      0.017453604     0.00384602        -6.87%      2.39%
          10          20         0.036690271     0.00266039      0.035022778     0.00166680      0.036957759     0.00199425        -4.54%      0.73%
          20          30         0.059937653     0.00155671      0.055605576     0.00104329      0.061836875     0.00233416        -7.23%      3.17%
          30          40         0.079286610     0.00186796      0.073281107     0.00119929      0.080347553     0.00444977        -7.57%      1.34%
          40          50         0.098120286     0.00327987      0.091173434     0.00202513       0.10152425     0.00514984        -7.08%      3.47%
          50          60          0.11457302     0.00309414       0.10707090     0.00188742       0.11795833     0.00399514        -6.55%      2.95%
          60          70          0.14265623     0.00177933       0.13119126     0.00108209       0.15043137     0.00282454        -8.04%      5.45%
          70          80          0.15732420     0.00324224       0.14662589     0.00192488       0.16319267     0.00516746        -6.80%      3.73%
          80          90          0.18080326     0.00341423       0.16807678     0.00204576       0.18848525     0.00537871        -7.04%      4.25%
          90         100          0.19705396     0.00321272       0.18476248     0.00167224       0.20380262     0.00507811        -6.24%      3.42%
         100         110          0.21869205     0.00202135       0.20442824     0.00137481       0.22688648     0.00290801        -6.52%      3.75%
         110         120          0.23297542     0.00265900       0.21867092     0.00162112       0.24070409     0.00416682        -6.14%      3.32%
         120         130          0.23454380     0.00206109       0.22143143     0.00139996       0.24146957     0.00296631        -5.59%      2.95%
         130         140          0.22182574     0.00326724       0.21121233     0.00214400       0.22642907     0.00361395        -4.78%      2.08%
         140         150          0.20530530     0.00249363       0.19554532     0.00169057       0.21020635     0.00366386        -4.75%      2.39%
         150         160          0.18028853     0.00205760       0.17322521     0.00136208       0.18430511     0.00312616        -3.92%      2.23%
         160         170          0.15505914     0.00262006       0.14994036     0.00163129       0.15624672     0.00409942        -3.30%      0.77%
         170         180          0.13752981     0.00200892       0.13254673     0.00135478       0.13940303     0.00289161        -3.62%      1.36%
         180         190          0.11606906     0.00367520       0.11229403     0.00219999       0.11734154     0.00584368        -3.25%      1.10%
         190         200         0.097294708     0.00310562      0.094752776     0.00183949      0.097582612     0.00495701        -2.61%      0.30%
         200         210         0.080514337     0.00139880      0.078998289    0.000937357      0.080724865     0.00130046        -1.88%      0.26%
