#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
         250         270        0.0038761449     0.00102901     0.0035077091    0.000696477     0.0042281795     0.00156551        -9.51%      9.08%
         270         290         0.013002035    0.000645022      0.012435744    0.000431907      0.013065809    0.000658522        -4.36%      0.49%
         290         310         0.030137699    0.000436222      0.028061369    0.000293921      0.031727792    0.000669705        -6.89%      5.28%
         310         330         0.049909535    0.000426593      0.046536246    0.000264177      0.052404301    0.000669075        -6.76%      5.00%
         330         350         0.080230101    0.000429679      0.074756047    0.000287511      0.084295834    0.000671236        -6.82%      5.07%
         350         370          0.13059617     0.00109256       0.12203336    0.000725348       0.13665242     0.00158564        -6.56%      4.64%
         370         390          0.15234658    0.000532744       0.14309965    0.000373363       0.15816448    0.000804131        -6.07%      3.82%
         390         410          0.15206077    0.000619711       0.14316601    0.000407408       0.15729009    0.000917781        -5.85%      3.44%
         410         430          0.13941861    0.000509752       0.13192868    0.000341020       0.14325307    0.000744383        -5.37%      2.75%
         430         450          0.12195955    0.000432210       0.11614202    0.000294359       0.12416963    0.000635661        -4.77%      1.81%
         450         470          0.10549155    0.000406625       0.10064679    0.000272173       0.10693142    0.000811313        -4.59%      1.36%
         470         490         0.089154121    0.000384687      0.085330063    0.000260516      0.090122158    0.000557534        -4.29%      1.09%
         490         510         0.075106657    0.000310060      0.072015364    0.000212587      0.075732041    0.000444904        -4.12%      0.83%
         510         530         0.062838614    0.000292121      0.060361438    0.000196917      0.063214904    0.000413179        -3.94%      0.60%
         530         550         0.052200305    0.000420471      0.050321067    0.000293855      0.052394007    0.000422529        -3.60%      0.37%
         550         570         0.043358120    0.000348665      0.041864828    0.000232997      0.043499115    0.000317865        -3.44%      0.33%
         570         590         0.036097515    0.000324213      0.034918026    0.000210931      0.036237586    0.000294453        -3.27%      0.39%
         590         610         0.030596156    0.000225905      0.029471062    0.000150472      0.030660850    0.000323722        -3.68%      0.21%
         610         630         0.025141778    0.000231439      0.024383482    0.000151763      0.025259789    0.000211208        -3.02%      0.47%
         630         650         0.021173650    0.000152449      0.020498849    0.000102201      0.021238791    0.000139813        -3.19%      0.31%
         650         670         0.017732656    0.000150756      0.017201901    0.000100645      0.017812426    0.000138161        -2.99%      0.45%
         670         690         0.014937120    0.000154895      0.014486637    0.000102547      0.014992382    0.000140346        -3.02%      0.37%
         690         710         0.012527392    0.000141734      0.012177533    0.000223465      0.012575771    0.000128603        -2.79%      0.39%
         710         730         0.010633270    0.000108535      0.010338017    0.000171109      0.010681692    9.88258e-05        -2.78%      0.46%
         730         750        0.0090847662    7.50688e-05     0.0088059238    5.12448e-05     0.0091223669    6.79264e-05        -3.07%      0.41%
         750         770        0.0075610210    6.54188e-05     0.0072853533    0.000106743     0.0076011519    5.93333e-05        -3.65%      0.53%
         770         790        0.0065139156    8.35854e-05     0.0062887702    0.000132327     0.0065626589    7.54589e-05        -3.46%      0.75%
         790         810        0.0055136046    7.07594e-05     0.0053080558    0.000106758     0.0055465630    6.60467e-05        -3.73%      0.60%
         810         830        0.0047117215    6.29827e-05     0.0045125849    9.91540e-05     0.0047503371    5.74645e-05        -4.23%      0.82%
         830         850        0.0041151138    5.60395e-05     0.0039593129    8.95362e-05     0.0041395955    5.12839e-05        -3.79%      0.59%
         850         900        0.0031731766    2.24926e-05     0.0030506473    3.63425e-05     0.0031922071    2.04665e-05        -3.86%      0.60%
         900         950        0.0022229770    1.74272e-05     0.0021341477    2.79747e-05     0.0022350629    1.60170e-05        -4.00%      0.54%
         950        1000        0.0015640337    1.60094e-05     0.0014830201    2.52269e-05     0.0015794574    1.43756e-05        -5.18%      0.99%
        1000        1050        0.0011327858    1.36820e-05     0.0010751826    2.23605e-05     0.0011416893    1.25864e-05        -5.09%      0.79%
        1050        1100       0.00082795795    9.21765e-06    0.00078659617    1.45413e-05    0.00083421893    8.48941e-06        -5.00%      0.76%
        1100        1150       0.00060838435    6.33028e-06    0.00057411877    1.00133e-05    0.00061347877    5.79640e-06        -5.63%      0.84%
        1150        1200       0.00046088111    4.40456e-06    0.00043709941    6.78052e-06    0.00046481021    4.14900e-06        -5.16%      0.85%
        1200        1250       0.00034758340    4.89013e-06    0.00032433171    7.87739e-06    0.00035160838    4.79148e-06        -6.69%      1.16%
        1250        1300       0.00026686441    3.57163e-06    0.00025036454    4.91404e-06    0.00027041754    3.54624e-06        -6.18%      1.33%
        1300        1350       0.00020510474    2.83052e-06    0.00019313546    4.37207e-06    0.00020752422    2.61889e-06        -5.84%      1.18%
        1350        1400       0.00016205172    2.49770e-06    0.00015520970    3.90324e-06    0.00016320669    2.45063e-06        -4.22%      0.71%
        1400        1450       0.00012391232    1.85506e-06    0.00011450766    3.99785e-06    0.00012568403    1.85594e-06        -7.59%      1.43%
        1450        1500       9.9544488e-05    2.47928e-06    9.3992895e-05    3.54741e-06    0.00010106242    2.42855e-06        -5.58%      1.52%
        1500       13000       1.7845538e-06    1.45631e-08    1.6818138e-06    2.15844e-08    1.7999711e-06    1.43304e-08        -5.76%      0.86%
