#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10        0.0014854171     0.00174995    0.00045348673     0.00112679     0.0043151466     0.00283706       -69.47%    190.50%
          10          20       0.00057460147     0.00111364    4.2155601e-05     0.00154629     0.0016297197    0.000762094       -92.66%    183.63%
          20          30        0.0075317973     0.00118324     0.0060552942     0.00184054     0.0089791860    0.000788614       -19.60%     19.22%
          30          40         0.019880782     0.00175834      0.019176750     0.00279706      0.020615655     0.00108489        -3.54%      3.70%
          40          50         0.029913378     0.00145026      0.028218635     0.00211856      0.031027279    0.000953270        -5.67%      3.72%
          50          60         0.044756653     0.00162411      0.043950143     0.00224218      0.044994959     0.00150238        -1.80%      0.53%
          60          70         0.061451003     0.00288314      0.060164237     0.00188736      0.061962227     0.00494457        -2.09%      0.83%
          70          80         0.075486867     0.00219311      0.074005589     0.00146177      0.075862686     0.00200926        -1.96%      0.50%
          80          90         0.094962949     0.00173855      0.091926110     0.00127710      0.096684601     0.00261690        -3.20%      1.81%
          90         100          0.11316437     0.00256371       0.10848323     0.00137863       0.11551542     0.00438186        -4.14%      2.08%
         100         110          0.13184559     0.00184228       0.12677741     0.00123730       0.13490340     0.00285968        -3.84%      2.32%
         110         120          0.14670776     0.00269022       0.14185006     0.00183311       0.14855952     0.00414011        -3.31%      1.26%
         120         130          0.17018280     0.00204823       0.16341483     0.00144302       0.17413892     0.00285520        -3.98%      2.32%
         130         140          0.18524488     0.00199731       0.17792436     0.00141963       0.18789199     0.00274110        -3.95%      1.43%
         140         150          0.19509859     0.00202414       0.18611046     0.00142431       0.19891186     0.00284804        -4.61%      1.95%
         150         160          0.19131486     0.00200056       0.18252533     0.00140651       0.19429018     0.00279705        -4.59%      1.56%
         160         170          0.18324413     0.00234182       0.17421266     0.00155940       0.18637122     0.00349295        -4.93%      1.71%
         170         180          0.16918178     0.00205857       0.16082535     0.00138648       0.17155585     0.00348599        -4.94%      1.40%
         180         190          0.15751053     0.00229725       0.14843669     0.00147253       0.16053658     0.00413275        -5.76%      1.92%
         190         200          0.14210654     0.00245086       0.13340645     0.00151354       0.14602226     0.00377820        -6.12%      2.76%
         200         210          0.12611828     0.00172427       0.11791804     0.00109336       0.12959387     0.00228809        -6.50%      2.76%
         210         220          0.10931725     0.00245088       0.10260564     0.00147434       0.11188661     0.00382393        -6.14%      2.35%
         220         230         0.096152679     0.00214430      0.089815638     0.00129637      0.099001920     0.00332087        -6.59%      2.96%
         230         240         0.085037379     0.00130465      0.079166998    0.000731764      0.088211075     0.00199949        -6.90%      3.73%
         240         250         0.072375042     0.00169095      0.067280669     0.00100899      0.074806879     0.00262489        -7.04%      3.36%
         250         260         0.062703554    0.000896002      0.057989339    0.000573483      0.065214352     0.00119733        -7.52%      4.00%
         260         270         0.056004852    0.000942173      0.051192822    0.000558206      0.059010323     0.00146947        -8.59%      5.37%
         270         280         0.046657064    0.000808103      0.043096772    0.000434449      0.048661499     0.00126132        -7.63%      4.30%
         280         290         0.040727926    0.000540955      0.037306426    0.000362303      0.042723574    0.000766628        -8.40%      4.90%
         290         300         0.034233277    0.000499431      0.031467702    0.000332660      0.035593201    0.000810492        -8.08%      3.97%
         300         310         0.029893347    0.000480215      0.027327138    0.000313199      0.031382219    0.000696844        -8.58%      4.98%
         310         320         0.025831898    0.000583320      0.023606870    0.000354702      0.027099143    0.000889053        -8.61%      4.91%
