#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10         0.013399422    0.000535536      0.010507507    0.000388307      0.017508558    0.000751971       -21.58%     30.67%
          10          20         0.031678530    0.000513536      0.025372002    0.000373092      0.040416160    0.000718823       -19.91%     27.58%
          20          30         0.046562410    0.000650372      0.037857904    0.000470698      0.058368093    0.000913842       -18.69%     25.35%
          30          40         0.061325283    0.000403499      0.050320974    0.000293704      0.076019101    0.000562953       -17.94%     23.96%
          40          50         0.076080720    0.000800670      0.062942437    0.000581930      0.093361097     0.00111753       -17.27%     22.71%
          50          60         0.091594084    0.000659996      0.076235330    0.000480716       0.11154257    0.000918979       -16.77%     21.78%
          60          70          0.10749497    0.000436118      0.089911549    0.000317970       0.13007914    0.000607618       -16.36%     21.01%
          70          80          0.12408740    0.000792755       0.10421407    0.000577206       0.14935284     0.00110400       -16.02%     20.36%
          80          90          0.14025107    0.000518573       0.11827215    0.000377535       0.16788574    0.000723049       -15.67%     19.70%
          90         100          0.15686792    0.000791967       0.13271639    0.000573772       0.18693315    0.000771354       -15.40%     19.17%
         100         110          0.17273080    0.000519244       0.14674106    0.000376726       0.20466197    0.000726935       -15.05%     18.49%
         110         120          0.18742791    0.000610401       0.16003458    0.000635970       0.22049806    0.000854357       -14.62%     17.64%
         120         130          0.19151955    0.000493943       0.16550065    0.000353264       0.22157122    0.000703648       -13.59%     15.69%
         130         140          0.18207798    0.000200554       0.15937205    0.000145369       0.20674798    0.000289368       -12.47%     13.55%
         140         150          0.16600098    0.000437208       0.14687254    0.000319419       0.18543357    0.000609721       -11.52%     11.71%
         150         160          0.14747391    0.000714064       0.13165072    0.000521865       0.16241244    0.000989420       -10.73%     10.13%
         160         170          0.12873115    0.000786876       0.11576953    0.000574141       0.14005060     0.00109058       -10.07%      8.79%
         170         180          0.11039430    0.000753762      0.099954729    0.000545411       0.11870642     0.00105602        -9.46%      7.53%
         180         190         0.093855297    0.000977754      0.085483762    0.000707839      0.099868673     0.00136638        -8.92%      6.41%
         190         200         0.079190422     0.00102328      0.072512732    0.000738332      0.083495285     0.00137707        -8.43%      5.44%
         200         210         0.066623488    0.000722509      0.061262273    0.000521039      0.069826640    0.000970757        -8.05%      4.81%
         210         220         0.055936945    0.000826765      0.051600295    0.000595185      0.058340768     0.00110916        -7.75%      4.30%
         220         230         0.046722787    0.000345170      0.043244644    0.000248467      0.048487444    0.000461967        -7.44%      3.78%
         230         240         0.038897435    0.000516941      0.036138667    0.000370260      0.040162264    0.000690531        -7.09%      3.25%
         240         250         0.032436347    0.000622295      0.030237082    0.000446368      0.033331295    0.000829742        -6.78%      2.76%
         250         260         0.027069762    0.000379193      0.025307892    0.000271680      0.027708517    0.000504948        -6.51%      2.36%
         260         270         0.022799901    0.000310116      0.021315774    0.000222346      0.023309933    0.000412502        -6.51%      2.24%
         270         280         0.019121537    0.000382773      0.017906196    0.000274091      0.019498065    0.000508378        -6.36%      1.97%
         280         290         0.015928821    0.000337342      0.014972192    0.000240511      0.016161563    0.000447297        -6.01%      1.46%
         290         300         0.013444442    0.000302003      0.012645955    0.000215406      0.013624414    0.000399792        -5.94%      1.34%
         300         310         0.011385373    0.000176968      0.010721630    0.000126268      0.011517094    0.000234070        -5.83%      1.16%
