#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
         250         270        0.0016059994    1.59455e-06     0.0013189971    1.30922e-06     0.0019791423    1.96464e-06       -17.87%     23.23%
         270         290        0.0074342287    5.27253e-06     0.0060827352    4.31374e-06     0.0091745180    6.50812e-06       -18.18%     23.41%
         290         310         0.016154175    8.78373e-06      0.013167845    7.16068e-06      0.020027148    1.08896e-05       -18.49%     23.98%
         310         330         0.027308571    1.02807e-05      0.022181409    8.35299e-06      0.034000620    1.27971e-05       -18.77%     24.51%
         330         350         0.044536419    1.04291e-05      0.036054275    8.44464e-06      0.055671713    1.30348e-05       -19.05%     25.00%
         350         370         0.074714553    1.88505e-05      0.060303706    1.52152e-05      0.093729444    2.36497e-05       -19.29%     25.45%
         370         390         0.090344386    2.20490e-05      0.072716287    1.77518e-05       0.11371219    2.77461e-05       -19.51%     25.87%
         390         410         0.092060857    2.09897e-05      0.073903365    1.68544e-05       0.11623391    2.64959e-05       -19.72%     26.26%
         410         430         0.086643883    1.96738e-05      0.069383445    1.57594e-05       0.10971408    2.49063e-05       -19.92%     26.63%
         430         450         0.077940776    1.79891e-05      0.062269515    1.43763e-05      0.098964621    2.28364e-05       -20.11%     26.97%
         450         470         0.068301850    1.66613e-05      0.054448773    1.32860e-05      0.086949943    2.12051e-05       -20.28%     27.30%
         470         490         0.058783755    1.51550e-05      0.046762865    1.20598e-05      0.075016237    1.93348e-05       -20.45%     27.61%
         490         510         0.050115451    1.36579e-05      0.039788050    1.08471e-05      0.064101689    1.74645e-05       -20.61%     27.91%
         510         530         0.042453785    1.25455e-05      0.033641648    9.94479e-06      0.054420507    1.60771e-05       -20.76%     28.19%
         530         550         0.035793922    1.13417e-05      0.028313094    8.97450e-06      0.045978930    1.45645e-05       -20.90%     28.45%
         550         570         0.030119042    1.01861e-05      0.023783524    8.04623e-06      0.038765628    1.31064e-05       -21.03%     28.71%
         570         590         0.025335650    9.25018e-06      0.019973719    7.29509e-06      0.032670229    1.19245e-05       -21.16%     28.95%
         590         610         0.021303406    8.30454e-06      0.016768521    6.53915e-06      0.027520221    1.07246e-05       -21.29%     29.18%
         610         630         0.017945171    7.45196e-06      0.014104102    5.85916e-06      0.023221915    9.63997e-06       -21.40%     29.40%
         630         650         0.015136707    6.76382e-06      0.011879749    5.31049e-06      0.019620181    8.76433e-06       -21.52%     29.62%
         650         670         0.012780190    6.08435e-06      0.010016327    4.77044e-06      0.016592347    7.89646e-06       -21.63%     29.83%
         670         690         0.010818443    5.54654e-06     0.0084675416    4.34301e-06      0.014066938    7.20945e-06       -21.73%     30.03%
         690         710        0.0091764530    4.99434e-06     0.0071730442    3.90556e-06      0.011949588    6.50131e-06       -21.83%     30.22%
         710         730        0.0078146999    4.49092e-06     0.0061008545    3.50749e-06      0.010190923    5.85430e-06       -21.93%     30.41%
         730         750        0.0066675366    4.02673e-06     0.0051989479    3.14115e-06     0.0087068632    5.25634e-06       -22.03%     30.59%
         750         770        0.0056984758    3.70454e-06     0.0044380675    2.88642e-06     0.0074513362    4.84219e-06       -22.12%     30.76%
         770         790        0.0048808131    3.37117e-06     0.0037969125    2.62367e-06     0.0063903618    4.41209e-06       -22.21%     30.93%
         790         810        0.0041932337    3.04498e-06     0.0032584089    2.36721e-06     0.0054969662    3.99010e-06       -22.29%     31.09%
         810         830        0.0036144619    2.77168e-06     0.0028056270    2.15243e-06     0.0047439911    3.63634e-06       -22.38%     31.25%
         830         850        0.0031204117    2.53448e-06     0.0024196465    1.96620e-06     0.0041002559    3.32897e-06       -22.46%     31.40%
         850         900        0.0024442784    1.36095e-06     0.0018921442    1.05405e-06     0.0032179088    1.79091e-06       -22.59%     31.65%
         900         950        0.0017314156    1.09217e-06     0.0013371426    8.43902e-07     0.0022855070    1.44102e-06       -22.77%     32.00%
         950        1000        0.0012462640    8.84784e-07    0.00096033876    6.82156e-07     0.0016492513    1.17032e-06       -22.94%     32.34%
        1000        1050       0.00090777813    7.23145e-07    0.00069802945    5.56363e-07     0.0012041920    9.58795e-07       -23.11%     32.65%
        1050        1100       0.00066852533    5.94600e-07    0.00051301884    4.56548e-07    0.00088882024    7.90132e-07       -23.26%     32.95%
        1100        1150       0.00049862173    4.99223e-07    0.00038190250    3.82587e-07    0.00066433124    6.64781e-07       -23.41%     33.23%
        1150        1200       0.00037657852    4.20104e-07    0.00028788903    3.21361e-07    0.00050275302    5.60550e-07       -23.55%     33.51%
        1200        1250       0.00028578750    3.52898e-07    0.00021809824    2.69480e-07    0.00038226587    4.71770e-07       -23.69%     33.76%
        1250        1300       0.00021957489    3.02599e-07    0.00016728607    2.30689e-07    0.00029423766    4.05257e-07       -23.81%     34.00%
        1300        1350       0.00017065611    2.58846e-07    0.00012980375    1.97012e-07    0.00022909255    3.47275e-07       -23.94%     34.24%
        1350        1400       0.00013318490    2.24029e-07    0.00010114538    1.70252e-07    0.00017909639    3.01071e-07       -24.06%     34.47%
        1400        1450       0.00010466322    1.94691e-07    7.9366277e-05    1.47737e-07    0.00014097631    2.62078e-07       -24.17%     34.70%
        1450        1500       8.2474402e-05    1.70292e-07    6.2450376e-05    1.29038e-07    0.00011126851    2.29600e-07       -24.28%     34.91%
        1500       14000       1.4314436e-06    1.31428e-09    1.0755972e-06    9.89203e-10    1.9475249e-06    1.78525e-09       -24.86%     36.05%
