#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
         250         270        0.0035357732    1.04701e-05     0.0030018166    7.81661e-06     0.0042277436    1.48406e-05       -15.10%     19.57%
         270         290         0.013917215    2.78733e-05      0.012076015    2.09980e-05      0.016152849    3.90084e-05       -13.23%     16.06%
         290         310         0.030023874    4.71681e-05      0.026040918    3.41885e-05      0.034811156    6.91705e-05       -13.27%     15.94%
         310         330         0.050659107    8.52075e-05      0.043893113    6.08595e-05      0.058739157    0.000124046       -13.36%     15.95%
         330         350         0.083029639    6.90230e-05      0.071802298    5.04651e-05      0.096399575    9.91730e-05       -13.52%     16.10%
         350         370          0.13787143    0.000113556       0.11925412    8.22807e-05       0.15985424    0.000165260       -13.50%     15.94%
         370         390          0.15989901    0.000118543       0.13902943    8.73341e-05       0.18392203    0.000162523       -13.05%     15.02%
         390         410          0.15814777    0.000126003       0.13800750    9.24290e-05       0.18083972    0.000178217       -12.74%     14.35%
         410         430          0.14552837    0.000189321       0.12732203    0.000141256       0.16564624    0.000258178       -12.51%     13.82%
         430         450          0.12833114    0.000148316       0.11251381    0.000106042       0.14550575    0.000216145       -12.33%     13.38%
         450         470          0.11084726    0.000109590      0.097343600    7.97779e-05       0.12527174    0.000156982       -12.18%     13.01%
         470         490         0.094096369    0.000105522      0.082765009    7.64737e-05       0.10600175    0.000151872       -12.04%     12.65%
         490         510         0.079344272    0.000105492      0.069881225    7.64555e-05      0.089126697    0.000169102       -11.93%     12.33%
         510         530         0.066403135    8.08317e-05      0.058554835    5.87727e-05      0.074392005    0.000116306       -11.82%     12.03%
         530         550         0.055382842    8.75344e-05      0.048888453    6.32040e-05      0.061895016    0.000126049       -11.73%     11.76%
         550         570         0.046134209    7.73737e-05      0.040787308    5.57105e-05      0.051396124    0.000111999       -11.59%     11.41%
         570         590         0.038553617    6.13292e-05      0.034085230    4.41854e-05      0.042917428    8.93097e-05       -11.59%     11.32%
         590         610         0.032078382    5.22796e-05      0.028409793    3.76904e-05      0.035585978    7.63914e-05       -11.44%     10.93%
         610         630         0.026835219    5.14970e-05      0.023782253    3.70652e-05      0.029716593    7.50437e-05       -11.38%     10.74%
         630         650         0.022431444    4.48478e-05      0.019896495    3.22201e-05      0.024788762    6.55741e-05       -11.30%     10.51%
         650         670         0.018902514    3.71808e-05      0.016765041    2.67645e-05      0.020876536    5.47114e-05       -11.31%     10.44%
         670         690         0.015815991    3.16557e-05      0.014051524    2.27422e-05      0.017409142    4.68255e-05       -11.16%     10.07%
         690         710         0.013373028    2.93223e-05      0.011883640    2.10749e-05      0.014704790    4.33933e-05       -11.14%      9.96%
         710         730         0.011305273    2.93559e-05      0.010059524    2.10752e-05      0.012396457    4.32819e-05       -11.02%      9.65%
         730         750        0.0096122261    2.42441e-05     0.0085509597    1.72459e-05      0.010536333    3.65441e-05       -11.04%      9.61%
         750         770        0.0082274638    2.76506e-05     0.0073122662    1.96931e-05     0.0090260312    4.06109e-05       -11.12%      9.71%
         770         790        0.0069705100    1.92715e-05     0.0062069903    1.38157e-05     0.0076181578    2.88701e-05       -10.95%      9.29%
         790         810        0.0059795824    2.03717e-05     0.0053272527    1.45634e-05     0.0065264812    3.02519e-05       -10.91%      9.15%
         810         830        0.0051180243    1.48003e-05     0.0045604118    1.06290e-05     0.0055806018    2.23343e-05       -10.90%      9.04%
         830         850        0.0044107931    1.60247e-05     0.0039351813    1.14647e-05     0.0047966087    2.38889e-05       -10.78%      8.75%
         850         900        0.0034484368    8.26244e-06     0.0030738401    5.90996e-06     0.0037519734    1.24162e-05       -10.86%      8.80%
         900         950        0.0024244247    6.09665e-06     0.0021618881    4.38439e-06     0.0026326045    9.27483e-06       -10.83%      8.59%
         950        1000        0.0017191549    4.46988e-06     0.0015363653    3.21066e-06     0.0018574370    6.93527e-06       -10.63%      8.04%
        1000        1050        0.0012555134    3.62061e-06     0.0011209213    2.59887e-06     0.0013568735    5.66994e-06       -10.72%      8.07%
        1050        1100       0.00091335551    3.80977e-06    0.00081730088    2.71512e-06    0.00098211108    5.82553e-06       -10.52%      7.53%
        1100        1150       0.00067759877    3.61415e-06    0.00060611157    2.45957e-06    0.00072810862    5.44945e-06       -10.55%      7.45%
        1150        1200       0.00051610709    2.20692e-06    0.00045965238    1.58346e-06    0.00055805101    3.50589e-06       -10.94%      8.13%
        1200        1250       0.00038899039    2.11758e-06    0.00034796973    1.51342e-06    0.00041697743    3.31383e-06       -10.55%      7.19%
        1250        1300       0.00030020104    1.70537e-06    0.00026796467    1.22288e-06    0.00032266821    2.69824e-06       -10.74%      7.48%
        1300        1350       0.00023133578    1.24478e-06    0.00020668239    8.97994e-07    0.00024793762    2.03418e-06       -10.66%      7.18%
        1350        1400       0.00018153600    1.19499e-06    0.00016151270    8.64311e-07    0.00019573791    1.97497e-06       -11.03%      7.82%
        1400        1450       0.00014395053    1.41636e-06    0.00012846623    1.00928e-06    0.00015435789    2.22173e-06       -10.76%      7.23%
        1450        1500       0.00011143408    1.13398e-06    9.9603422e-05    8.07341e-07    0.00011897487    1.78294e-06       -10.62%      6.77%
        1500       14000       1.9332117e-06    7.55480e-09    1.7224621e-06    5.44040e-09    2.0647414e-06    1.26592e-08       -10.90%      6.80%
