#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
         250         270        0.0035467841    4.27544e-06     0.0030116247    3.30933e-06     0.0042401003    5.83976e-06       -15.09%     19.55%
         270         290         0.013945987    1.08020e-05      0.012097895    8.65817e-06      0.016191835    1.43690e-05       -13.25%     16.10%
         290         310         0.030066731    1.64169e-05      0.026076993    1.34597e-05      0.034863718    2.12767e-05       -13.27%     15.95%
         310         330         0.050720503    1.96370e-05      0.043942517    1.61182e-05      0.058819615    2.53320e-05       -13.36%     15.97%
         330         350         0.083026436    2.14894e-05      0.071790193    1.74221e-05      0.096414969    2.79823e-05       -13.53%     16.13%
         350         370          0.13798135    3.44823e-05       0.11934224    2.87201e-05       0.15999793    4.34418e-05       -13.51%     15.96%
         370         390          0.15996655    3.77795e-05       0.13907017    3.15321e-05       0.18403946    4.76047e-05       -13.06%     15.05%
         390         410          0.15813741    3.57723e-05       0.13799269    2.96151e-05       0.18083282    4.56490e-05       -12.74%     14.35%
         410         430          0.14543575    3.36021e-05       0.12723899    2.76093e-05       0.16555254    4.33382e-05       -12.51%     13.83%
         430         450          0.12843090    3.09238e-05       0.11260422    2.52467e-05       0.14561480    4.02160e-05       -12.32%     13.38%
         450         470          0.11083198    2.85576e-05      0.097337035    2.32237e-05       0.12524471    3.73212e-05       -12.18%     13.00%
         470         490         0.094130841    2.60866e-05      0.082782529    2.11184e-05       0.10606385    3.42713e-05       -12.06%     12.68%
         490         510         0.079278912    2.36569e-05      0.069817857    1.90769e-05      0.089066580    3.12172e-05       -11.93%     12.35%
         510         530         0.066421335    2.15426e-05      0.058562183    1.73454e-05      0.074428995    2.84850e-05       -11.83%     12.06%
         530         550         0.055381770    1.94225e-05      0.048887500    1.56077e-05      0.061894434    2.57445e-05       -11.73%     11.76%
         550         570         0.046186318    1.74014e-05      0.040809905    1.39662e-05      0.051500258    2.31030e-05       -11.64%     11.51%
         570         590         0.038486746    1.56807e-05      0.034045555    1.25818e-05      0.042805313    2.08296e-05       -11.54%     11.22%
         590         610         0.032133845    1.40568e-05      0.028445073    1.12721e-05      0.035674427    1.86882e-05       -11.48%     11.02%
         610         630         0.026857765    1.26019e-05      0.023795996    1.01042e-05      0.029753521    1.67597e-05       -11.40%     10.78%
         630         650         0.022507250    1.13027e-05      0.019955407    9.07479e-06      0.024888910    1.50143e-05       -11.34%     10.58%
         650         670         0.018867153    1.01507e-05      0.016743385    8.15434e-06      0.020818895    1.34762e-05       -11.26%     10.34%
         670         690         0.015854706    9.15242e-06      0.014084065    7.36226e-06      0.017455289    1.21368e-05       -11.17%     10.10%
         690         710         0.013383036    8.22680e-06      0.011891652    6.62172e-06      0.014717389    1.09015e-05       -11.14%      9.97%
         710         730         0.011322675    7.41763e-06      0.010068365    5.97567e-06      0.012428355    9.81881e-06       -11.08%      9.77%
         730         750        0.0096108799    6.67909e-06     0.0085507398    5.38396e-06      0.010533237    8.83328e-06       -11.03%      9.60%
         750         770        0.0081777872    6.09447e-06     0.0072800638    4.92150e-06     0.0089479775    8.04487e-06       -10.98%      9.42%
         770         790        0.0069814399    5.53742e-06     0.0062150879    4.47423e-06     0.0076337476    7.30366e-06       -10.98%      9.34%
         790         810        0.0059695842    5.02043e-06     0.0053173470    4.06192e-06     0.0065172234    6.61034e-06       -10.93%      9.17%
         810         830        0.0051317722    4.57340e-06     0.0045726210    3.70270e-06     0.0055959533    6.01578e-06       -10.90%      9.05%
         830         850        0.0044079926    4.18613e-06     0.0039292709    3.39372e-06     0.0048006193    5.49726e-06       -10.86%      8.91%
         850         900        0.0034323947    2.27535e-06     0.0030618166    1.84755e-06     0.0037299279    2.98109e-06       -10.80%      8.67%
         900         950        0.0024139180    1.84063e-06     0.0021541219    1.49876e-06     0.0026178011    2.40182e-06       -10.76%      8.45%
         950        1000        0.0017286092    1.50729e-06     0.0015435085    1.23105e-06     0.0018702945    1.95862e-06       -10.71%      8.20%
        1000        1050        0.0012512780    1.24714e-06     0.0011177017    1.02152e-06     0.0013512616    1.61380e-06       -10.68%      7.99%
        1050        1100       0.00091744681    1.03876e-06    0.00081971937    8.53070e-07    0.00098907968    1.33888e-06       -10.65%      7.81%
        1100        1150       0.00068128137    8.72182e-07    0.00060890422    7.17823e-07    0.00073315953    1.12084e-06       -10.62%      7.61%
        1150        1200       0.00051341806    7.50815e-07    0.00045877979    6.20400e-07    0.00055201464    9.58954e-07       -10.64%      7.52%
        1200        1250       0.00038856367    6.37351e-07    0.00034705607    5.27786e-07    0.00041759108    8.11197e-07       -10.68%      7.47%
        1250        1300       0.00029923672    5.55039e-07    0.00026714951    4.60906e-07    0.00032149256    7.03262e-07       -10.72%      7.44%
        1300        1350       0.00023211233    4.82784e-07    0.00020707429    4.02255e-07    0.00024940563    6.08351e-07       -10.79%      7.45%
        1350        1400       0.00018138071    4.15438e-07    0.00016180222    3.46418e-07    0.00019471056    5.22924e-07       -10.79%      7.35%
        1400        1450       0.00014255040    3.75637e-07    0.00012702119    3.14642e-07    0.00015317374    4.69227e-07       -10.89%      7.45%
        1450        1500       0.00011202330    3.73190e-07    9.9857951e-05    3.15565e-07    0.00012018196    4.58891e-07       -10.86%      7.28%
        1500       14000       1.9412873e-06    2.65873e-09    1.7265529e-06    2.24555e-09    2.0799993e-06    3.27846e-09       -11.06%      7.15%
