#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10        0.0038350957    5.66337e-06     0.0030842261    4.55559e-06     0.0048321109    7.13525e-06       -19.58%     26.00%
          10          20         0.011572485    9.81125e-06     0.0093075183    7.89263e-06      0.014579507    1.23602e-05       -19.57%     25.98%
          20          30         0.019583640    1.27354e-05      0.015752837    1.02461e-05      0.024668394    1.60420e-05       -19.56%     25.96%
          30          40         0.028047991    1.52212e-05      0.022565099    1.22483e-05      0.035323695    1.91691e-05       -19.55%     25.94%
          40          50         0.037004438    1.75016e-05      0.029775325    1.40872e-05      0.046594883    2.20340e-05       -19.54%     25.92%
          50          60         0.046583683    1.97156e-05      0.037486205    1.58739e-05      0.058651121    2.48126e-05       -19.53%     25.90%
          60          70         0.056765714    2.18628e-05      0.045677097    1.76053e-05      0.071475559    2.75098e-05       -19.53%     25.91%
          70          80         0.067386043    2.38751e-05      0.054211927    1.92239e-05      0.084867990    3.00452e-05       -19.55%     25.94%
          80          90         0.078465919    2.56972e-05      0.063103960    2.06829e-05      0.098862215    3.23526e-05       -19.58%     25.99%
          90         100         0.089821758    2.71490e-05      0.072201593    2.18349e-05       0.11323412    3.42105e-05       -19.62%     26.07%
         100         110          0.10174165    2.85171e-05      0.081735962    2.29160e-05       0.12834791    3.59695e-05       -19.66%     26.15%
         110         120          0.11424735    3.05029e-05      0.091725213    2.45003e-05       0.14422982    3.84950e-05       -19.71%     26.24%
         120         130          0.12612142    3.38926e-05       0.10118094    2.72227e-05       0.15936347    4.27725e-05       -19.77%     26.36%
         130         140          0.12983028    3.54963e-05       0.10403119    2.84879e-05       0.16428226    4.48383e-05       -19.87%     26.54%
         140         150          0.12642711    3.40708e-05       0.10115500    2.72984e-05       0.16025375    4.31220e-05       -19.99%     26.76%
         150         160          0.11834442    3.22876e-05      0.094536874    2.58253e-05       0.15029036    4.09476e-05       -20.12%     26.99%
         160         170          0.10776445    3.01600e-05      0.085943401    2.40815e-05       0.13711953    3.83276e-05       -20.25%     27.24%
         170         180         0.096111533    2.79214e-05      0.076522217    2.22551e-05       0.12253165    3.55557e-05       -20.38%     27.49%
         180         190         0.084512636    2.58904e-05      0.067175718    2.06017e-05       0.10795334    3.30338e-05       -20.51%     27.74%
         190         200         0.073457978    2.38406e-05      0.058292782    1.89393e-05      0.094012024    3.04767e-05       -20.64%     27.98%
         200         210         0.063230135    2.17635e-05      0.050094796    1.72608e-05      0.081074853    2.78747e-05       -20.77%     28.22%
         210         220         0.054177864    1.98448e-05      0.042855201    1.57139e-05      0.069594746    2.54640e-05       -20.90%     28.46%
         220         230         0.046190994    1.81597e-05      0.036480906    1.43578e-05      0.059441233    2.33427e-05       -21.02%     28.69%
         230         240         0.039286541    1.65033e-05      0.030981722    1.30288e-05      0.050642851    2.12497e-05       -21.14%     28.91%
         240         250         0.033324085    1.49623e-05      0.026241228    1.17949e-05      0.043029220    1.92981e-05       -21.25%     29.12%
         250         260         0.028278488    1.36015e-05      0.022236410    1.07071e-05      0.036573823    1.75712e-05       -21.37%     29.33%
         260         270         0.023960002    1.23434e-05      0.018814719    9.70365e-06      0.031037520    1.59709e-05       -21.47%     29.54%
         270         280         0.020318642    1.11637e-05      0.015933912    8.76443e-06      0.026361158    1.44667e-05       -21.58%     29.74%
         280         290         0.017256845    1.00956e-05      0.013515334    7.91559e-06      0.022422183    1.31022e-05       -21.68%     29.93%
         290         300         0.014674343    9.19180e-06      0.011478075    7.19799e-06      0.019094658    1.19463e-05       -21.78%     30.12%
         300         310         0.012478990    8.33024e-06     0.0097489496    6.51536e-06      0.016260720    1.08417e-05       -21.88%     30.30%
         310         320         0.010653196    7.58110e-06     0.0083124990    5.92240e-06      0.013900783    9.88006e-06       -21.97%     30.48%
         320         330        0.0090968565    6.87238e-06     0.0070897622    5.36245e-06      0.011885831    8.96836e-06       -22.06%     30.66%
         330         340        0.0078001361    6.23907e-06     0.0060722130    4.86269e-06      0.010204657    8.15244e-06       -22.15%     30.83%
         340         350        0.0066957845    5.67055e-06     0.0052067345    4.41468e-06     0.0087707790    7.41885e-06       -22.24%     30.99%
         350         360        0.0057607732    5.18806e-06     0.0044746706    4.03466e-06     0.0075554557    6.79592e-06       -22.33%     31.15%
         360         370        0.0049665741    4.74482e-06     0.0038537503    3.68618e-06     0.0065214682    6.22245e-06       -22.41%     31.31%
         370         380        0.0042889371    4.32786e-06     0.0033244325    3.35872e-06     0.0056383516    5.68234e-06       -22.49%     31.46%
         380         390        0.0037193356    3.95654e-06     0.0028800916    3.06752e-06     0.0048949229    5.20054e-06       -22.56%     31.61%
         390         400        0.0032321889    3.62870e-06     0.0025004543    2.81065e-06     0.0042584039    4.77475e-06       -22.64%     31.75%
         400         410        0.0028173703    3.32927e-06     0.0021774402    2.57624e-06     0.0037158957    4.38550e-06       -22.71%     31.89%
         410         420        0.0024579394    3.05536e-06     0.0018978525    2.36205e-06     0.0032452822    4.02897e-06       -22.79%     32.03%
         420         430        0.0021450680    2.81354e-06     0.0016547428    2.17313e-06     0.0028351403    3.71389e-06       -22.86%     32.17%
         430         440        0.0018846078    2.58936e-06     0.0014525390    1.99821e-06     0.0024933650    3.42139e-06       -22.93%     32.30%
         440         450        0.0016509821    2.38741e-06     0.0012713946    1.84080e-06     0.0021863703    3.15758e-06       -22.99%     32.43%
         450         460        0.0014529884    2.20355e-06     0.0011179835    1.69761e-06     0.0019259978    2.91720e-06       -23.06%     32.55%
         460         470        0.0012819029    2.04033e-06    0.00098547686    1.57049e-06     0.0017008975    2.70379e-06       -23.12%     32.69%
         470         480        0.0011336202    1.89085e-06    0.00087077628    1.45425e-06     0.0015055135    2.50797e-06       -23.19%     32.81%
         480         490        0.0010023918    1.75087e-06    0.00076932494    1.34546e-06     0.0013324934    2.32453e-06       -23.25%     32.93%
         490         500       0.00088943999    1.62886e-06    0.00068211128    1.25074e-06     0.0011833551    2.16438e-06       -23.31%     33.04%
         500         510       0.00079038193    1.51450e-06    0.00060567473    1.16202e-06     0.0010524658    2.01418e-06       -23.37%     33.16%
         510         520       0.00070174764    1.40723e-06    0.00053731739    1.07884e-06    0.00093527980    1.87319e-06       -23.43%     33.28%
         520         530       0.00062666441    1.32048e-06    0.00047948487    1.01163e-06    0.00083586237    1.75907e-06       -23.49%     33.38%
         530         540       0.00056316151    1.23988e-06    0.00043056482    9.49160e-07    0.00075179507    1.65307e-06       -23.55%     33.50%
         540         550       0.00050121447    1.15417e-06    0.00038292572    8.82904e-07    0.00066962794    1.54002e-06       -23.60%     33.60%
         550         560       0.00044740588    1.07830e-06    0.00034155947    8.24247e-07    0.00059822672    1.43997e-06       -23.66%     33.71%
         560         570       0.00040150305    1.01201e-06    0.00030631696    7.73069e-07    0.00053722928    1.35242e-06       -23.71%     33.80%
         570         580       0.00036178272    9.50326e-07    0.00027580844    7.25420e-07    0.00048447390    1.27099e-06       -23.76%     33.91%
         580         590       0.00032454746    8.87799e-07    0.00024727016    6.77250e-07    0.00043490087    1.18820e-06       -23.81%     34.00%
         590         600       0.00029227800    8.37048e-07    0.00022252323    6.38086e-07    0.00039196816    1.12114e-06       -23.87%     34.11%
         600         610       0.00026280645    7.87014e-07    0.00019994753    5.99546e-07    0.00035270918    1.05489e-06       -23.92%     34.21%
         610         620       0.00023735052    7.42123e-07    0.00018046572    5.64986e-07    0.00031876597    9.95418e-07       -23.97%     34.30%
         620         630       0.00021329724    6.97156e-07    0.00016207864    5.30425e-07    0.00028665030    9.35725e-07       -24.01%     34.39%
         630         640       0.00019456291    6.59509e-07    0.00014774560    5.01451e-07    0.00026166158    8.85833e-07       -24.06%     34.49%
         640         650       0.00017712486    6.24154e-07    0.00013441857    4.74273e-07    0.00023837625    8.38927e-07       -24.11%     34.58%
         650         660       0.00016121518    5.92013e-07    0.00012226128    4.49550e-07    0.00021712810    7.96314e-07       -24.16%     34.68%
         660         670       0.00014571913    5.58875e-07    0.00011044795    4.24150e-07    0.00019637921    7.52207e-07       -24.20%     34.77%
         670         680       0.00013177319    5.27220e-07    9.9822107e-05    3.99899e-07    0.00017769363    7.10043e-07       -24.25%     34.85%
         680         690       0.00012005727    4.99385e-07    9.0887819e-05    3.78542e-07    0.00016201078    6.73040e-07       -24.30%     34.94%
         690         700       0.00010994988    4.76481e-07    8.3188743e-05    3.60974e-07    0.00014846510    6.42577e-07       -24.34%     35.03%
         700         710       9.8938796e-05    4.48608e-07    7.4805172e-05    3.39628e-07    0.00013370162    6.05449e-07       -24.39%     35.14%
         710         720       9.0611479e-05    4.28346e-07    6.8483263e-05    3.24165e-07    0.00012249921    5.78342e-07       -24.42%     35.19%
         720         730       8.2135148e-05    4.04645e-07    6.2040310e-05    3.06050e-07    0.00011111297    5.46699e-07       -24.47%     35.28%
