#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10         0.017183070    0.000323602      0.013442213    0.000236482      0.022504005    0.000453460       -21.77%     30.97%
          10          20         0.038391016    0.000562620      0.030761943    0.000412093      0.048966482    0.000786323       -19.87%     27.55%
          20          30         0.055574460    0.000665803      0.045239088    0.000487272      0.069593146    0.000931494       -18.60%     25.23%
          30          40         0.073648698    0.000810797      0.060491428    0.000591739      0.091241447     0.00113776       -17.86%     23.89%
          40          50         0.093048601    0.000994080      0.076833369    0.000725990       0.11452897     0.00139378       -17.43%     23.09%
          50          60          0.10950453     0.00123579      0.091173807    0.000904038       0.13342398     0.00172951       -16.74%     21.84%
          60          70          0.12727436     0.00126800       0.10666081    0.000927546       0.15378546     0.00177486       -16.20%     20.83%
          70          80          0.14712745     0.00120161       0.12374956    0.000878252       0.17693267     0.00168355       -15.89%     20.26%
          80          90          0.16676034     0.00140116       0.14079465     0.00102542       0.19953084     0.00196012       -15.57%     19.65%
          90         100          0.18651919     0.00149947       0.15798639     0.00109730       0.22220078     0.00209785       -15.30%     19.13%
         100         110          0.20506801     0.00148034       0.17441896     0.00108202       0.24291563     0.00207386       -14.95%     18.46%
         110         120          0.22404338     0.00157394       0.19136820     0.00115067       0.26382289     0.00220444       -14.58%     17.76%
         120         130          0.22653377     0.00163806       0.19611476     0.00119745       0.26185302     0.00229461       -13.43%     15.59%
         130         140          0.21679598     0.00167104       0.18991174     0.00122101       0.24636886     0.00234193       -12.40%     13.64%
         140         150          0.19473710     0.00172749       0.17289604     0.00126175       0.21693602     0.00242221       -11.22%     11.40%
         150         160          0.17124878     0.00165509       0.15374765     0.00120764       0.18746109     0.00232355       -10.22%      9.47%
         160         170          0.15355854     0.00156146       0.13820703     0.00113787       0.16729779     0.00219515        -10.0%      8.95%
         170         180          0.12665834     0.00144617       0.11569460     0.00105298       0.13472312     0.00203502        -8.66%      6.37%
         180         190          0.10942323     0.00128320       0.10026316    0.000933232       0.11567936     0.00180819        -8.37%      5.72%
         190         200         0.094851046     0.00113188      0.086902969    0.000821827       0.10018221     0.00159804        -8.38%      5.62%
         200         210         0.075761455    0.000951613      0.070535289    0.000689680      0.078317936     0.00126367        -6.90%      3.37%
         210         220         0.066890715    0.000821529      0.061817146    0.000594487      0.069723787     0.00108941        -7.58%      4.24%
         220         230         0.053483467    0.000720900      0.050104919    0.000520668      0.054752774    0.000954644        -6.32%      2.37%
         230         240         0.046115144    0.000644645      0.043067748    0.000465292      0.047381139    0.000852592        -6.61%      2.75%
         240         250         0.037639822    0.000567001      0.035435443    0.000409043      0.038251238    0.000749150        -5.86%      1.62%
         250         260         0.030885132    0.000477027      0.029303367    0.000343427      0.031064106    0.000629413        -5.12%      0.58%
         260         270         0.026595698    0.000407401      0.025125657    0.000292980      0.026879894    0.000536850        -5.53%      1.07%
         270         280         0.022979986    0.000395463      0.021605644    0.000284555      0.023361277    0.000520729        -5.98%      1.66%
         280         290         0.018838744    0.000358738      0.017850229    0.000258041      0.018947420    0.000472039        -5.25%      0.58%
         290         300         0.015744536    0.000272142      0.014978874    0.000195173      0.015788998    0.000296705        -4.86%      0.28%
         300         310         0.013366958    0.000237801      0.012717614    0.000170386      0.013408861    0.000259798        -4.86%      0.31%
         310         320         0.011114011    0.000205259      0.010641453    0.000146948      0.011142123    0.000188156        -4.25%      0.25%
         320         330        0.0096279086    0.000181301     0.0091808080    0.000129752     0.0096469209    0.000198736        -4.64%      0.20%
         330         340        0.0082747256    0.000162345     0.0078797731    0.000116098     0.0082984464    0.000178256        -4.77%      0.29%
         340         350        0.0070686632    0.000146817     0.0067382049    0.000104904     0.0070829151    0.000161498        -4.67%      0.20%
         350         360        0.0058017218    0.000128938     0.0054867466    0.000185533     0.0058296595    0.000117553        -5.43%      0.48%
         360         370        0.0052790294    0.000109287     0.0050205453    7.79359e-05     0.0052953253    0.000120712        -4.90%      0.31%
         370         380        0.0045169967    0.000105437     0.0043076327    7.51946e-05     0.0045231761    0.000116516        -4.64%      0.14%
         380         390        0.0038120098    9.57318e-05     0.0036382773    0.000138106     0.0038188379    8.69121e-05        -4.56%      0.18%
         390         400        0.0034099992    7.78925e-05     0.0032467314    5.53807e-05     0.0034169689    8.65678e-05        -4.79%      0.20%
         400         410        0.0028254893    6.89426e-05     0.0026610636    9.97104e-05     0.0028367233    6.23410e-05        -5.82%      0.40%
         410         420        0.0025064548    6.20854e-05     0.0023808340    8.98834e-05     0.0025115635    5.60539e-05        -5.01%      0.20%
         420         430        0.0021074501    5.59516e-05     0.0019577199    8.10341e-05     0.0021218708    5.04701e-05        -7.10%      0.68%
         430         440        0.0020234062    5.05283e-05     0.0019150065    3.58744e-05     0.0020318606    5.64063e-05        -5.36%      0.42%
         440         450        0.0016783169    4.78208e-05     0.0015896125    6.93550e-05     0.0016808442    4.30321e-05        -5.29%      0.15%
         450         460        0.0015051452    4.35569e-05     0.0014375232    3.08787e-05     0.0015056459    3.91548e-05        -4.49%      0.03%
         460         470        0.0012630051    3.81555e-05     0.0011752065    5.53520e-05     0.0012687267    3.42819e-05        -6.95%      0.45%
         470         480        0.0011377481    3.44184e-05     0.0010696427    4.99673e-05     0.0011408669    3.08900e-05        -5.99%      0.27%
         480         490        0.0010585427    3.22835e-05     0.0010045787    2.28415e-05     0.0010617815    3.63057e-05        -5.10%      0.31%
         490         500       0.00088354559    3.00035e-05    0.00082301607    4.36659e-05    0.00088742159    2.68404e-05        -6.85%      0.44%
         500         510       0.00081967350    2.65451e-05    0.00078116548    1.87739e-05    0.00082008600    2.99096e-05        -4.70%      0.05%
         510         520       0.00071641536    2.39453e-05    0.00067881869    3.48796e-05    0.00071651375    2.13832e-05        -5.25%      0.01%
         520         530       0.00063148156    2.20397e-05    0.00059333650    3.21252e-05    0.00063227352    1.96603e-05        -6.04%      0.13%
         530         540       0.00055006227    2.03062e-05    0.00050883760    2.96204e-05    0.00055196162    1.80956e-05        -7.49%      0.35%
         540         550       0.00052813531    1.89688e-05    0.00050166744    1.33895e-05    0.00052891574    2.14701e-05        -5.01%      0.15%
         550         560       0.00044756912    1.83205e-05    0.00041947640    2.67395e-05    0.00044788282    1.63022e-05        -6.28%      0.07%
         560         570       0.00039133508    1.71485e-05    0.00035905783    2.50625e-05    0.00039363498    1.52353e-05        -8.25%      0.59%
