# left-edge right-edge rel-down rel-up
250 270 -23% 6%
270 290 -23% 6%
290 310 -23% 6%
310 330 -23% 6%
330 350 -23% 6%
350 370 -23% 6%
370 390 -23% 6%
390 410 -23% 6%
410 430 -23% 6%
430 450 -23% 6%
450 470 -23% 6%
470 490 -23% 6%
490 510 -23% 6%
510 530 -23% 6%
530 550 -23% 6%
550 570 -23% 6%
570 590 -23% 6%
590 610 -23% 6%
610 630 -23% 6%
630 650 -23% 6%
650 670 -23% 6%
670 690 -23% 6%
690 710 -23% 6%
710 730 -23% 6%
730 750 -23% 6%
750 770 -23% 6%
770 790 -23% 6%
790 810 -23% 6%
810 830 -23% 6%
830 850 -23% 6%
850 900 -23% 6%
900 950 -23% 6%
950 1000 -23% 6%
1000 1050 -23% 6%
1050 1100 -23% 6%
1100 1150 -23% 6%
1150 1200 -23% 6%
1200 1250 -23% 6%
1250 1300 -23% 6%
1300 1350 -23% 6%
1350 1400 -23% 6%
1400 1450 -23% 6%
1450 1500 -23% 6%
1500 13000 -23% 6%
